id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/17/value,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2481548885,15,3,1,2,34,c4ygb6mnh53kpl2mpxe52l8jw,1,87.4,34.2,2022-11-05T08:48:34.275Z,2022-11-06T09:24:29Z,3894585759,56,Center,3894585761,286,,3898396681,464,,3894585801,233,16,,,,,,,,,,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548893,16,45,1,2,34,6h553bwfqkoxayuv80uikkn42,0,12.6,65.8,2022-11-05T08:48:34.275Z,2022-11-06T09:24:28Z,3894585795,285,,3894585813,233,15,3894585793,56,Back,,,,,,,,,,,,,,,,5p3y4bh0mdmymeceltd1fpw8a,R. Najjarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548887,16,13,1,2,35,c4ygb6mnh53kpl2mpxe52l8jw,1,86.4,41,2022-11-05T08:48:35.235Z,2022-11-06T09:25:32Z,3894585955,108,,3898398879,215,,3894585947,55,14,3894585953,103,12.5,3894585941,73,,3894585839,72,,3894585769,56,Center,3894585767,17,,36gq011by1cjkem274ahdfg89,Marco Túlio,3894585951,102,,61.8,3894585959,230,98.9,3894585943,29,3894585945,154,3894585765,22,3894585961,231,49.6,,,,,,,,,,,,,,,,,,,,,,
2481548901,17,5,1,2,36,6h553bwfqkoxayuv80uikkn42,1,-1,34.5,2022-11-05T08:48:36.803Z,2022-11-06T09:24:34Z,3894585821,56,Back,3894586167,233,17,3894586137,346,,,,,,,,,,,,,,,,,5p3y4bh0mdmymeceltd1fpw8a,R. Najjarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548891,17,5,1,2,36,c4ygb6mnh53kpl2mpxe52l8jw,0,101,65.5,2022-11-05T08:48:36.803Z,2022-11-06T09:24:33Z,3894585787,346,,3894585785,56,Center,3894586171,233,17,,,,,,,,,,,,,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548995,18,1,1,3,0,6h553bwfqkoxayuv80uikkn42,0,3.5,39.2,2022-11-05T08:49:00.283Z,2022-11-05T08:54:10Z,3894586213,124,,3894586225,213,5.7,3894586335,189,,3894586229,1,,3894586233,74,,3894586221,141,2.9,3894586223,212,45.6,3894586215,155,,98blyfvs09u1j6m7ltbqai9xx,L. Thomas,3894586219,140,,40.0,3894586217,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481561657,449,49,1,3,3,c4ygb6mnh53kpl2mpxe52l8jw,1,54.3,96.3,2022-11-05T08:49:02.878Z,2022-11-05T09:42:51Z,,,,,,,,,,,,,,,,,,,,,,,,,e5ycwhcy49624czidh67ihiad,B. Nkololo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481561669,450,1,1,3,4,c4ygb6mnh53kpl2mpxe52l8jw,0,57.5,97.5,2022-11-05T08:49:03.878Z,2022-11-05T09:42:55Z,3894646319,141,96.3,3894646317,140,63.4,3894646323,213,6.2,3894646315,56,Left,3894646321,212,6.2,,,,,,,,,,e5ycwhcy49624czidh67ihiad,B. Nkololo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548999,19,43,1,3,4,6h553bwfqkoxayuv80uikkn42,1,0,0,2022-11-05T08:49:04.451Z,2022-11-05T08:49:42Z,3894586863,144,61,3894586239,56,Back,,,,,,,,,,,,,,,,,,,pc2pewu255axe28t955qjcnp,B. Borello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549011,20,61,1,3,5,6h553bwfqkoxayuv80uikkn42,1,31.9,2.8,2022-11-05T08:49:04.987Z,2022-11-06T09:26:09Z,3894586279,56,Back,,,,,,,,,,,,,,,,,,,,,,b9etmvw7ljdrjbsw632ey0nhl,G. Cléùr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549029,18,5,1,3,6,c4ygb6mnh53kpl2mpxe52l8jw,1,64.1,101.6,2022-11-05T08:49:06.579Z,2022-11-06T09:26:10Z,3894586353,56,Left,3894586361,233,21,3894586355,347,,,,,,,,,,,,,,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549013,21,5,1,3,6,6h553bwfqkoxayuv80uikkn42,0,35.9,-1.6,2022-11-05T08:49:06.579Z,2022-11-06T09:26:11Z,3894586365,233,18,3894586289,347,,3894586287,56,Back,,,,,,,,,,,,,,,,b9etmvw7ljdrjbsw632ey0nhl,G. Cléùr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549043,19,1,1,3,15,c4ygb6mnh53kpl2mpxe52l8jw,0,57.2,100,2022-11-05T08:49:15.099Z,2022-11-05T08:49:17Z,3894586389,107,,3894586393,140,57.6,3894586395,141,89.1,3894586399,213,4.8,3894586391,56,Left,3894586397,212,8.6,,,,,,,b8ptjj6m4jh83ixhtny9o2v4k,J. Farrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549051,22,8,1,3,17,6h553bwfqkoxayuv80uikkn42,1,44.3,7.1,2022-11-05T08:49:17.362Z,2022-11-06T09:26:27Z,3898400391,384,,3894586431,56,Back,,,,,,,,,,,,,,,,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549087,20,1,1,3,18,c4ygb6mnh53kpl2mpxe52l8jw,1,52.6,94.4,2022-11-05T08:49:18.218Z,2022-11-05T08:49:23Z,3894586535,212,44.8,3894586537,213,4.2,3894586539,1,,3894586531,140,33.2,3894586533,141,35.8,3894586529,56,Back,,,,,,,b8ptjj6m4jh83ixhtny9o2v4k,J. Farrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549091,21,1,1,3,23,c4ygb6mnh53kpl2mpxe52l8jw,1,38.6,31.6,2022-11-05T08:49:23.099Z,2022-11-05T08:49:25Z,3894586557,56,Right,3894586559,140,55.3,3894586563,212,24.2,3894586565,213,5.5,3894586561,141,7.0,,,,,,,,,,6iohupgr9c0l4xy19b02kgsx6,N. Triantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549103,22,1,1,3,25,c4ygb6mnh53kpl2mpxe52l8jw,1,55.3,7,2022-11-05T08:49:25.083Z,2022-11-05T08:49:27Z,3894586613,141,23.3,3894586617,213,1.5,3894586611,140,55.8,3894586615,212,11.1,3894586609,56,Center,,,,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549129,23,1,1,3,27,c4ygb6mnh53kpl2mpxe52l8jw,1,57.7,24.6,2022-11-05T08:49:27.691Z,2022-11-05T08:49:32Z,3894586705,212,14.3,3894586701,140,44.1,3894586707,213,3.1,3894586703,141,24.7,3894586699,56,Back,,,,,,,,,,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481549143,24,1,1,3,32,c4ygb6mnh53kpl2mpxe52l8jw,1,45.1,32.2,2022-11-05T08:49:32.219Z,2022-11-05T08:49:36Z,3894586765,1,,3894586761,212,44.7,3894586763,213,1.4,3894586753,196,,3894586757,140,52.7,3894586759,141,96.9,3894586755,56,Left,,,,6iohupgr9c0l4xy19b02kgsx6,N. Triantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
