id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/16/value
2504007909,15,1,1,1,26,go76xxm0xyfgqt1h6tcrtimm,1,44.2,42.5,2023-02-04T17:32:48.777Z,2023-02-05T09:30:36Z,4012709491,140,44.6,4012709497,212,4.1,4012709499,213,1.5,4012709489,56,Back,4012709495,141,48.5,4014253489,178,,,,,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008033,16,1,1,1,29,go76xxm0xyfgqt1h6tcrtimm,1,57.1,43.7,2023-02-04T17:32:51.439Z,2023-02-05T09:30:43Z,4014253613,178,,4012710039,56,Right,4012710045,212,16.9,4012710047,213,5.1,4012710041,140,63.2,4012710043,141,20.7,,,,,,,9bdxi3mvkftmqts59jptqq76d,L. Stindl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008089,17,1,1,1,38,go76xxm0xyfgqt1h6tcrtimm,1,98.3,5.6,2023-02-04T17:33:00.563Z,2023-02-05T09:30:57Z,4012710355,140,89.6,4012710897,210,15,4012710353,56,Center,4012710899,154,,4012710359,212,46.9,4012710357,141,73.2,4012710351,155,,4012710349,2,,43eq31reskwn9veb3vickralm,J. Scally,1,4014005153,386,4014005151,225,4014253875,178,4012710363,1,4014005155,20,4012710361,213,1.8,,,,,,,,,,,,,,,,,,,,,
2504008103,18,15,1,1,41,go76xxm0xyfgqt1h6tcrtimm,1,90,71.3,2023-02-04T17:33:03.493Z,2023-02-05T09:30:58Z,4012710609,233,14,4012710921,103,19,4012710929,146,95.6,4012710915,55,17,4012710935,231,50.7,4012710925,328,,4014254003,178,,4012710911,29,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,4012710919,102,4012710931,147,4012710405,64,4012710909,80,4012710923,108,4012710927,100,,47.9,58.1,4012710933,230,99.3,4012710913,154,4012710571,72,4012710575,82,4012710403,22,4012710407,56,Center,,,,,
2504008081,14,10,1,1,41,cz4a6wmzx2obyisadhgaccx7b,1,5.2,45.5,2023-02-04T17:33:03.917Z,2023-02-05T09:31:03Z,4012710299,94,,4012710613,233,18,4014254119,178,,4012710303,56,Back,,,,,,,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008141,15,49,1,1,44,cz4a6wmzx2obyisadhgaccx7b,1,24.5,10.4,2023-02-04T17:33:06.671Z,2023-02-05T09:31:17Z,,,,,,,,,,,,,,,,,,,,,,,,,e1wv1pujaj9nf92pgs7sm1wtm,S. Kozuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008173,16,1,1,1,46,cz4a6wmzx2obyisadhgaccx7b,1,35.3,8.5,2023-02-04T17:33:09.338Z,2023-02-05T09:31:24Z,4014254565,178,,4012710645,56,Back,4012710653,213,3.2,4012710651,212,8.1,4012710647,140,27.6,4012710649,141,7.4,,,,,,,e1wv1pujaj9nf92pgs7sm1wtm,S. Kozuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008195,17,1,1,1,48,cz4a6wmzx2obyisadhgaccx7b,1,27.5,7.4,2023-02-04T17:33:11.350Z,2023-02-05T09:31:27Z,4012710755,212,18.5,4012710749,56,Back,4012710753,141,25.8,4012710757,213,2.4,4012710751,140,14.5,4014254767,178,,,,,,,,f3xm12deg7xf3g2n3yk11npat,C. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008269,18,1,1,1,50,cz4a6wmzx2obyisadhgaccx7b,1,14.5,25.8,2023-02-04T17:33:13.349Z,2023-02-05T09:31:30Z,4014254835,178,,4012711083,141,52.2,4012711079,56,Back,4012711087,213,2.1,4012711081,140,4.2,4012711085,212,21.0,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504008285,19,1,1,1,54,cz4a6wmzx2obyisadhgaccx7b,1,4.6,53.4,2023-02-04T17:33:17.324Z,2023-02-05T09:31:31Z,4012711185,213,0.1,4014254867,178,,4012711181,141,55.5,4012711177,56,Back,4012711183,212,22.9,4012711179,140,26.4,,,,,,,8td0ccul6gf7r5benk1pxqrx1,R. Fährmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
