id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2461942727,15,1,1,0,42,a8l3w3n0j99qjlsxj3jnmgkz1,0,12.8,41.8,2022-09-18T13:30:59.980Z,2022-09-18T21:27:08Z,3790526327,56,Back,3790526331,141,45.8,3790526337,213,0.2,3790526333,212,13.0,3791825641,157,,3791825649,1,,3790526329,140,24.9,3792534891,178,,4sd2zs6d5cd4d9n3oo54lglat,M. Svanberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942693,16,1,1,0,44,a8d2gb2nag8fy0itbuxmcibh2,1,71.7,58.1,2022-09-18T13:31:01.241Z,2022-09-18T21:27:24Z,3790526165,141,67.0,3790526161,56,Center,3790526169,213,0.8,3792535289,178,,3790526163,140,77.6,3790526167,212,8.7,,,,,,,1vv29mash2uijx542ssjk666t,R. Khedira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942701,17,49,1,0,45,a8d2gb2nag8fy0itbuxmcibh2,1,77.5,66.9,2022-09-18T13:31:01.991Z,2022-09-18T21:27:32Z,,,,,,,,,,,,,,,,,,,,,,,,,emtrl7rrhp3ybsibf1f89kyj9,N. Gießelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942723,18,1,1,0,45,a8d2gb2nag8fy0itbuxmcibh2,1,77.5,66.9,2022-09-18T13:31:02.080Z,2022-09-18T21:27:43Z,3790526313,56,Center,3790526317,141,63.3,3792535899,178,,3790526321,213,3.4,3790526315,140,69.8,3790526319,212,8.4,,,,,,,emtrl7rrhp3ybsibf1f89kyj9,N. Gießelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942733,19,1,1,0,46,a8d2gb2nag8fy0itbuxmcibh2,0,69.8,63.3,2022-09-18T13:31:03.661Z,2022-09-18T21:27:50Z,3790526353,212,17.4,3790526347,56,Center,3792536139,178,,3790526355,213,5.0,3790526351,141,38.9,3790526349,140,74.7,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942731,16,49,1,0,48,a8l3w3n0j99qjlsxj3jnmgkz1,1,30.2,74.1,2022-09-18T13:31:05.950Z,2022-09-18T21:28:06Z,,,,,,,,,,,,,,,,,,,,,,,,,ec04djw7dspowrm7h7wr6e5ed,J. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942751,17,1,1,0,49,a8l3w3n0j99qjlsxj3jnmgkz1,1,30.5,74.1,2022-09-18T13:31:06.021Z,2022-09-18T21:28:12Z,3792536919,178,,3790526473,56,Back,3790526477,141,60.6,3790526475,140,37.6,3790526479,212,11.8,3790526481,213,5.4,,,,,,,ec04djw7dspowrm7h7wr6e5ed,J. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942779,18,1,1,0,50,a8l3w3n0j99qjlsxj3jnmgkz1,1,37.6,60.6,2022-09-18T13:31:07.011Z,2022-09-18T21:28:21Z,3792537207,178,,3790526615,213,2.6,3790526611,141,66.9,3790526607,56,Back,3790526613,212,7.7,3790526609,140,31.5,,,,,,,embn1jhcly07i6pjcvcdiavo5,L. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942799,19,1,1,0,51,a8l3w3n0j99qjlsxj3jnmgkz1,1,32.2,67.2,2022-09-18T13:31:08.611Z,2022-09-18T21:28:29Z,3790526743,213,1.4,3790526729,56,Back,3792537359,178,,3790526737,141,80.5,3790526733,140,34.1,3790526741,212,9.3,,,,,,,en0a6a574x1yvnk8kdxwub949,B. Franjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942817,20,1,1,0,52,a8l3w3n0j99qjlsxj3jnmgkz1,1,34.1,80.5,2022-09-18T13:31:09.410Z,2022-09-18T21:28:35Z,3790526817,212,21.7,3790526813,140,52.7,3790526815,141,66.7,3790526811,56,Center,3790526819,213,5.8,3792537567,178,,,,,,,,ec04djw7dspowrm7h7wr6e5ed,J. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942825,21,61,1,0,53,a8l3w3n0j99qjlsxj3jnmgkz1,0,52.7,66.7,2022-09-18T13:31:10.081Z,2022-09-18T21:28:48Z,3790526855,56,Center,3792538057,178,,,,,,,,,,,,,,,,,,,,embn1jhcly07i6pjcvcdiavo5,L. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
