id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value
2533600239,23,1,1,0,51,3dwlvz6cl4lcavvrg0y2dycrt,0,79.4,79.7,2023-04-15T13:32:58.103Z,2023-04-16T06:27:06Z,4190132099,213,4.4,4190132089,56,Center,4190132095,212,5.1,4190132091,140,77.7,4194054939,178,,4190132093,141,72.6,,,,,,,3havaatbnk8p6gc9srgajc25l,C. Führich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600251,8,49,1,0,52,dt4pinj0vw0t0cvz7za6mhmzy,1,20.4,27.7,2023-04-15T13:32:58.822Z,2023-04-16T06:27:10Z,,,,,,,,,,,,,,,,,,,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600277,9,1,1,0,52,dt4pinj0vw0t0cvz7za6mhmzy,0,20.4,27.7,2023-04-15T13:32:58.904Z,2023-04-16T06:27:14Z,4190132265,140,27.4,4190132269,212,16.6,4190132267,141,5.8,4194055129,178,,4190132271,213,5.2,4190132263,56,Back,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600307,24,49,1,0,54,3dwlvz6cl4lcavvrg0y2dycrt,1,67.2,91.4,2023-04-15T13:33:00.768Z,2023-04-16T06:27:40Z,,,,,,,,,,,,,,,,,,,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600337,25,1,1,0,54,3dwlvz6cl4lcavvrg0y2dycrt,1,67.2,91.4,2023-04-15T13:33:00.772Z,2023-04-16T06:27:37Z,4190132555,213,4.7,4190132551,141,69.4,4190132549,140,66.7,4190132553,212,15.0,4190132547,56,Center,4194055295,178,,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600365,26,1,1,0,57,3dwlvz6cl4lcavvrg0y2dycrt,0,66.8,69,2023-04-15T13:33:03.414Z,2023-04-16T06:27:54Z,4190132669,212,9.6,4190132665,140,75.9,4190132667,141,70.9,4194055715,178,,4190132663,56,Center,4190132671,213,0.1,,,,,,,a4p1m3cqm6z2p1bw97s6k46ad,A. Karazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600431,10,12,1,0,57,dt4pinj0vw0t0cvz7za6mhmzy,1,15.1,37.1,2023-04-15T13:33:04.073Z,2023-04-16T06:28:41Z,4190132993,56,Back,4190133001,213,6.1,4190132995,140,26.0,4190132999,212,11.6,4194056545,178,,4190132997,141,34.2,,,,,,,emvi36y613e4lqlat3wfdih9l,S. Özcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600441,11,49,1,0,58,dt4pinj0vw0t0cvz7za6mhmzy,1,25.5,33.3,2023-04-15T13:33:05.085Z,2023-04-16T06:28:45Z,,,,,,,,,,,,,,,,,,,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600451,12,61,1,1,0,dt4pinj0vw0t0cvz7za6mhmzy,1,25.6,32.8,2023-04-15T13:33:06.520Z,2023-04-16T06:29:00Z,4190133065,56,Back,4194056919,178,,4190133117,238,,,,,,,,,,,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600503,13,5,1,1,2,dt4pinj0vw0t0cvz7za6mhmzy,0,25.8,-1.3,2023-04-15T13:33:09.152Z,2023-04-16T06:29:03Z,4190133277,347,,4190133275,56,Back,4190133665,233,27,,,,,,,,,,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533600557,27,5,1,1,2,3dwlvz6cl4lcavvrg0y2dycrt,1,74.2,101.3,2023-04-15T13:33:09.152Z,2023-04-16T06:29:03Z,4190133645,233,13,4190133631,56,Left,4190133633,347,,,,,,,,,,,,,,,,,3kti58d195gmtzwrjh5nprx05,W. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533601487,28,1,1,1,42,3dwlvz6cl4lcavvrg0y2dycrt,0,73.4,100,2023-04-15T13:33:48.995Z,2023-04-16T06:29:43Z,4190141989,238,,4190138055,107,,4190138059,140,84.9,4190142227,189,,4190138057,56,Left,4190138065,212,15.0,4190138067,213,5.7,4190138061,141,88.2,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533602519,24,49,1,1,44,dt4pinj0vw0t0cvz7za6mhmzy,1,23,23,2023-04-15T13:33:50.514Z,2023-04-16T06:29:41Z,4190153417,189,,,,,,,,,,,,,,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533603629,33,61,1,1,45,dt4pinj0vw0t0cvz7za6mhmzy,1,20.7,27.1,2023-04-15T13:33:51.369Z,2023-04-16T06:29:39Z,4190148565,56,Back,4190153221,189,,4194057175,178,,,,,,,,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533694779,465,61,1,1,46,3dwlvz6cl4lcavvrg0y2dycrt,1,39.5,28.9,2023-04-15T13:33:52.352Z,2023-04-16T06:29:37Z,4194057205,178,,4190620975,189,,4190620833,56,Back,,,,,,,,,,,,,,,,bibz1qxakmbflq73marmo4nop,J. Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533695017,466,1,1,1,52,3dwlvz6cl4lcavvrg0y2dycrt,0,38.6,59.4,2023-04-15T13:33:58.717Z,2023-04-16T06:29:33Z,4190622287,233,14,4190622203,56,Back,4190622285,236,,4190622291,286,,4194057369,389,,4190622211,213,0.3,4190622207,141,60.5,4190622209,212,2.2,3kti58d195gmtzwrjh5nprx05,W. Endo,4190622205,140,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533601503,14,74,1,1,52,dt4pinj0vw0t0cvz7za6mhmzy,1,62.4,34.2,2023-04-15T13:33:58.790Z,2023-04-16T06:29:29Z,4190138139,56,Center,4190622299,233,466,4190145827,285,,4194057485,178,,,,,,,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
