id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/13/value
2543968525,19,1,1,1,49,1c7qokc1j5z50cjj4tcu32haa,1,60.1,94.2,2023-05-05T18:32:06.312Z,2023-05-06T01:21:03Z,4252289067,56,Back,4253042015,178,,4252289073,212,18.9,4252289075,213,3.2,4252289069,140,42.2,4252290111,189,,4252289071,141,91.9,,,,am0pcyvtaws1i69jt09dgnsnp,L. Ajorque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968559,20,1,1,1,51,1c7qokc1j5z50cjj4tcu32haa,1,44.7,86.5,2023-05-05T18:32:08.457Z,2023-05-06T01:21:07Z,4252289235,1,,4252289227,140,79.7,4253042113,178,,4252289223,196,,4252289231,212,65.8,4252289233,213,5.3,4252289229,141,6.2,4252289221,155,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,4252289225,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968561,21,61,1,1,55,1c7qokc1j5z50cjj4tcu32haa,0,81.5,6.2,2023-05-05T18:32:12.404Z,2023-05-06T01:21:32Z,4252289243,56,Right,4253042805,388,,4253042803,15,,,,,,,,,,,,,,,,,amd4rodp6senk2c1mmlsqozpx,D. da Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968577,19,49,1,1,56,cz4a6wmzx2obyisadhgaccx7b,1,18,92.4,2023-05-05T18:32:13.068Z,2023-05-06T01:52:47Z,,,,,,,,,,,,,,,,,,,,,,,,,w2jovd0ta6to004lvlri5gtm,H. Matriciani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968623,20,4,1,1,57,cz4a6wmzx2obyisadhgaccx7b,1,13,91.8,2023-05-05T18:32:14.245Z,2023-05-06T01:21:58Z,4252289541,285,,4252289561,233,22,4252289537,56,Back,4252289539,152,,4252289533,13,,4252289535,294,,,,,,,,w2jovd0ta6to004lvlri5gtm,H. Matriciani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968611,22,4,1,1,57,1c7qokc1j5z50cjj4tcu32haa,0,87,8.2,2023-05-05T18:32:14.246Z,2023-05-06T01:21:58Z,4253043461,178,,4252289465,56,Right,4252289767,294,,4252289463,13,,4252289471,286,,4252289467,152,,4252289813,233,20,,,,amd4rodp6senk2c1mmlsqozpx,D. da Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543969001,21,1,1,2,31,cz4a6wmzx2obyisadhgaccx7b,1,19.3,92.5,2023-05-05T18:32:48.142Z,2023-05-06T01:22:19Z,4252291489,213,5.9,4252291481,56,Center,4252291487,212,73.7,4252291475,155,,4252297711,1,,4252291479,152,,4252291471,5,,4252291485,141,56.1,dvo2f7d0yosn404wsrsgeprdh,A. Schwolow,4252291483,140,85.4,4253044065,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543969087,22,1,1,2,36,cz4a6wmzx2obyisadhgaccx7b,0,85.7,56.1,2023-05-05T18:32:53.222Z,2023-05-06T01:22:23Z,4253044133,388,,4252291917,212,10.4,4252291911,56,Center,4252291919,213,4.4,4252291909,3,,4252291913,140,82.9,4252291915,141,41.5,,,,at2rbigl1d8bsjw2u6lhfcatx,K. Karaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543969095,23,49,1,2,38,1c7qokc1j5z50cjj4tcu32haa,1,13.4,61.5,2023-05-05T18:32:55.075Z,2023-05-06T01:22:30Z,,,,,,,,,,,,,,,,,,,,,,,,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543969117,24,1,1,2,38,1c7qokc1j5z50cjj4tcu32haa,0,13.4,61.5,2023-05-05T18:32:55.132Z,2023-05-06T01:22:35Z,4252292045,213,0.1,4252292043,212,29.3,4252292035,157,,4252292039,140,41.2,4253044281,178,,4252292037,56,Back,4252292047,1,,4252292041,141,65.3,6uurhe88nry4hyelll8ifzd91,E. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543969145,23,1,1,2,40,cz4a6wmzx2obyisadhgaccx7b,0,55.4,29.1,2023-05-05T18:32:56.932Z,2023-05-06T01:22:39Z,4252292177,140,64.2,4252292179,141,32.3,4252292183,213,0.2,4253044373,388,,4252292181,212,9.5,4252292173,3,,4252292175,56,Center,,,,f3xm12deg7xf3g2n3yk11npat,C. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544116579,923,67,1,2,41,1c7qokc1j5z50cjj4tcu32haa,1,36.4,68.2,2023-05-05T18:32:58.115Z,2023-05-06T03:33:39Z,4253075433,233,837,,,,,,,,,,,,,,,,,,,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544116573,837,67,1,2,41,cz4a6wmzx2obyisadhgaccx7b,0,63.6,31.8,2023-05-05T18:32:58.116Z,2023-05-06T01:53:38Z,4253075441,233,923,,,,,,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
