id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2475666195,6,1,1,0,48,c5hderjlkcoaze51e5wgvptk,0,70.7,93.8,2022-10-22T16:32:08.697Z,2022-10-23T05:54:39Z,3863456043,141,96.4,3863456039,56,Left,3863456045,212,21.1,3865367117,178,,3863456041,140,90.7,3863456047,213,0.1,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666183,22,49,1,0,50,go76xxm0xyfgqt1h6tcrtimm,1,15.3,4.7,2022-10-22T16:32:11.005Z,2022-10-23T05:54:50Z,,,,,,,,,,,,,,,,,,,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666237,23,1,1,0,50,go76xxm0xyfgqt1h6tcrtimm,1,15.1,4.7,2022-10-22T16:32:11.102Z,2022-10-23T05:54:56Z,3863456243,213,2.6,3863456239,141,13.2,3863456235,56,Back,3865367471,178,,3863456241,212,10.5,3863456237,140,6.7,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666269,24,1,1,0,53,go76xxm0xyfgqt1h6tcrtimm,0,4.6,13.2,2022-10-22T16:32:13.295Z,2022-10-23T05:55:02Z,3863456383,157,,3863456385,56,Back,3863456391,212,28.2,3863456387,140,29.6,3863456395,1,,3863456393,213,5.9,3863456389,141,0.0,3865367549,178,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666327,7,5,1,0,55,c5hderjlkcoaze51e5wgvptk,1,70,101.4,2022-10-22T16:32:15.902Z,2022-10-23T05:55:05Z,3863456711,347,,3863458869,233,25,3863456709,56,Left,,,,,,,,,,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666273,25,5,1,0,55,go76xxm0xyfgqt1h6tcrtimm,0,30,-1.4,2022-10-22T16:32:15.902Z,2022-10-23T05:55:05Z,3863456425,347,,3863458885,233,7,3863456423,56,Back,,,,,,,,,,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666531,8,1,1,1,11,c5hderjlkcoaze51e5wgvptk,1,69.3,100,2022-10-22T16:32:31.331Z,2022-10-23T05:55:09Z,3863457911,141,94.1,3863457907,56,Left,3863457905,107,,3863457913,212,14.1,3863457915,213,5.9,3863457909,140,81.9,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666577,9,1,1,1,12,c5hderjlkcoaze51e5wgvptk,1,81.9,94.1,2022-10-22T16:32:32.993Z,2022-10-23T05:55:14Z,3863458169,213,2.5,3863458161,56,Left,3863458163,140,80.0,3865367807,178,,3863458165,141,96.4,3863458167,212,2.5,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666593,10,3,1,1,13,c5hderjlkcoaze51e5wgvptk,1,86.2,94.8,2022-10-22T16:32:34.288Z,2022-10-23T05:55:22Z,3863458251,56,Left,3863458271,233,26,3863458255,286,,3864852795,465,,3865367913,178,,,,,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666585,26,45,1,1,13,go76xxm0xyfgqt1h6tcrtimm,0,13.8,5.2,2022-10-22T16:32:34.288Z,2022-10-23T05:55:22Z,3863458209,56,Back,3863458305,233,10,3863458211,285,,,,,,,,,,,,,,,,,9bdxi3mvkftmqts59jptqq76d,L. Stindl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
