id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500336939,19,5,1,1,14,4l9mrqzmajz5crzlz50mtbt6x,0,101.6,60,2023-01-24T19:31:32.117Z,2023-01-25T09:31:43Z,3993520389,56,Center,3993529747,233,11,3993520391,346,,,,,,,,,,,,,,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337005,12,1,1,1,27,3dwlvz6cl4lcavvrg0y2dycrt,1,4.3,50,2023-01-24T19:31:44.586Z,2023-01-25T09:31:49Z,3993520655,213,4.9,3993520659,237,,3993520645,124,,3993520651,141,16.5,3993520647,56,Back,3993520649,140,8.1,3993520653,212,23.1,,,,5bzowvtg5vhntcx1w3roriehh,F. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337023,13,1,1,1,28,3dwlvz6cl4lcavvrg0y2dycrt,1,8.1,16.5,2023-01-24T19:31:46.112Z,2023-01-25T09:31:54Z,3993520729,141,39.5,3993520733,213,1.9,3994200577,178,,3993520731,212,16.8,3993520725,56,Back,3993520727,140,2.3,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337039,14,1,1,1,30,3dwlvz6cl4lcavvrg0y2dycrt,0,2.3,39.5,2023-01-24T19:31:47.612Z,2023-01-25T09:32:05Z,3993520807,141,33.7,3994200755,178,,3993520811,213,6.2,3993520805,140,39.0,3993520813,1,,3993520809,212,38.7,3993520801,157,,3993520803,56,Back,5bzowvtg5vhntcx1w3roriehh,F. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337055,20,1,1,1,33,4l9mrqzmajz5crzlz50mtbt6x,0,60.1,67.9,2023-01-24T19:31:51.009Z,2023-01-25T09:32:19Z,3993520889,56,Center,3994201049,388,,3993520899,1,,3993520897,213,5.7,3993520895,212,16.2,3993520887,157,,3993520893,141,55.4,3993520891,140,73.2,7hnmtyfmurizitwz1whecjnmy,A. Stiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500377389,478,44,1,1,36,3dwlvz6cl4lcavvrg0y2dycrt,1,24.7,42.6,2023-01-24T19:31:53.696Z,2023-01-25T11:09:37Z,3993720909,233,370,3993720875,285,,3993720863,56,Back,,,,,,,,,,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500365587,370,44,1,1,36,4l9mrqzmajz5crzlz50mtbt6x,0,75.3,57.4,2023-01-24T19:31:53.697Z,2023-01-25T09:32:24Z,3993660569,56,Center,3993660571,286,,3993720957,233,478,,,,,,,,,,,,,,,,bkbmygo5f1glcs6xssawl26z9,I. Bebou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337073,15,1,1,1,36,3dwlvz6cl4lcavvrg0y2dycrt,1,27.2,41.2,2023-01-24T19:31:53.713Z,2023-01-25T11:09:38Z,3993520973,3,,3993520975,56,Back,3993520981,212,6.9,3993520977,140,33.6,3993520979,141,43.6,3994201283,388,,3993520983,213,0.2,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337105,16,1,1,1,37,3dwlvz6cl4lcavvrg0y2dycrt,1,27.9,44.3,2023-01-24T19:31:55.209Z,2023-01-25T09:32:33Z,3993521107,56,Back,3994201369,178,,3993521111,141,83.2,3993521109,140,27.3,3993521113,212,26.5,3993521115,213,1.6,,,,,,,a4p1m3cqm6z2p1bw97s6k46ad,A. Karazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337125,17,1,1,1,40,3dwlvz6cl4lcavvrg0y2dycrt,1,27.3,83.2,2023-01-24T19:31:57.529Z,2023-01-25T09:32:36Z,3993521203,56,Back,3993521209,212,16.0,3993521207,141,83.3,3993521211,213,0.0,3994201459,178,,3993521205,140,42.5,,,,,,,1en0bgq0u842snszevlkscxk9,N. Nartey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337129,18,43,1,1,42,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-01-24T19:32:00.290Z,2023-01-24T19:32:06Z,3993521221,286,0,3993521219,56,Back,3993521445,144,50,,,,,,,,,,,,,,,,9ic8hvnkzj9p0ikh6bwaeoqju,Tiago Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337157,21,43,1,1,42,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-01-24T19:32:00.291Z,2023-01-24T19:32:04Z,3993521399,144,7,3993521355,233,18,3993521341,56,Right,3993521343,285,0,,,,,,,,,,,,,shbxc528h0udd6rdf3ax2itx,P. Kadeřábek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337147,19,4,1,1,43,3dwlvz6cl4lcavvrg0y2dycrt,1,42.6,90.6,2023-01-24T19:32:00.354Z,2023-01-25T09:32:44Z,3993521291,56,Back,3993521293,152,,3993521297,286,,3993521295,265,,3993521289,13,,3993521381,233,22,,,,,,,9ic8hvnkzj9p0ikh6bwaeoqju,Tiago Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337159,22,4,1,1,43,4l9mrqzmajz5crzlz50mtbt6x,0,57.4,9.4,2023-01-24T19:32:00.355Z,2023-01-25T09:32:43Z,3993521403,233,19,3993521353,285,,3993521349,152,,3994201605,178,,3993521347,56,Right,3993521351,265,,3993521345,13,,,,,shbxc528h0udd6rdf3ax2itx,P. Kadeřábek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500337291,20,1,1,2,3,3dwlvz6cl4lcavvrg0y2dycrt,1,31.9,89.9,2023-01-24T19:32:20.386Z,2023-01-25T09:32:51Z,3993521973,140,15.2,3993521971,56,Back,3993521967,5,,3993521979,213,3.5,3993523625,189,,3993521975,141,78.8,3994201755,178,,3993521969,152,,1en0bgq0u842snszevlkscxk9,N. Nartey,3993521977,212,,,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
