id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2536668749,19,44,1,1,42,6g9qrm72224jrk6tkxxxi8a9n,1,40.2,84.5,2023-04-21T18:01:50.366Z,2023-04-24T15:28:10Z,4206423927,285,,4206423983,233,14,4206423925,56,Back,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668745,14,44,1,1,42,ears40cp6opsgvhsy0dgyszpd,0,59.8,15.5,2023-04-21T18:01:50.367Z,2023-04-24T14:13:19Z,4206423915,56,Right,4206423917,286,,4206423997,233,19,,,,,,,,,,,,,,,,lfp411vh3vtjbvd6xra4jpp1,B. Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668761,20,61,1,1,42,6g9qrm72224jrk6tkxxxi8a9n,1,38.1,86.9,2023-04-21T18:01:50.412Z,2023-04-24T15:28:11Z,4217604247,388,,4206423979,56,Back,4217604245,15,,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668763,15,50,1,1,43,ears40cp6opsgvhsy0dgyszpd,1,55.3,16.8,2023-04-21T18:01:51.497Z,2023-04-24T14:13:30Z,4206423989,286,,4206423987,56,Right,4206424053,233,21,,,,,,,,,,,,,,,,9wgpudcet9m8doz9ezbjxzkrt,J. Jacobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668775,21,7,1,1,43,6g9qrm72224jrk6tkxxxi8a9n,1,44.7,83.2,2023-04-21T18:01:51.984Z,2023-04-24T14:13:34Z,4217604589,178,,4206424029,285,,4206424027,56,Back,4206424043,233,15,4209277841,383,,,,,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668777,22,49,1,1,44,6g9qrm72224jrk6tkxxxi8a9n,1,53.9,90,2023-04-21T18:01:52.986Z,2023-04-24T14:13:38Z,,,,,,,,,,,,,,,,,,,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668801,23,1,1,1,46,6g9qrm72224jrk6tkxxxi8a9n,1,58.9,92,2023-04-21T18:01:54.731Z,2023-04-24T14:13:43Z,4206424181,213,5.1,4217605145,178,,4206424177,141,85.0,4206424179,212,5.2,4206424175,140,61.0,4206424173,56,Left,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668823,24,1,1,1,47,6g9qrm72224jrk6tkxxxi8a9n,1,61,85,2023-04-21T18:01:55.252Z,2023-04-24T14:13:48Z,4206424303,141,85.9,4206424305,212,8.1,4206424301,140,53.3,4217605409,178,,4206424299,56,Left,4206424307,213,3.1,,,,,,,c5jk0pvcvqddy0xiqv6qkesph,H. Veerman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668863,25,1,1,1,48,6g9qrm72224jrk6tkxxxi8a9n,1,53.3,85.9,2023-04-21T18:01:56.847Z,2023-04-24T14:14:00Z,4206424501,141,69.9,4206424505,212,15.7,4206424499,140,42.5,4206424497,56,Back,4206424509,213,3.9,4217605765,178,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668883,26,1,1,1,50,6g9qrm72224jrk6tkxxxi8a9n,1,46.2,68.8,2023-04-21T18:01:58.587Z,2023-04-24T14:14:04Z,4206424617,213,4.7,4206424609,56,Back,4206424613,141,42.9,4217605935,178,,4206424615,212,17.6,4206424611,140,45.9,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
