id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,keyPass,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2518687843,22,1,1,0,51,6hsriqr3ybvyg94w2k19oal50,1,48.7,58.8,2023-03-11T20:01:33.869Z,2023-03-14T02:40:43Z,4090200171,212,18.3,4090200167,140,50.0,4090200169,141,85.7,4097132633,178,,4090200165,56,Left,4090200173,213,1.5,,,,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687865,23,1,1,0,53,6hsriqr3ybvyg94w2k19oal50,0,49.9,87.2,2023-03-11T20:01:36.116Z,2023-03-14T02:40:50Z,4090200323,213,6.1,4090200317,140,68.1,4090200319,141,82.0,4097132727,178,,4090200315,56,Left,4090200321,212,19.4,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687845,10,1,1,0,55,89w5c6pw7vn0dxypi61tt0g4k,0,31.5,18.6,2023-03-11T20:01:37.782Z,2023-03-14T02:41:03Z,4090200189,141,18.2,4090200183,157,,4090200191,212,3.6,4090200195,1,,4090200437,236,,4090200443,286,,4090200187,140,34.9,4090200193,213,6.2,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,4090200439,233,24,4097132871,389,4090200185,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687875,24,74,1,0,55,6hsriqr3ybvyg94w2k19oal50,1,63.9,79.6,2023-03-11T20:01:37.856Z,2023-03-14T02:41:09Z,4090200371,56,Left,4090200449,233,10,4097132903,178,,4090200373,285,,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687849,11,61,1,0,55,89w5c6pw7vn0dxypi61tt0g4k,1,31.1,18.8,2023-03-11T20:01:37.967Z,2023-03-14T02:41:16Z,4097132981,178,,4090200239,56,Back,4097132979,21,,,,,,,,,,,,,,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518688013,26,1,1,0,56,6hsriqr3ybvyg94w2k19oal50,0,68.5,90.8,2023-03-11T20:01:39.676Z,2023-03-14T02:41:22Z,4090201185,56,Left,4097133031,178,,4090201193,213,0.8,4090201191,212,10.7,4090201189,141,100.0,4090201187,140,75.6,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687867,12,5,1,0,58,89w5c6pw7vn0dxypi61tt0g4k,1,30.8,-0.9,2023-03-11T20:01:40.935Z,2023-03-14T02:41:27Z,4090200325,56,Back,4090200327,347,,4090203263,233,25,,,,,,,,,,,,,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687929,25,5,1,0,58,6hsriqr3ybvyg94w2k19oal50,0,69.2,100.9,2023-03-11T20:01:40.935Z,2023-03-14T02:41:27Z,4090200697,347,,4090203271,233,12,4090200695,56,Left,,,,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518688015,27,43,1,1,16,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-11T20:01:59.362Z,2023-03-11T20:02:01Z,4090201199,56,Left,4090201257,144,5,4090201201,347,0,,,,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518688059,13,1,1,1,19,89w5c6pw7vn0dxypi61tt0g4k,1,32.6,0,2023-03-11T20:02:02.269Z,2023-03-14T02:41:35Z,4090201447,212,8.9,4090201449,213,0.6,4090201443,140,39.4,4090201439,107,,4090201445,141,7.0,4090201441,56,Back,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
