id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/17/value
2481363309,25,2,1,0,39,ears40cp6opsgvhsy0dgyszpd,1,88.9,38.8,2022-11-04T19:03:59.853Z,2022-11-05T09:05:51Z,3893576943,141,62.0,3893576937,7,4utb2o5c0e57kf0iwdavpzg15,3894606529,178,,3893576939,56,Center,3893576941,140,93.6,,,,,,,,,,7pz3qz589b7v3pkb9h0hv73l5,D. van Kaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481362297,12,55,1,0,39,8iawijq7s9s6d85mjz8wdslki,1,7,41.7,2022-11-04T19:03:59.854Z,2022-11-05T09:05:52Z,,,,,,,,,,,,,,,,,,,,,,,,,qobf1v5kwuz6hj2ooixfw4mi,B. van Rooij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481362443,20,43,1,0,46,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-11-04T19:04:07.257Z,2022-11-04T19:07:19Z,3893581867,144,5,3893572397,56,Left,3893572399,347,0,,,,,,,,,,,,,,,,tv8e6nxc7jl8wbzf6ojd6dw5,D. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481362189,9,1,1,1,2,8iawijq7s9s6d85mjz8wdslki,1,7.3,47.8,2022-11-04T19:04:22.685Z,2022-11-05T09:05:59Z,3893571157,212,13.8,3893582465,152,,3893571149,140,10.7,3894606635,178,,3893582463,5,,3893571153,141,67.4,3893571159,213,1.3,3893571147,56,Back,alkcbccyfsjddm897cgz7wel1,J. Cillessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481362205,10,1,1,1,4,8iawijq7s9s6d85mjz8wdslki,1,10.1,64.5,2022-11-04T19:04:25.046Z,2022-11-05T09:06:02Z,3893571255,213,0.8,3893571249,140,28.1,3893571251,141,94.8,3893571253,212,28.0,3894606733,178,,3893571247,56,Back,,,,,,,913pg8qqcjp99h5fjybbenob9,P. Sandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481362295,11,1,1,1,6,8iawijq7s9s6d85mjz8wdslki,1,30.6,95.6,2022-11-04T19:04:27.571Z,2022-11-05T09:06:05Z,3893571695,213,6.3,3893571679,140,46.4,3893571689,212,16.6,3893571675,56,Back,3893571685,141,95.0,3894606775,178,,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481362299,13,1,1,1,9,8iawijq7s9s6d85mjz8wdslki,1,45.6,95.8,2022-11-04T19:04:30.334Z,2022-11-05T09:06:12Z,3893793069,141,84.3,3893793073,212,9.2,3893793067,140,41.0,3893793077,213,4.2,3893793065,56,Back,3894606911,178,,,,,,,,4fiks6jvfxzbs9k0s050vmfbo,I. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481403739,413,1,1,1,11,8iawijq7s9s6d85mjz8wdslki,1,43,87.3,2022-11-04T19:04:32.279Z,2022-11-05T09:06:17Z,3894607015,178,,3893793803,140,46.9,3893793809,213,1.0,3893793801,56,Back,3893793807,212,7.1,3893793805,141,95.9,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481403867,414,1,1,1,12,8iawijq7s9s6d85mjz8wdslki,1,45.8,96.5,2022-11-04T19:04:33.523Z,2022-11-05T09:06:22Z,3893794493,213,6.2,3893794485,56,Left,3893794487,140,57.0,3893794489,141,95.3,3893794491,212,11.8,3894607077,178,,,,,,,,4fiks6jvfxzbs9k0s050vmfbo,I. Cissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481404011,415,1,1,1,17,8iawijq7s9s6d85mjz8wdslki,1,57.8,95.9,2022-11-04T19:04:37.847Z,2022-11-05T09:06:25Z,3893795215,213,3.6,3893795209,140,47.9,3893795211,141,87.8,3893795213,212,11.8,3893795207,56,Back,3894607151,178,,,,,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
