id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/19/value
2455233849,15,61,1,0,51,89w5c6pw7vn0dxypi61tt0g4k,0,65.5,75.5,2022-09-03T18:01:18.161Z,2022-09-05T04:02:59Z,3760094867,178,,3754879953,56,Center,,,,,,,,,,,,,,,,,,,2nwthqvbk70e2qo35dgp35979,V. van Crooij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456244887,831,67,1,0,52,6g9qrm72224jrk6tkxxxi8a9n,1,34.2,35.7,2022-09-03T18:01:19.260Z,2022-09-05T19:48:00Z,3760266685,233,920,,,,,,,,,,,,,,,,,,,,,,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456244885,920,67,1,0,52,89w5c6pw7vn0dxypi61tt0g4k,0,65.8,64.3,2022-09-03T18:01:19.261Z,2022-09-05T08:07:34Z,3760266695,233,831,,,,,,,,,,,,,,,,,,,,,,2nwthqvbk70e2qo35dgp35979,V. van Crooij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233921,17,4,1,0,53,6g9qrm72224jrk6tkxxxi8a9n,1,34.4,27.8,2022-09-03T18:01:19.387Z,2022-09-05T04:03:10Z,3754880351,233,16,3754880333,152,,3754880337,286,,3754880329,56,Back,3754880327,13,,3754880335,265,,,,,,,,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233909,16,4,1,0,53,89w5c6pw7vn0dxypi61tt0g4k,0,65.6,72.2,2022-09-03T18:01:19.388Z,2022-09-05T04:03:10Z,3754880259,56,Center,3760094977,178,,3754880257,13,,3754880263,265,,3754880261,152,,3754880415,233,17,3754880265,285,,,,,2nwthqvbk70e2qo35dgp35979,V. van Crooij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233897,16,43,1,0,57,6g9qrm72224jrk6tkxxxi8a9n,1,0,0,2022-09-03T18:01:23.665Z,2022-09-03T18:01:26Z,3754880443,144,61,3754880185,56,Back,,,,,,,,,,,,,,,,,,,6jqn5grsuhuo5at81pzahr6xh,R. Mühren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233967,18,1,1,0,58,6g9qrm72224jrk6tkxxxi8a9n,1,30.8,33,2022-09-03T18:01:24.761Z,2022-09-05T04:03:15Z,3754880593,212,19.5,3754880595,213,5.0,3754880585,152,,3754880589,140,35.9,3754880587,56,Back,3760095025,178,,3754880591,141,5.5,3754880581,5,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455234057,19,1,1,1,0,6g9qrm72224jrk6tkxxxi8a9n,1,35.9,5.5,2022-09-03T18:01:27.135Z,2022-09-05T04:03:36Z,3754881025,140,25.2,3754881031,213,2.6,3754881029,212,13.5,3754881027,141,16.5,3760095161,178,,3754881023,56,Back,,,,,,,eayvrkzzkk0xu4c5rrxgzlroq,A. Douiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455234139,20,1,1,1,8,6g9qrm72224jrk6tkxxxi8a9n,1,26.8,26.5,2022-09-03T18:01:34.397Z,2022-09-05T04:03:46Z,3754881447,212,26.5,3754881441,56,Back,3754881445,141,65.2,3754881449,213,1.7,3760095201,178,,3754881443,140,24.2,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455234199,21,1,1,1,14,6g9qrm72224jrk6tkxxxi8a9n,1,27.2,65.7,2022-09-03T18:01:40.550Z,2022-09-05T04:03:50Z,3754881761,213,5.1,3754881753,140,44.5,3754881749,56,Back,3754881745,155,,3754881759,212,44.5,3760095225,178,,3754881757,141,5.9,3754881763,1,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455234263,22,1,1,1,20,6g9qrm72224jrk6tkxxxi8a9n,1,43.8,9.5,2022-09-03T18:01:46.415Z,2022-09-05T04:03:58Z,3754882055,212,14.4,3754882057,213,2.9,3754882051,140,30.5,3754882053,141,14.4,3754882049,56,Back,3760095335,178,,,,,,,,eayvrkzzkk0xu4c5rrxgzlroq,A. Douiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455234309,23,1,1,1,24,6g9qrm72224jrk6tkxxxi8a9n,1,30.1,8.9,2022-09-03T18:01:50.737Z,2022-09-05T04:04:04Z,3754882299,141,3.1,3754882295,56,Back,3754882301,212,16.6,3754882297,140,45.5,3754882303,213,6.0,3760095395,178,,,,,,,,8ozlo6qrdavr86guhclwvh84q,B. Plat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
