id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2495042531,11,1,1,1,0,af91jdcs6x0bqkmdb78rokod2,1,11.1,47.8,2023-01-04T17:32:13.122Z,2023-01-05T01:21:11Z,3965655245,56,Back,3965655253,213,0.3,3965655249,141,57.9,3965655255,1,,3965655251,212,20.6,3966058909,178,,3965655243,157,,3965655247,140,29.6,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042895,31,1,1,1,1,af91jdcs6x0bqkmdb78rokod2,0,29.5,60.4,2023-01-04T17:32:13.952Z,2023-01-05T01:21:16Z,3966058945,178,,3965658035,141,52.2,3965658031,56,Back,3965658039,213,6.0,3965658029,168,,3965658033,140,47.6,3965658037,212,19.8,,,,86603cyr3osksy73el0ncy7yt,C. Dessers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042533,20,49,1,1,3,bqbbqm98ud8obe45ds9ohgyrd,1,52.1,50.9,2023-01-04T17:32:16.439Z,2023-01-05T01:21:20Z,,,,,,,,,,,,,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042535,21,1,1,1,3,bqbbqm98ud8obe45ds9ohgyrd,0,52.1,50.9,2023-01-04T17:32:16.513Z,2023-01-05T01:21:23Z,3965655263,212,17.6,3965655259,140,65.0,3966059015,178,,3965655261,141,34.3,3965655257,56,Center,3965655265,213,5.6,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042539,12,49,1,1,4,af91jdcs6x0bqkmdb78rokod2,1,37.3,64,2023-01-04T17:32:17.430Z,2023-01-05T01:21:28Z,,,,,,,,,,,,,,,,,,,,,,,,,86603cyr3osksy73el0ncy7yt,C. Dessers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042561,13,1,1,1,5,af91jdcs6x0bqkmdb78rokod2,1,38.3,63.3,2023-01-04T17:32:18.774Z,2023-01-05T01:21:36Z,3965655375,141,55.3,3965655379,213,6.0,3966059083,178,,3965655371,56,Center,3965655569,210,15,3965655377,212,19.7,3965655373,140,56.3,3965655571,154,,86603cyr3osksy73el0ncy7yt,C. Dessers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042563,14,15,1,1,11,af91jdcs6x0bqkmdb78rokod2,1,87.4,65.4,2023-01-04T17:32:24.407Z,2023-01-05T01:21:36Z,3965655591,147,63.2,3965655481,233,22,3965655387,64,,3965655579,55,13,3965655593,230,98.9,3965655585,103,19,3965655577,154,,3965655583,102,49.4,1gnc1tbpmomiqt1sty2lktt5,D. Okereke,,3965655595,231,52.2,3965655389,56,Center,3965655479,82,3965655589,146,89.1,3965655575,29,3965655473,23,3965655573,78,3965655587,215,3965655475,72,3966059105,178,,,,,,,,,,,,,,,,,
2495042565,22,10,1,1,11,bqbbqm98ud8obe45ds9ohgyrd,1,10.9,30.2,2023-01-04T17:32:24.448Z,2023-01-05T01:21:45Z,3966059191,178,,3965655397,94,,3965655485,233,14,3965655399,56,Back,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042567,15,6,1,1,12,af91jdcs6x0bqkmdb78rokod2,1,88.2,67.6,2023-01-04T17:32:25.098Z,2023-01-05T01:21:48Z,3965655403,73,,3965655401,56,Center,3965655449,233,23,,,,,,,,,,,,,,,,1gnc1tbpmomiqt1sty2lktt5,D. Okereke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042579,23,6,1,1,12,bqbbqm98ud8obe45ds9ohgyrd,0,11.8,32.4,2023-01-04T17:32:25.098Z,2023-01-05T01:21:47Z,3965655441,56,Back,3965655469,233,15,3965655443,73,,,,,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
