id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/16/value,qualifier/11/value,assist
2451713707,16,1,1,2,35,bqbbqm98ud8obe45ds9ohgyrd,0,55.6,49.5,2022-08-27T16:33:40.832Z,2022-08-27T23:49:06Z,3736064211,141,42.7,3736064209,140,54.6,3736064207,56,Center,3736064213,212,4.7,3737917853,178,,3736064215,213,4.5,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713713,17,49,1,2,36,2tk2l9sgktwc9jhzqdd4mpdtb,1,41.6,63.8,2022-08-27T16:33:41.717Z,2022-08-27T23:49:10Z,,,,,,,,,,,,,,,,,,,,,,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452075093,775,43,1,2,36,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-27T16:33:41.768Z,2022-08-28T00:24:26Z,3738060993,178,0,3738061355,144,82,,,,,,,,,,,,,,,,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452075073,774,43,1,2,36,2tk2l9sgktwc9jhzqdd4mpdtb,1,0,0,2022-08-27T16:33:41.789Z,2022-08-28T00:24:25Z,3738060861,178,0,3738061317,144,82,,,,,,,,,,,,,,,,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713767,18,1,1,2,37,2tk2l9sgktwc9jhzqdd4mpdtb,1,41.6,63.8,2022-08-27T16:33:43.037Z,2022-08-27T23:49:16Z,3736064377,212,8.0,3736064379,213,6.1,3736064375,141,62.0,3736064367,56,Back,3736064371,140,49.1,3737918557,178,,,,,,,,57bin6he6kbdo2bs4i78z2k0l,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713811,19,1,1,2,39,2tk2l9sgktwc9jhzqdd4mpdtb,1,55.1,67.2,2022-08-27T16:33:45.229Z,2022-08-27T23:49:20Z,3736064561,141,92.0,3737918831,178,,3736064565,213,0.9,3736064557,56,Left,3736064559,140,66.8,3736064563,212,20.9,,,,,,,93i0gcndi2m8giqqcm4knduxh,P. Dybala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713825,20,3,1,2,40,2tk2l9sgktwc9jhzqdd4mpdtb,0,69.9,90.9,2022-08-27T16:33:46.486Z,2022-08-27T23:49:25Z,3737480769,465,,3736064659,211,,3736064637,286,,3737919207,178,,3736064635,56,Left,,,,,,,,,,9ka7y81b5kst146mhq7mom5ed,L. Spinazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713865,17,49,1,2,44,bqbbqm98ud8obe45ds9ohgyrd,1,12.5,6.7,2022-08-27T16:33:49.783Z,2022-08-27T23:49:31Z,,,,,,,,,,,,,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452075369,908,43,1,2,44,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2022-08-27T16:33:49.783Z,2022-08-28T00:24:47Z,3738062861,144,82,3738062687,178,0,,,,,,,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451714001,18,1,1,2,47,bqbbqm98ud8obe45ds9ohgyrd,0,4,8.2,2022-08-27T16:33:52.688Z,2022-08-27T23:49:35Z,3736065441,157,,3736065453,1,,3737919951,178,,3736065443,56,Back,3736065445,140,43.4,3736065451,213,0.3,3736065447,141,28.1,3736065449,212,43.5,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
