id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value
2455264401,15,8,1,0,54,gi0l1habji5hpgar77dl5jqe,1,72.9,2.5,2022-09-03T18:46:13.541Z,2022-09-04T04:36:54Z,3755045133,56,Right,3755923579,385,,3756590175,178,,,,,,,,,,,,,,,,,3bhy6x04rbwzk0nh1fm59dmnd,A. Zambo Anguissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264455,12,1,1,0,57,btcy9nra9ak4m22ovr2ia6m5v,1,20.7,90.7,2022-09-03T18:46:16.642Z,2022-09-04T02:33:21Z,3756590503,178,,3755045471,140,27.8,3755045473,141,97.1,3755045477,213,0.5,3755045475,212,8.6,3755045469,56,Back,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264457,13,61,1,0,58,btcy9nra9ak4m22ovr2ia6m5v,0,34.3,93.2,2022-09-03T18:46:17.617Z,2022-09-04T02:33:25Z,3756590641,178,,3755045485,56,Back,,,,,,,,,,,,,,,,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264465,14,5,1,0,59,btcy9nra9ak4m22ovr2ia6m5v,0,28.6,100.8,2022-09-03T18:46:18.723Z,2022-09-04T02:33:27Z,3755045517,56,Back,3755045519,347,,3755045591,233,16,,,,,,,,,,,,,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264441,16,5,1,0,59,gi0l1habji5hpgar77dl5jqe,1,71.4,-0.8,2022-09-03T18:46:18.723Z,2022-09-04T02:33:28Z,3755045547,233,14,3755045385,56,Right,3755045387,347,,,,,,,,,,,,,,,,,1wynwp4x95o9w5tt4cdog6i1,V. Osimhen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264631,17,1,1,1,9,gi0l1habji5hpgar77dl5jqe,1,76.9,0,2022-09-03T18:46:28.967Z,2022-09-04T02:33:29Z,3755046557,212,20.5,3755046549,107,,3755046555,141,4.6,3755046551,56,Right,3755046553,140,57.8,3755046559,213,2.9,,,,,,,5d9i8ubibyiecxecr9jjvxexh,G. Di Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264673,18,1,1,1,15,gi0l1habji5hpgar77dl5jqe,1,36.4,29.8,2022-09-03T18:46:35.272Z,2022-09-04T02:33:37Z,3756591129,178,,3755046761,140,14.2,3755046763,141,40.9,3755046759,56,Back,3755046767,213,2.8,3755046765,212,24.5,,,,,,,2kfkjjqh7vrfcfbgr4aa85dqt,A. Rrahmani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264715,19,1,1,1,19,gi0l1habji5hpgar77dl5jqe,1,11.4,43.4,2022-09-03T18:46:39.154Z,2022-09-04T02:33:42Z,3755046971,56,Back,3755046973,140,10.8,3755046979,213,1.6,3755046977,212,22.2,3756591377,178,,3755046975,141,76.1,,,,,,,af58rhtg8ck7c8g7nwfs67d91,A. Meret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264743,20,1,1,1,22,gi0l1habji5hpgar77dl5jqe,1,14.9,80.1,2022-09-03T18:46:41.692Z,2022-09-04T02:33:45Z,3755047121,56,Back,3755047123,140,25.5,3755047129,213,0.8,3756591573,178,,3755047127,212,15.7,3755047125,141,96.3,,,,,,,2p1pns6j6id4nx3nbi7fv0wrt,Kim Min-Jae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455552003,991,43,1,1,23,gi0l1habji5hpgar77dl5jqe,1,0,0,2022-09-03T18:46:42.980Z,2022-09-04T03:04:28Z,3756653639,178,0,3756653703,144,82,,,,,,,,,,,,,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264795,21,1,1,1,24,gi0l1habji5hpgar77dl5jqe,0,26.1,98,2022-09-03T18:46:44.076Z,2022-09-04T02:33:49Z,3755047353,140,76.2,3755047351,56,Center,3755047359,213,5.9,3755047361,1,,3756591739,178,,3755047349,157,,3755047355,141,70.4,3755047357,212,55.9,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264801,15,49,1,1,29,btcy9nra9ak4m22ovr2ia6m5v,1,25,27.5,2022-09-03T18:46:49.113Z,2022-09-04T02:33:57Z,,,,,,,,,,,,,,,,,,,,,,,,,8n4rruxbnzvjgdomxslnmcno5,I. Provedel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264815,16,1,1,1,29,btcy9nra9ak4m22ovr2ia6m5v,1,25.7,27.1,2022-09-03T18:46:49.118Z,2022-09-04T02:34:01Z,3755047445,140,31.1,3756592177,178,,3755047451,212,5.8,3755047455,213,6.0,3755047449,141,25.0,3755047441,56,Back,,,,,,,8n4rruxbnzvjgdomxslnmcno5,I. Provedel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455265759,39,1,1,1,31,btcy9nra9ak4m22ovr2ia6m5v,1,26.8,33.8,2022-09-03T18:46:50.622Z,2022-09-04T02:35:42Z,3755053145,140,32.5,3755053147,141,35.9,3755053151,213,0.2,3756592257,178,,3755053149,212,6.2,3755053143,56,Back,,,,,,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264883,17,1,1,1,34,btcy9nra9ak4m22ovr2ia6m5v,1,34.5,37.5,2022-09-03T18:46:53.579Z,2022-09-04T02:35:50Z,3755047809,212,8.1,3755047803,56,Back,3755047805,140,26.9,3755047811,213,2.9,3755047807,141,39.8,3756592525,178,,,,,,,,6hlutndh6zstrpi5i0u0mxyvp,D. Cataldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
