id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2472597123,1015,67,1,0,59,7gnly6999wao1xarwct4p8fe9,0,55.5,83.3,2022-10-15T16:02:30.185Z,2022-10-16T00:49:54Z,3847340317,233,880,,,,,,,,,,,,,,,,,,,,,,1tztnrv51q99ewl193qk526z9,N. Radonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277455,14,61,1,0,59,bqbbqm98ud8obe45ds9ohgyrd,0,46,16.5,2022-10-15T16:02:30.252Z,2022-10-16T01:28:06Z,3847235837,388,,3845573405,56,Back,,,,,,,,,,,,,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277463,19,49,1,0,59,7gnly6999wao1xarwct4p8fe9,1,53,85.9,2022-10-15T16:02:30.368Z,2022-10-16T00:15:13Z,,,,,,,,,,,,,,,,,,,,,,,,,1tztnrv51q99ewl193qk526z9,N. Radonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277497,20,3,1,1,2,7gnly6999wao1xarwct4p8fe9,0,55.2,88.7,2022-10-15T16:02:32.629Z,2022-10-16T00:15:35Z,3845573599,56,Left,3845573851,233,15,3845573601,286,,3846678939,465,,3847239143,178,,,,,,,,,,,1tztnrv51q99ewl193qk526z9,N. Radonjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277537,15,7,1,1,2,bqbbqm98ud8obe45ds9ohgyrd,0,44.8,11.3,2022-10-15T16:02:32.947Z,2022-10-16T00:15:48Z,3845573821,233,20,3845573793,285,,3845573791,56,Back,3846679033,383,,3847240613,178,,,,,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277577,21,1,1,1,7,7gnly6999wao1xarwct4p8fe9,0,62.5,96.6,2022-10-15T16:02:37.757Z,2022-10-16T00:15:59Z,3845574243,286,,3845574233,233,16,3847241299,178,,3845574227,236,,3845574079,212,2.3,3845574075,140,62.7,3845574073,56,Left,3845574081,213,4.8,ebgkv548xih19m8uza7bgrvmd,N. Vlašić,3845574077,141,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277597,16,74,1,1,7,bqbbqm98ud8obe45ds9ohgyrd,1,38.6,4,2022-10-15T16:02:37.944Z,2022-10-16T00:16:03Z,3845574257,233,21,3845574145,285,,3847241521,178,,3845574143,56,Back,,,,,,,,,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277627,17,5,1,1,7,bqbbqm98ud8obe45ds9ohgyrd,0,36.6,-1.6,2022-10-15T16:02:38.334Z,2022-10-16T00:16:06Z,3845575035,233,22,3845574331,56,Back,3845574333,347,,,,,,,,,,,,,,,,,288nn7pbq5ewriiyb9o7da86h,W. McKennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277733,22,5,1,1,7,7gnly6999wao1xarwct4p8fe9,1,63.4,101.6,2022-10-15T16:02:38.334Z,2022-10-16T00:16:06Z,3845574931,347,,3845574929,56,Left,3845574989,233,17,,,,,,,,,,,,,,,,ebgkv548xih19m8uza7bgrvmd,N. Vlašić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277879,23,1,1,1,23,7gnly6999wao1xarwct4p8fe9,1,60.7,100,2022-10-15T16:02:53.934Z,2022-10-16T00:16:10Z,3845575719,212,8.8,3845575715,140,63.0,3845575711,107,,3845575713,56,Left,3845575717,141,89.6,3845575721,213,5.0,,,,,,,866f0f7taqhae91o3cjnnx0ph,V. Lazaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
