id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2530028197,925,67,1,1,5,49rkyo4do8uwj06geomw0xr4i,0,31,5.3,2023-04-07T15:01:58.319Z,2023-04-07T23:12:02Z,4171181011,233,1001,,,,,,,,,,,,,,,,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768079,8,8,1,1,5,3vo5mpj7catp66nrwwqiuhuup,1,58.9,92.3,2023-04-07T15:01:58.329Z,2023-04-08T01:29:39Z,4171164621,178,,4170355405,383,,4169758563,56,Left,,,,,,,,,,,,,,,,9qow77e16pvlb3860yjpydryt,R. Gosens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768101,23,1,1,1,7,49rkyo4do8uwj06geomw0xr4i,1,30.1,5,2023-04-07T15:02:00.311Z,2023-04-07T22:38:54Z,4169758695,213,1.0,4171164767,178,,4169758691,141,25.4,4169758693,212,17.0,4169758689,140,39.4,4169758687,56,Back,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768119,24,1,1,1,9,49rkyo4do8uwj06geomw0xr4i,1,40.6,27.1,2023-04-07T15:02:02.081Z,2023-04-07T22:39:00Z,4169758795,140,36.7,4171164865,178,,4169758799,212,19.1,4169758801,213,1.8,4169758793,56,Back,4169758797,141,54.5,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768121,25,61,1,1,10,49rkyo4do8uwj06geomw0xr4i,1,36.7,54.5,2023-04-07T15:02:02.930Z,2023-04-07T22:39:06Z,4171164919,178,,4169758805,56,Back,,,,,,,,,,,,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768141,26,1,1,1,14,49rkyo4do8uwj06geomw0xr4i,1,55,74.9,2023-04-07T15:02:07.032Z,2023-04-07T22:39:13Z,4171165031,178,,4169758945,141,93.9,4169758949,213,1.5,4169758943,140,55.4,4169758947,212,12.9,4169758941,56,Left,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768161,27,1,1,1,15,49rkyo4do8uwj06geomw0xr4i,1,55.4,93.9,2023-04-07T15:02:08.730Z,2023-04-07T22:39:21Z,4171165181,178,,4169759051,213,4.6,4169759045,140,54.9,4169759047,141,82.8,4169759043,56,Left,4169759049,212,7.6,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768181,28,1,1,1,18,49rkyo4do8uwj06geomw0xr4i,1,54.2,81.8,2023-04-07T15:02:10.817Z,2023-04-07T22:39:24Z,4169759155,56,Center,4171165239,178,,4169759163,213,5.8,4169759157,140,59.9,4169759161,212,6.6,4169759159,141,77.6,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768195,29,1,1,1,18,49rkyo4do8uwj06geomw0xr4i,1,59.9,77.6,2023-04-07T15:02:11.370Z,2023-04-07T22:39:29Z,4169759221,141,80.3,4169759233,213,2.9,4169759227,212,7.1,4171165321,178,,4169759213,140,53.4,4169759207,56,Left,,,,,,,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768209,30,1,1,1,20,49rkyo4do8uwj06geomw0xr4i,1,53.4,80.3,2023-04-07T15:02:12.783Z,2023-04-07T22:39:33Z,4169759303,213,3.8,4169759295,56,Back,4169759301,212,14.3,4169759297,140,42.6,4169759299,141,67.4,4171165395,178,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768233,31,1,1,1,23,49rkyo4do8uwj06geomw0xr4i,1,42.6,66.5,2023-04-07T15:02:15.960Z,2023-04-07T22:39:37Z,4169759463,212,26.7,4169759457,56,Center,4169759461,141,32.6,4169759459,140,55.5,4171165451,178,,4169759465,213,5.2,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768249,32,1,1,1,25,49rkyo4do8uwj06geomw0xr4i,1,55.5,32.6,2023-04-07T15:02:18.470Z,2023-04-07T22:39:41Z,4169759565,56,Center,4171165479,178,,4169759573,213,6.1,4169759569,141,29.9,4169759567,140,63.1,4169759571,212,8.2,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768263,33,1,1,1,27,49rkyo4do8uwj06geomw0xr4i,1,63.1,29.9,2023-04-07T15:02:20.070Z,2023-04-07T22:39:50Z,4169759655,212,18.1,4171165571,178,,4169759649,56,Right,4169759651,140,59.6,4169759653,141,3.8,4169759657,213,4.5,,,,,,,drljavudmjvyj9mvyzq7gz2s5,G. Kastanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768283,34,1,1,1,29,49rkyo4do8uwj06geomw0xr4i,1,59.6,3.8,2023-04-07T15:02:21.934Z,2023-04-07T22:39:54Z,4171165599,178,,4169759775,212,9.6,4169759777,213,2.5,4169759773,141,12.7,4169759769,56,Right,4169759771,140,52.5,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
