id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,assist
2521125617,17,1,1,1,39,8le3orkfz6iix3jns6g9ojqjg,1,8.3,42.6,2023-03-17T19:46:50.711Z,2023-03-18T04:02:28Z,4103131885,5,,4103131893,140,67.6,4103131897,212,62.4,4103131895,141,48.6,4103131887,155,,4103823373,178,,4103131889,152,,4103131891,56,Center,9jx56wcoj1htd69i749wfwkx5,S. Perisan,4103131899,213,,0.1,4103131901,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125625,18,1,1,1,43,8le3orkfz6iix3jns6g9ojqjg,0,70.8,47.6,2023-03-17T19:46:54.484Z,2023-03-18T04:02:51Z,4103131953,56,Center,4103823685,388,,4103131957,141,46.8,4103131955,140,85.7,4103131961,213,6.2,4103131951,3,,4103131959,212,15.7,,,,c68syh6axbkqmcmvrpumqb8mi,M. Satriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125653,19,52,1,1,45,e75syeuawg3ql8nwpi3vr2btz,1,13.6,52.4,2023-03-17T19:46:57.091Z,2023-03-18T04:02:59Z,4103823763,178,,4103599201,377,,,,,,,,,,,,,,,,,,,,7drgir9lcwfst8vxz07jboe6t,J. Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125689,20,1,1,1,46,e75syeuawg3ql8nwpi3vr2btz,1,14.3,52.6,2023-03-17T19:46:58.442Z,2023-03-18T04:04:46Z,4103132273,287,,4103132245,56,Back,4103132243,123,,4103132247,140,30.5,4103132255,1,,4103132253,213,1.0,4103132249,141,93.2,4103825199,178,,7drgir9lcwfst8vxz07jboe6t,J. Musso,4103132251,212,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521260787,770,83,1,1,52,8le3orkfz6iix3jns6g9ojqjg,1,61.4,6.1,2023-03-17T19:47:03.877Z,2023-03-18T04:35:44Z,4103856851,399,487992,,,,,,,,,,,,,,,,,,,,,,cxjuod6b1ro67656dxwhpqqc5,J. Akpa Akpro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125789,21,1,1,1,52,e75syeuawg3ql8nwpi3vr2btz,1,37.3,95.1,2023-03-17T19:47:03.883Z,2023-03-18T04:04:50Z,4103132787,140,23.8,4103132793,213,3.3,4103132785,56,Back,4103132789,141,91.0,4103825261,178,,4103132791,212,14.4,,,,,,,7mvqysbmyf6uj3jny3qpqw2ga,M. Ruggeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125889,22,1,1,1,54,e75syeuawg3ql8nwpi3vr2btz,1,23.8,91,2023-03-17T19:47:05.939Z,2023-03-18T04:04:53Z,4103133357,212,17.8,4103133353,140,15.5,4103825291,178,,4103133355,141,68.1,4103133351,56,Back,4103133359,213,4.2,,,,,,,4cejhrr3ji36591xf54jue3ca,G. Scalvini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125947,23,1,1,1,58,e75syeuawg3ql8nwpi3vr2btz,1,21.9,59.1,2023-03-17T19:47:09.843Z,2023-03-18T04:04:56Z,4103133601,212,28.9,4103133603,213,4.8,4103133597,140,24.8,4103825299,178,,4103133599,141,16.9,4103133595,56,Back,,,,,,,45ubqc5i6yn2l5kdtlt8tbw7p,J. Palomino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521126007,24,1,1,2,0,e75syeuawg3ql8nwpi3vr2btz,1,26.2,16.3,2023-03-17T19:47:12.436Z,2023-03-18T04:05:00Z,4103133921,56,Back,4103133929,213,4.9,4103825339,178,,4103133923,140,27.9,4103133927,212,7.8,4103133925,141,5.2,,,,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521126061,25,1,1,2,4,e75syeuawg3ql8nwpi3vr2btz,1,25.4,16.6,2023-03-17T19:47:16.133Z,2023-03-18T04:05:03Z,4103134199,56,Back,4103134205,212,14.5,4103134207,213,2.5,4103134203,141,29.7,4103825369,178,,4103134201,140,14.5,,,,,,,a69r2pf2w8da4dl0zl4k5vil1,D. Zappacosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521126085,26,1,1,2,6,e75syeuawg3ql8nwpi3vr2btz,1,14.5,29.7,2023-03-17T19:47:17.809Z,2023-03-18T04:05:07Z,4103134317,213,1.5,4103825397,178,,4103134309,56,Back,4103134313,141,53.3,4103134315,212,16.1,4103134311,140,14.9,,,,,,,9q01y4w4dwpaqf8lmpv9wnmc5,M. de Roon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521126161,27,1,1,2,9,e75syeuawg3ql8nwpi3vr2btz,1,15.1,53.4,2023-03-17T19:47:20.986Z,2023-03-18T04:05:11Z,4103134695,140,34.1,4103134703,1,,4103134693,56,Back,4103134697,141,96.8,4103825455,178,,4103134701,213,1.0,4103134699,212,35.6,,,,45ubqc5i6yn2l5kdtlt8tbw7p,J. Palomino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
