id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2537056801,15,1,1,1,6,8w89tsles26jm12aoelwvlttt,1,7.6,64,2023-04-22T14:01:23.054Z,2023-04-25T11:16:11Z,4208453589,141,27.7,4208453587,140,15.3,4208453593,213,5.0,4208453585,56,Back,4219210395,178,,4208453591,212,26.0,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056901,16,1,1,1,12,8w89tsles26jm12aoelwvlttt,1,27.8,21.5,2023-04-22T14:01:29.157Z,2023-04-25T11:16:13Z,4219210439,178,,4208454061,141,57.0,4208454055,56,Back,4208454063,212,25.4,4208454059,140,20.3,4208454065,213,1.9,,,,,,,1vfuzp09s9oj95ruav4ln9ch6,J. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057029,17,1,1,1,15,8w89tsles26jm12aoelwvlttt,1,21.4,59,2023-04-22T14:01:32.373Z,2023-04-25T11:16:15Z,4208454681,212,19.4,4219210479,178,,4208454679,141,86.5,4208454677,140,26.3,4208454675,56,Back,4208454683,213,1.3,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057135,18,1,1,1,19,8w89tsles26jm12aoelwvlttt,1,30.5,86.3,2023-04-22T14:01:36.598Z,2023-04-25T11:16:17Z,4208455123,140,37.7,4208455125,141,71.7,4208455129,213,5.4,4208455127,212,12.5,4219210519,178,,4208455121,56,Back,,,,,,,5obqs1ezswoc3ns0c9k4qai8l,D. Lewington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057347,19,1,1,1,22,8w89tsles26jm12aoelwvlttt,1,40.8,76.6,2023-04-22T14:01:39.190Z,2023-04-25T11:16:20Z,4208456111,155,,4208456123,1,,4208456119,212,46.9,4208456117,141,76.0,4208456121,213,6.3,4208456115,140,85.5,4219210545,178,,4208456113,56,Center,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057355,20,3,1,1,28,8w89tsles26jm12aoelwvlttt,0,95.2,72,2023-04-22T14:01:45.071Z,2023-04-25T11:16:28Z,4208456211,211,,4208456161,286,,4217806929,465,,4208456157,56,Center,4219210673,178,,,,,,,,,,,am8ws7w5mpzvbnb8bvvztbpwp,J. Leko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057401,16,5,1,1,32,8rfydplrc9ki0sirqi0drcybk,1,-1.3,36.2,2023-04-22T14:01:49.126Z,2023-04-25T11:16:30Z,4208456395,233,21,4208456363,56,Back,4208456365,346,,,,,,,,,,,,,,,,,2eu3cz65piv0j91gi396p9ega,J. Earl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537057387,21,5,1,1,32,8w89tsles26jm12aoelwvlttt,0,101.3,63.8,2023-04-22T14:01:49.126Z,2023-04-25T11:16:30Z,4208456313,346,,4208456443,233,16,4208456311,56,Center,,,,,,,,,,,,,,,,am8ws7w5mpzvbnb8bvvztbpwp,J. Leko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058363,17,1,1,1,59,8rfydplrc9ki0sirqi0drcybk,0,5.1,46.1,2023-04-22T14:02:16.117Z,2023-04-25T11:16:32Z,4208460767,56,Center,4208460771,141,26.5,4208460769,140,60.3,4208460781,74,,4217807091,155,,4208460765,124,,4208460773,212,59.5,4208460775,213,6.1,b1cn7i49cjjiifnfw6xu18xsk,S. McMullan,4208460777,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537058409,22,44,1,2,2,8w89tsles26jm12aoelwvlttt,1,36.2,70.7,2023-04-22T14:02:19.708Z,2023-04-25T14:03:11Z,4208460985,285,,4208460981,56,Back,4208461029,233,18,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
