id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,assist
2494451981,11,1,1,1,19,5pfqedkme2kabtqhkln35pf3l,1,34.5,5.9,2023-01-01T15:05:19.932Z,2023-01-03T05:45:30Z,3962520059,56,Back,3962520065,212,8.3,3962520067,213,6.1,3962520063,141,4.0,3964291269,178,,3962520061,140,42.3,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452003,12,1,1,1,21,5pfqedkme2kabtqhkln35pf3l,1,42.3,4,2023-01-01T15:05:21.645Z,2023-01-03T05:45:37Z,3962520189,213,1.3,3962520181,56,Back,3964291341,178,,3962520187,212,11.0,3962520185,141,19.8,3962520183,140,44.6,,,,,,,f4qyrav5wfp55jyprdoq1upcl,H. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452031,13,1,1,1,22,5pfqedkme2kabtqhkln35pf3l,0,44.8,20,2023-01-01T15:05:22.955Z,2023-01-03T05:46:11Z,3964291629,178,,3962520321,212,31.0,3962520317,140,74.1,3962520315,56,Right,3962520323,213,6.2,3962520319,141,14.6,,,,,,,4n37rih2qtphgtjxzo2id5f55,A. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452025,17,49,1,1,24,fvr504m6gaxsfmtx4fwm7iq1,1,38.7,88.7,2023-01-01T15:05:24.823Z,2023-01-03T05:46:20Z,,,,,,,,,,,,,,,,,,,,,,,,,552cgdv8qya776at130r2d0mi,C. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452067,18,1,1,1,25,fvr504m6gaxsfmtx4fwm7iq1,0,24,95.3,2023-01-01T15:05:26.182Z,2023-01-03T05:46:26Z,3962520521,140,31.6,3964291797,178,,3962520519,56,Back,3962520523,141,100.0,3962520527,213,0.4,3962520525,212,8.8,,,,,,,552cgdv8qya776at130r2d0mi,C. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452119,14,5,1,1,26,5pfqedkme2kabtqhkln35pf3l,1,69.2,-0.9,2023-01-01T15:05:26.494Z,2023-01-03T05:46:55Z,3962520907,56,Right,3962520933,233,19,3962520909,347,,,,,,,,,,,,,,,,,4n37rih2qtphgtjxzo2id5f55,A. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452069,19,5,1,1,26,fvr504m6gaxsfmtx4fwm7iq1,0,30.8,100.9,2023-01-01T15:05:26.494Z,2023-01-03T05:46:55Z,3962520531,347,,3962520959,233,14,3962520529,56,Back,,,,,,,,,,,,,,,,552cgdv8qya776at130r2d0mi,C. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452171,15,1,1,1,32,5pfqedkme2kabtqhkln35pf3l,1,69.9,0,2023-01-01T15:05:33.173Z,2023-01-03T05:47:00Z,3962521217,212,18.2,3962521221,213,1.5,3962521207,140,71.6,3962521203,56,Center,3962521213,141,25.6,3962521201,107,,,,,,,,f4qyrav5wfp55jyprdoq1upcl,H. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452233,16,1,1,1,36,5pfqedkme2kabtqhkln35pf3l,1,61.3,20.1,2023-01-01T15:05:36.683Z,2023-01-03T05:47:15Z,3962521531,213,2.2,3964292265,178,,3962521523,56,Back,3962521527,141,54.8,3962521525,140,45.6,3962521529,212,28.8,,,,,,,bdquc37ytagmw19zgrehnryz9,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452273,17,1,1,1,38,5pfqedkme2kabtqhkln35pf3l,0,42.4,64.1,2023-01-01T15:05:39.218Z,2023-01-03T05:47:36Z,3962521739,212,12.6,3962521737,141,58.5,3962521735,140,53.8,3964292423,178,,3962521741,213,6.0,3962521733,56,Center,,,,,,,6hq92cx2829wfuzxmfhg1xpm1,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494602777,678,8,1,1,39,fvr504m6gaxsfmtx4fwm7iq1,1,47.2,43.8,2023-01-01T15:05:39.759Z,2023-01-03T05:47:49Z,3963370195,56,Back,3964292547,178,,3963370261,384,,,,,,,,,,,,,,,,,cqcwoymcrgf7wdi6091zplecp,D. N'Lundulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452283,20,49,1,1,41,fvr504m6gaxsfmtx4fwm7iq1,1,39.7,16.1,2023-01-01T15:05:42.083Z,2023-01-03T05:47:56Z,,,,,,,,,,,,,,,,,,,,,,,,,cjwflve6ukph4h2az1irm099l,R. Broom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452295,21,1,1,1,41,fvr504m6gaxsfmtx4fwm7iq1,0,39.7,16.1,2023-01-01T15:05:42.150Z,2023-01-03T05:48:03Z,3964292651,178,,3962521845,212,17.2,3962521839,56,Right,3962521847,213,6.3,3962521843,141,15.5,3962521841,140,56.1,,,,,,,cjwflve6ukph4h2az1irm099l,R. Broom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452309,18,49,1,1,43,5pfqedkme2kabtqhkln35pf3l,1,51.7,89.3,2023-01-01T15:05:43.627Z,2023-01-03T05:48:22Z,,,,,,,,,,,,,,,,,,,,,,,,,6hq92cx2829wfuzxmfhg1xpm1,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452345,19,1,1,1,45,5pfqedkme2kabtqhkln35pf3l,1,51.7,89.3,2023-01-01T15:05:45.444Z,2023-01-03T06:57:23Z,3962522079,212,13.3,3962522081,213,0.4,3962522075,140,63.3,3962522077,141,97.2,3962522073,56,Left,3964292831,178,,,,,,,,6hq92cx2829wfuzxmfhg1xpm1,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452359,20,1,1,1,46,5pfqedkme2kabtqhkln35pf3l,1,64.4,96.6,2023-01-01T15:05:47.275Z,2023-01-03T05:48:36Z,3962522169,141,93.0,3962522173,213,3.5,3962522167,140,57.5,3962522165,56,Left,3962522171,212,7.6,3964292867,178,,,,,,,,9s6ec1a12gozqwjlsyo7y8gr9,S. Sinclair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452391,21,1,1,1,48,5pfqedkme2kabtqhkln35pf3l,1,57.5,93,2023-01-01T15:05:48.813Z,2023-01-03T05:48:43Z,3964292919,178,,3962522367,56,Center,3962522371,141,64.5,3962522375,213,5.6,3962522361,155,,3962522369,140,80.7,3962522373,212,31.1,,,,6hq92cx2829wfuzxmfhg1xpm1,L. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452393,22,50,1,1,50,5pfqedkme2kabtqhkln35pf3l,1,82.6,62,2023-01-01T15:05:50.881Z,2023-01-03T05:48:57Z,3962522383,56,Center,3962522571,233,22,3962522385,286,,,,,,,,,,,,,,,,,bdquc37ytagmw19zgrehnryz9,A. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494452419,22,7,1,1,51,fvr504m6gaxsfmtx4fwm7iq1,1,17.4,38,2023-01-01T15:05:52.093Z,2023-01-03T05:49:23Z,3963370857,14,,3964293127,389,,3962522513,56,Back,3963370735,385,,3962522515,285,,3962522561,233,22,,,,,,,ab7t8dk9884hrwa88o41wq8dl,L. Freestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
