id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2468829597,14,1,1,1,15,besu5lkqmra07drq1czpr0tk4,0,61.2,84.8,2022-10-08T14:03:15.791Z,2022-10-11T20:12:26Z,3827171795,213,5.4,3827171785,56,Center,3827171791,212,44.6,3827171781,155,,3827171787,140,87.7,3827171789,141,33.6,3827171779,5,,3827171799,1,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,3827171783,152,3837357315,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468829645,16,44,1,1,17,87coxipr6ls77tnlba3eselx0,1,10.2,67.8,2022-10-08T14:03:18.295Z,2022-10-11T21:18:05Z,3827171997,285,,3827172079,233,15,3827171995,56,Back,,,,,,,,,,,,,,,,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468829615,15,44,1,1,17,besu5lkqmra07drq1czpr0tk4,0,89.8,32.2,2022-10-08T14:03:18.296Z,2022-10-11T20:12:31Z,3827172113,233,16,3827171889,286,,3827171885,56,Center,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468829683,17,12,1,1,17,87coxipr6ls77tnlba3eselx0,1,8.2,69.1,2022-10-08T14:03:18.378Z,2022-10-11T21:18:05Z,3837357719,388,,3827172243,167,,3827172173,212,21.3,3827172167,56,Back,3827172627,15,,3827172169,140,0.0,3827172175,213,2.0,3827172171,141,97.1,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468829717,16,6,1,1,20,besu5lkqmra07drq1czpr0tk4,1,94.3,18.2,2022-10-08T14:03:21.556Z,2022-10-11T20:12:37Z,3827172329,75,,3827172323,56,Right,3827172373,233,18,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468829695,18,6,1,1,20,87coxipr6ls77tnlba3eselx0,0,5.7,81.8,2022-10-08T14:03:21.556Z,2022-10-11T20:12:37Z,3827172211,73,,3827172207,56,Back,3827172459,233,16,,,,,,,,,,,,,,,,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468830555,17,1,1,1,39,besu5lkqmra07drq1czpr0tk4,0,99.5,0.5,2022-10-08T14:03:40.321Z,2022-10-11T20:12:42Z,3827176493,213,1.8,3827176489,141,35.1,3827176483,223,,3827176491,212,24.1,3827176487,140,94.4,3836837065,72,,3827176481,155,,3827176479,6,,ddnwckj55fg870otjg9w9xyad,S. Kelly,3827176485,56,3827176477,2,Center,3837358173,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468831037,19,12,1,1,40,87coxipr6ls77tnlba3eselx0,1,4.2,66.6,2022-10-08T14:03:41.336Z,2022-10-11T20:12:51Z,3827178937,213,6.2,3827178931,140,25.9,3827178929,56,Back,3837358573,178,,3827178933,141,63.9,3827178935,212,22.9,,,,,,,d2dqd11a9koizwjaq93n4npt6,K. Olaigbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468830779,18,1,1,1,41,besu5lkqmra07drq1czpr0tk4,1,74,29.4,2022-10-08T14:03:42.125Z,2022-10-11T20:12:58Z,3827177631,141,60.8,3827177637,213,1.9,3827177635,212,22.8,3827177627,140,66.5,3827177625,56,Center,3837359035,178,,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468830945,19,1,1,1,44,besu5lkqmra07drq1czpr0tk4,1,66.5,60.8,2022-10-08T14:03:45.281Z,2022-10-11T20:13:02Z,3827178485,140,22.2,3827178481,56,Back,3837359297,178,,3827178497,213,3.6,3827178499,1,,3827178489,141,23.7,3827178493,212,52.9,,,,960mhrs3usnisl5jv0xzok3x1,S. Pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
