id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,assist,qualifier/19/id,qualifier/19/qualifierId
2515357833,15,61,1,0,56,co1i764h6b02husae71w6scs8,0,43.2,25.1,2023-03-04T18:00:54.745Z,2023-03-07T08:51:45Z,4072527161,56,Back,4079908323,178,,,,,,,,,,,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357839,20,44,1,0,57,7catg5lpivcmpf4xhggh6d8rk,1,56.2,75.9,2023-03-04T18:00:56.043Z,2023-03-07T12:32:56Z,4072527187,286,,4072527303,233,16,4072527185,56,Center,,,,,,,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357849,16,44,1,0,57,co1i764h6b02husae71w6scs8,0,43.8,24.1,2023-03-04T18:00:56.044Z,2023-03-07T08:51:49Z,4072527229,56,Back,4072527231,285,,4072527319,233,20,,,,,,,,,,,,,,,,b7ri94n62dr73s1hb10br7lrd,Lucas Ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357853,21,1,1,0,57,7catg5lpivcmpf4xhggh6d8rk,0,55.9,80.8,2023-03-04T18:00:56.111Z,2023-03-07T12:32:57Z,4072527253,141,64.8,4072527251,140,58.2,4072527249,56,Center,4072527257,213,4.9,4072527255,212,11.1,4079908523,388,,4072527247,3,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357875,17,1,1,0,59,co1i764h6b02husae71w6scs8,1,44.3,32.8,2023-03-04T18:00:57.890Z,2023-03-07T08:51:58Z,4072527377,213,3.1,4072527371,140,35.7,4079908615,178,,4072527373,141,33.5,4072527375,212,9.0,4072527369,56,Back,,,,,,,293inynsy3ai0aawkdzpl7cnp,Maurício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357973,18,1,1,1,0,co1i764h6b02husae71w6scs8,1,35.7,33.5,2023-03-04T18:00:58.498Z,2023-03-07T08:52:03Z,4072527849,141,64.4,4072527847,140,35.7,4079908747,178,,4072527851,212,21.0,4072527845,56,Back,4072527853,213,1.6,,,,,,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358033,19,1,1,1,8,co1i764h6b02husae71w6scs8,1,58.8,92.4,2023-03-04T18:01:06.561Z,2023-03-07T08:52:10Z,4072528161,140,38.7,4072528163,141,75.5,4072528159,56,Back,4072528165,212,24.0,4072528167,213,3.6,4079908901,178,,,,,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358105,20,1,1,1,10,co1i764h6b02husae71w6scs8,1,38.7,75.5,2023-03-04T18:01:08.469Z,2023-03-07T08:52:15Z,4072528615,212,5.8,4079909009,178,,4072528613,141,73.4,4072528611,140,44.1,4072528609,56,Back,4072528617,213,6.0,,,,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358133,21,1,1,1,11,co1i764h6b02husae71w6scs8,1,44,73.2,2023-03-04T18:01:09.152Z,2023-03-07T08:52:21Z,4072528751,56,Back,4072528767,213,3.6,4079909107,178,,4072528755,140,18.4,4072528759,141,53.0,4072528765,212,30.2,,,,,,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358179,22,1,1,1,16,co1i764h6b02husae71w6scs8,1,18.4,53,2023-03-04T18:01:14.696Z,2023-03-07T08:52:23Z,4072529027,140,24.0,4072529029,141,74.9,4072529031,212,16.0,4079909171,178,,4072529033,213,1.2,4072529025,56,Back,,,,,,,cpf5wp34pu80qzvcwakjhh905,K. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358201,23,1,1,1,19,co1i764h6b02husae71w6scs8,1,25.7,74.9,2023-03-04T18:01:17.948Z,2023-03-07T08:52:26Z,4072529153,213,0.1,4072529145,56,Back,4072529151,212,9.3,4072529149,141,76.2,4079909197,178,,4072529147,140,34.5,,,,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515358289,24,1,1,1,20,co1i764h6b02husae71w6scs8,1,34.5,76.2,2023-03-04T18:01:19.095Z,2023-03-07T08:52:29Z,4072529637,56,Back,4072529645,213,4.7,4072529641,141,64.7,4072529639,140,34.2,4079909221,178,,4072529643,212,7.8,,,,,,,293inynsy3ai0aawkdzpl7cnp,Maurício,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
