id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/14/value,qualifier/17/value,qualifier/15/value
2470788777,828,43,1,1,16,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2022-10-09T14:33:43.489Z,2022-10-12T07:00:29Z,3837856363,144,82,3837714407,178,0,,,,,,,,,,,,,,,,,,,1c8ki3i0dz0axlnd0vauzw9d6,Rafael Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470816937,1281,67,1,1,16,7kfx3xpj2c2wxinsyi16i9gaz,1,27.1,15.6,2022-10-09T14:33:43.598Z,2022-10-12T07:01:02Z,3837856539,233,1554,,,,,,,,,,,,,,,,,,,,,,1c8ki3i0dz0axlnd0vauzw9d6,Rafael Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470816935,1554,67,1,1,16,3b4nxgvmwzstmoq6borytkwx1,0,72.9,84.4,2022-10-09T14:33:43.599Z,2022-10-12T07:00:36Z,3837856561,233,1281,,,,,,,,,,,,,,,,,,,,,,57pi7l4h7g2jydmkc5vl6vkr9,Salvador Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740081,9,61,1,1,16,7kfx3xpj2c2wxinsyi16i9gaz,1,20.6,12.9,2022-10-09T14:33:43.612Z,2022-10-12T07:01:02Z,3837696625,178,,3832050901,56,Back,,,,,,,,,,,,,,,,,,,1c8ki3i0dz0axlnd0vauzw9d6,Rafael Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740113,26,50,1,1,18,3b4nxgvmwzstmoq6borytkwx1,1,79.8,97.2,2022-10-09T14:33:45.352Z,2022-10-12T03:59:46Z,3834402383,233,10,3832051037,56,Left,3832051039,286,,,,,,,,,,,,,,,,,57pi7l4h7g2jydmkc5vl6vkr9,Salvador Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740153,10,7,1,1,18,7kfx3xpj2c2wxinsyi16i9gaz,0,20.2,2.8,2022-10-09T14:33:45.652Z,2022-10-12T04:00:15Z,3832051227,167,,3837696753,178,,3832051229,56,Back,3832051231,285,,3834337271,385,,3832051311,233,26,,,,,,,1c8ki3i0dz0axlnd0vauzw9d6,Rafael Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740289,28,61,1,1,18,3b4nxgvmwzstmoq6borytkwx1,1,85.5,96,2022-10-09T14:33:45.682Z,2022-10-12T04:00:26Z,3832051975,56,Left,3837696891,178,,,,,,,,,,,,,,,,,,,,57pi7l4h7g2jydmkc5vl6vkr9,Salvador Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740167,11,5,1,1,19,7kfx3xpj2c2wxinsyi16i9gaz,1,21.2,-1.6,2022-10-09T14:33:45.946Z,2022-10-12T04:00:28Z,3832051291,347,,3832051365,233,27,3832051289,56,Back,,,,,,,,,,,,,,,,1c8ki3i0dz0axlnd0vauzw9d6,Rafael Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740161,27,5,1,1,19,3b4nxgvmwzstmoq6borytkwx1,0,78.8,101.6,2022-10-09T14:33:45.946Z,2022-10-12T04:00:28Z,3832051267,56,Left,3832051353,233,11,3832051271,347,,,,,,,,,,,,,,,,,57pi7l4h7g2jydmkc5vl6vkr9,Salvador Agra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740363,12,1,1,1,31,7kfx3xpj2c2wxinsyi16i9gaz,1,20,0,2022-10-09T14:33:58.037Z,2022-10-12T04:00:48Z,3832052385,141,16.8,3832052395,1,,3832052389,212,30.0,3832052373,107,,3832052381,140,46.0,3832052393,213,0.4,3832052377,56,Back,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
