id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2461309293,10,44,1,1,21,22mo7qbsnyi8wtucpvhgvhw2q,0,35.8,57.7,2022-09-17T17:02:27.668Z,2022-09-20T07:15:31Z,3787175095,56,Back,3787175167,233,22,3787175097,285,,,,,,,,,,,,,,,,,ctkp6xkdg68xonlfkjwe580oa,M. Ndiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309369,23,61,1,1,21,66bsnl0zjb7l5akwo00h0y5me,1,61.8,42.2,2022-09-17T17:02:27.785Z,2022-09-20T09:50:46Z,3794405461,388,,3787175485,56,Center,3794405457,21,,,,,,,,,,,,,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309409,24,1,1,1,27,66bsnl0zjb7l5akwo00h0y5me,1,70.1,49.7,2022-09-17T17:02:33.073Z,2022-09-20T07:15:58Z,3787175691,212,21.2,3787175685,56,Center,3787175689,141,73.5,3787175687,140,83.1,3794405573,178,,3787175693,213,0.9,,,,,,,4j6h9mgau5uaxlm589qlc6rjd,André Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309413,25,3,1,1,29,66bsnl0zjb7l5akwo00h0y5me,0,92.4,72.6,2022-09-17T17:02:35.447Z,2022-09-20T07:19:05Z,3787175717,286,,3787175715,56,Center,3794408195,178,,3793904865,465,,3787446909,233,11,,,,,,,,,,19s3ei718jouszy30uxli8xd5,Z. Sanusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309467,11,7,1,1,29,22mo7qbsnyi8wtucpvhgvhw2q,0,7.6,27.4,2022-09-17T17:02:35.466Z,2022-09-20T07:19:09Z,3787176075,233,25,3787176021,56,Back,3787176023,285,,3793898987,385,,3794408245,178,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309573,27,61,1,1,29,66bsnl0zjb7l5akwo00h0y5me,1,95.2,79.3,2022-09-17T17:02:35.506Z,2022-09-20T07:19:14Z,3794408355,178,,3787176571,56,Left,,,,,,,,,,,,,,,,,,,19s3ei718jouszy30uxli8xd5,Z. Sanusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309489,12,5,1,1,30,22mo7qbsnyi8wtucpvhgvhw2q,1,-1.1,39,2022-09-17T17:02:36.538Z,2022-09-20T07:19:17Z,3787179217,346,,3787178163,233,26,3787176141,56,Back,,,,,,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309435,26,5,1,1,30,66bsnl0zjb7l5akwo00h0y5me,0,101.1,61,2022-09-17T17:02:36.538Z,2022-09-20T07:19:18Z,3787179185,346,,3787175831,56,Center,3787178199,233,12,,,,,,,,,,,,,,,,19s3ei718jouszy30uxli8xd5,Z. Sanusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309841,13,1,1,1,50,22mo7qbsnyi8wtucpvhgvhw2q,1,4.7,48.1,2022-09-17T17:02:56.439Z,2022-09-20T07:19:24Z,3787177907,140,11.7,3787177909,141,43.3,3787177905,56,Back,3787177903,124,,3787177911,212,8.0,3787177917,237,,3787177913,213,5.9,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309887,14,1,1,1,51,22mo7qbsnyi8wtucpvhgvhw2q,1,13.5,40.4,2022-09-17T17:02:57.680Z,2022-09-20T07:19:32Z,3787178151,141,29.7,3794408665,178,,3787178153,212,13.8,3787178155,213,3.7,3787178149,140,2.3,3787178147,56,Back,,,,,,,51edb4gy0w4q1wns87xehn2dx,Francisco Geraldes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309911,15,1,1,1,53,22mo7qbsnyi8wtucpvhgvhw2q,1,2.1,26.6,2022-09-17T17:02:59.884Z,2022-09-20T07:19:40Z,3787178303,140,4.3,3787178305,141,7.9,3787178307,212,12.9,3787178309,213,4.9,3787178301,56,Back,3794408815,178,,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309925,16,3,1,1,55,22mo7qbsnyi8wtucpvhgvhw2q,0,7.3,9.2,2022-09-17T17:03:01.678Z,2022-09-20T07:19:53Z,3794409019,178,,3787178369,285,,3787178367,56,Back,3793905065,464,,3787178613,233,28,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309957,28,7,1,1,55,66bsnl0zjb7l5akwo00h0y5me,0,92.7,90.8,2022-09-17T17:03:01.766Z,2022-09-20T07:19:58Z,3794409149,178,,3787178529,56,Left,3793899537,383,,3787178535,286,,3787178579,233,16,,,,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
