id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2457600165,13,27,1,2,19,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-09-09T19:02:35.678Z,2022-09-10T06:03:52Z,3767497725,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600107,18,27,1,2,19,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-09-09T19:02:35.678Z,2022-09-10T06:03:52Z,3767481303,41,Injury,3767481305,53,1jffh172t15s6ws7nou0fc251,3767497745,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600255,14,28,1,2,37,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-09-09T19:02:53.716Z,2022-09-10T06:04:13Z,3767497781,233,19,3767481979,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600171,19,28,1,2,37,4jelr92fsge73q39is6qvhxb3,1,0,0,2022-09-09T19:02:53.716Z,2022-09-10T06:04:13Z,3767481591,55,18,3767497831,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600273,20,1,1,2,52,4jelr92fsge73q39is6qvhxb3,1,40.1,86.6,2022-09-09T19:03:08.358Z,2022-09-10T06:05:28Z,3767482093,141,66.9,3767482091,140,29.2,3767482089,56,Back,3767482095,212,17.6,3767482097,213,4.0,3768351987,178,,3767482087,152,,3767482085,5,,234yd91ki5snm5wipuxzogkp,Monchu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600289,21,1,1,2,55,4jelr92fsge73q39is6qvhxb3,1,29.2,66.9,2022-09-09T19:03:11.610Z,2022-09-10T06:05:32Z,3767482167,56,Back,3767482171,141,34.3,3767482173,212,22.2,3767482169,140,29.2,3768352145,178,,3767482175,213,4.7,,,,,,,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600301,22,1,1,2,58,4jelr92fsge73q39is6qvhxb3,1,29.2,34.3,2022-09-09T19:03:14.411Z,2022-09-10T06:05:35Z,3767482241,213,5.1,3768352203,178,,3767482239,212,18.8,3767482233,56,Back,3767482237,141,8.6,3767482235,140,35.8,,,,,,,3fatiz92fyc3cn91ca11i0iqd,Joaquín Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600311,23,1,1,2,59,4jelr92fsge73q39is6qvhxb3,0,35.8,8.6,2022-09-09T19:03:15.861Z,2022-09-10T06:05:41Z,3768352307,178,,3767482279,140,56.8,3767482281,141,9.2,3767482283,212,22.1,3767482285,213,0.0,3767482277,56,Right,,,,,,,d8v7fh30bn0rbhj0lgn1j17th,Luis Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600347,15,8,1,3,1,7h7eg7q7dbwvzww78h9d5eh0h,1,39.3,89,2022-09-09T19:03:17.373Z,2022-09-10T06:05:48Z,3768352405,178,,3767888139,383,,3767482437,56,Back,,,,,,,,,,,,,,,,2udtmz4lvh4vil16mxvo0j4l,Aleix García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457600357,16,5,1,3,2,7h7eg7q7dbwvzww78h9d5eh0h,0,41.8,100.8,2022-09-09T19:03:18.476Z,2022-09-10T06:05:53Z,3767482837,233,24,3767482523,347,,3767482521,56,Back,,,,,,,,,,,,,,,,2udtmz4lvh4vil16mxvo0j4l,Aleix García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
