id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,assist,qualifier/18/value
2498075989,17,1,1,1,15,4yg9ttzw0m51048doksv8uq5r,0,53.7,91.9,2023-01-16T20:03:39.285Z,2023-01-17T07:33:50Z,3981639529,140,61.7,3981639535,213,5.3,3981639531,141,71.3,3981639533,212,16.3,3981639527,56,Center,3981963685,178,,,,,,,,7wjmaxqunpd84il1p5w4xwrmd,Clerc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076003,15,1,1,1,16,82q9159y2u7mkfn3z6hy75r4o,0,38.5,25.8,2023-01-16T20:03:40.240Z,2023-01-17T07:33:56Z,3981639619,212,31.8,3981639611,157,,3981639613,56,Center,3981963691,178,,3981639615,140,67.2,3981639621,213,0.3,3981639623,1,,3981639617,141,40.8,6pfbtlfphouu35kbwjiavwgyd,Luis Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076051,18,1,1,1,22,4yg9ttzw0m51048doksv8uq5r,1,31.6,56.9,2023-01-16T20:03:46.572Z,2023-01-17T07:34:05Z,3981639865,212,26.4,3981639861,140,34.8,3981639863,141,18.4,3981963715,178,,3981639867,213,4.8,3981639859,56,Back,,,,,,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076069,19,1,1,1,30,4yg9ttzw0m51048doksv8uq5r,0,65.2,12.5,2023-01-16T20:03:53.649Z,2023-01-17T07:34:13Z,3981963743,178,,3981639967,213,0.1,3981639965,212,30.2,3981639963,141,15.2,3981639959,56,Right,3981639961,140,93.9,,,,,,,ewu1skobmxtz4f3z6dbnfm6dx,H. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076081,16,4,1,1,33,82q9159y2u7mkfn3z6hy75r4o,1,5.9,83.8,2023-01-16T20:03:57.262Z,2023-01-17T07:34:21Z,3981640037,152,,3981640039,285,,3981640155,233,20,3981640035,56,Back,3981640031,13,,3981640033,294,,,,,,,,2qauzcv74cd8uqfv2ibl52ymt,A. Espino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076093,20,4,1,1,33,4yg9ttzw0m51048doksv8uq5r,0,94.1,16.2,2023-01-16T20:03:57.263Z,2023-01-17T07:34:21Z,3981640101,13,,3981640103,294,,3981640169,233,16,3981640105,56,Right,3981640109,286,,3981963785,178,,3981640107,152,,,,,6jq376l673aizjxxhhos2j52i,José Ángel Carmona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076265,17,1,1,2,6,82q9159y2u7mkfn3z6hy75r4o,0,9,62.5,2023-01-16T20:04:30.519Z,2023-01-17T07:34:28Z,3981641099,157,,3981641109,212,66.2,3981641097,5,,3981641107,141,52.4,3981963821,178,,3981641101,152,,3981641113,1,,3981641111,213,6.2,el98wqtf7w1ap9ei2bxqwtx3p,J. Ledesma,3981641103,56,Center,3981641105,140,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076267,21,49,1,2,11,4yg9ttzw0m51048doksv8uq5r,1,28.6,43.9,2023-01-16T20:04:35.469Z,2023-01-17T07:34:31Z,,,,,,,,,,,,,,,,,,,,,,,,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076293,22,1,1,2,15,4yg9ttzw0m51048doksv8uq5r,1,31,68.5,2023-01-16T20:04:38.858Z,2023-01-17T07:34:34Z,3981641251,213,1.4,3981963843,178,,3981641247,141,88.9,3981641249,212,14.1,3981641243,56,Back,3981641245,140,33.5,,,,,,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498076305,23,1,1,2,17,4yg9ttzw0m51048doksv8uq5r,1,33.5,88.9,2023-01-16T20:04:41.080Z,2023-01-17T07:34:38Z,3981641317,212,14.6,3981963851,178,,3981641319,213,6.1,3981641311,56,Back,3981641313,140,47.3,3981641315,141,85.9,,,,,,,7wjmaxqunpd84il1p5w4xwrmd,Clerc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
