id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2511869101,12,50,1,2,0,c8llrezkm3b3op4afrou6b487,1,55.6,9.7,2023-02-25T13:03:06.085Z,2023-02-25T21:05:05Z,4054128339,56,Right,4054128579,233,26,4054128343,286,,,,,,,,,,,,,,,,,28psc296gj3umo59qqha8jil1,Denis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869131,26,7,1,2,2,50x1m4u58lffhq6v6ga1hbxmy,1,44.4,90.3,2023-02-25T13:03:07.493Z,2023-02-25T21:05:09Z,4054128521,285,,4056968787,178,,4054128567,233,12,4054128519,56,Back,4054128517,167,,4055639151,383,,,,,,,,9e7b5cm66oxf26fmp33yuppsl,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869395,13,5,1,2,2,c8llrezkm3b3op4afrou6b487,1,54.4,-1.2,2023-02-25T13:03:08.206Z,2023-02-25T21:05:13Z,4054129971,56,Right,4054129973,347,,4054130017,233,27,,,,,,,,,,,,,,,,28psc296gj3umo59qqha8jil1,Denis Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869137,27,5,1,2,2,50x1m4u58lffhq6v6ga1hbxmy,0,45.6,101.2,2023-02-25T13:03:08.206Z,2023-02-25T21:05:13Z,4054130049,233,13,4054128553,347,,4054128551,56,Back,,,,,,,,,,,,,,,,9e7b5cm66oxf26fmp33yuppsl,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869409,14,1,1,2,22,c8llrezkm3b3op4afrou6b487,0,57.9,0,2023-02-25T13:03:27.858Z,2023-02-25T21:05:18Z,4054130081,141,13.9,4054130079,140,74.5,4054130077,56,Right,4054130083,212,20.3,4054130075,107,,4054130085,213,0.5,,,,,,,8rm2kkceowwtj3p0k6g7id0mi,Óscar Gil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869445,28,1,1,2,23,50x1m4u58lffhq6v6ga1hbxmy,1,31.1,90.2,2023-02-25T13:03:29.005Z,2023-02-25T21:05:26Z,4054130225,212,8.0,4056969877,178,,4054130217,3,,4054130223,141,97.4,4054130219,56,Back,4054130229,213,0.7,4054130221,140,37.1,,,,dtuwn06lnvxugaj637i553r2t,M. Nastasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869455,29,61,1,2,24,50x1m4u58lffhq6v6ga1hbxmy,1,36.8,96.6,2023-02-25T13:03:29.624Z,2023-02-25T21:05:38Z,4056970601,178,,4056970599,21,,4054130255,56,Back,,,,,,,,,,,,,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869461,30,49,1,2,25,50x1m4u58lffhq6v6ga1hbxmy,1,31.4,86.8,2023-02-25T13:03:30.677Z,2023-02-25T21:05:45Z,,,,,,,,,,,,,,,,,,,,,,,,,dtuwn06lnvxugaj637i553r2t,M. Nastasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869475,31,1,1,2,25,50x1m4u58lffhq6v6ga1hbxmy,0,31.4,86.8,2023-02-25T13:03:30.732Z,2023-02-25T21:05:50Z,4056971085,178,,4054130377,1,,4054130371,141,76.9,4054130369,140,68.9,4054130367,56,Center,4054130373,212,39.9,4054130365,155,,4054130375,213,6.1,dtuwn06lnvxugaj637i553r2t,M. Nastasić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869549,15,1,1,2,27,c8llrezkm3b3op4afrou6b487,1,33.7,25.7,2023-02-25T13:03:33.261Z,2023-02-25T21:05:59Z,4054130731,212,25.0,4054130727,140,12.1,4054130729,141,41.3,4054130723,3,,4056971597,388,,4054130725,56,Back,4054130735,213,2.7,,,,cbhdq57m8kxdeqjf42z0i3rop,C. Montes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869557,16,52,1,2,30,c8llrezkm3b3op4afrou6b487,1,13.6,43.3,2023-02-25T13:03:36.297Z,2023-02-25T21:06:02Z,4055647287,376,,4056971801,178,,,,,,,,,,,,,,,,,,,,bglk6tokkpgjltpzljp1p345x,Fernando Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
