id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/16/value
2531190893,20,1,1,1,17,cobffe32r7g4skka9m19qib63,1,27.5,36.7,2023-04-09T16:31:37.325Z,2023-04-10T06:21:31Z,4178946703,178,,4177233173,212,21.6,4177233167,56,Back,4177233171,141,6.5,4177233169,140,33.9,4177233175,213,5.0,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190899,21,1,1,1,19,cobffe32r7g4skka9m19qib63,1,34,6.4,2023-04-09T16:31:39.544Z,2023-04-10T06:21:37Z,4177233199,141,8.9,4177233201,212,8.0,4177233197,140,26.6,4177233195,56,Back,4178946849,178,,4177233203,213,2.9,,,,,,,3flv9yp9x61ph57xugztva9nu,Arnau Puigmal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190927,22,1,1,1,21,cobffe32r7g4skka9m19qib63,1,26.6,9.5,2023-04-09T16:31:41.425Z,2023-04-10T06:21:39Z,4177233363,56,Back,4177233365,140,22.3,4177233371,213,1.8,4177233367,141,34.5,4178946887,178,,4177233369,212,17.6,,,,,,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190937,23,1,1,1,25,cobffe32r7g4skka9m19qib63,1,24.1,36.1,2023-04-09T16:31:45.055Z,2023-04-10T06:21:41Z,4177233437,141,35.7,4177233441,213,6.3,4177233433,56,Back,4177233435,140,34.6,4178946931,178,,4177233439,212,11.0,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190945,24,1,1,1,26,cobffe32r7g4skka9m19qib63,1,34.6,35.7,2023-04-09T16:31:46.087Z,2023-04-10T06:21:44Z,4178946969,178,,4177233473,140,23.7,4177233475,141,37.1,4177233477,212,11.5,4177233471,56,Back,4177233479,213,3.1,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190949,25,1,1,1,28,cobffe32r7g4skka9m19qib63,1,23.7,37.1,2023-04-09T16:31:48.400Z,2023-04-10T06:21:50Z,4177233499,141,45.7,4177233501,212,10.1,4177233497,140,31.6,4178947011,178,,4177233505,213,0.6,4177233495,56,Back,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531190973,26,1,1,1,29,cobffe32r7g4skka9m19qib63,1,31.6,45.7,2023-04-09T16:31:49.208Z,2023-04-10T06:22:56Z,4177233673,212,9.7,4177233671,141,32.4,4178948347,178,,4177233667,56,Back,4177233675,213,4.3,4177233669,140,28.3,,,,,,,5rabxq8qyxf2q2ak506xim9rd,L. Robertone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531191001,27,1,1,1,31,cobffe32r7g4skka9m19qib63,1,27.7,37.4,2023-04-09T16:31:51.390Z,2023-04-10T06:22:58Z,4177233825,155,,4177233827,56,Back,4177233843,1,,4177233837,212,40.2,4177233829,140,38.7,4178948391,178,,4177233833,141,94.1,4177233841,213,1.3,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531191023,28,1,1,1,36,cobffe32r7g4skka9m19qib63,1,35,87.8,2023-04-09T16:31:56.012Z,2023-04-10T06:23:01Z,4177233959,141,75.7,4177233963,213,3.8,4178948443,178,,4177233957,140,23.8,4177233955,56,Back,4177233961,212,14.4,,,,,,,e53c7z5bdud6uycw32s3qgx9m,Álex Centelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531191039,29,1,1,1,39,cobffe32r7g4skka9m19qib63,1,23.8,75.6,2023-04-09T16:31:58.746Z,2023-04-10T06:23:05Z,4178948527,178,,4177234063,212,7.9,4177234059,140,30.4,4177234057,56,Back,4177234065,213,5.8,4177234061,141,70.0,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531191067,30,1,1,1,41,cobffe32r7g4skka9m19qib63,1,28.9,63.7,2023-04-09T16:32:01.452Z,2023-04-10T06:23:07Z,4177234243,56,Back,4177234251,213,4.5,4177234249,212,20.2,4177234245,140,24.1,4177234247,141,34.9,4178948617,178,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531191103,31,1,1,1,46,cobffe32r7g4skka9m19qib63,1,24.4,30.7,2023-04-09T16:32:05.764Z,2023-04-10T06:23:10Z,4178948677,178,,4177234467,213,6.2,4177234465,212,31.1,4177234461,140,54.0,4177234459,56,Center,4177234463,141,28.8,4177234457,155,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
