id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2504619877,6,5,1,0,49,63f5h8t5e9qm1fqmvfkb23ghh,0,72.4,102,2023-02-05T17:31:51.245Z,2023-02-06T08:44:10Z,4015906015,233,26,4015905467,56,Left,4015905469,347,,,,,,,,,,,,,,,,,7aoe0u87gxgv9tvgrotcfue7e,Robert Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619973,26,5,1,0,49,4jelr92fsge73q39is6qvhxb3,1,27.6,-2,2023-02-05T17:31:51.245Z,2023-02-06T08:44:10Z,4015905989,347,,4015905987,56,Back,4015906003,233,6,,,,,,,,,,,,,,,,d8v7fh30bn0rbhj0lgn1j17th,Luis Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620011,27,1,1,1,2,4jelr92fsge73q39is6qvhxb3,1,27.3,0,2023-02-05T17:32:04.674Z,2023-02-06T08:44:15Z,4015906185,213,1.5,4015906175,107,,4015906179,140,28.1,4015906183,212,9.0,4015906177,56,Back,4015906181,141,12.4,,,,,,,d8v7fh30bn0rbhj0lgn1j17th,Luis Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504828843,800,67,1,1,3,4jelr92fsge73q39is6qvhxb3,1,27.7,13.3,2023-02-05T17:32:05.617Z,2023-02-06T13:14:51Z,4017037407,233,882,,,,,,,,,,,,,,,,,,,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504828841,882,67,1,1,3,63f5h8t5e9qm1fqmvfkb23ghh,0,72.3,86.7,2023-02-05T17:32:05.618Z,2023-02-06T09:18:26Z,4017037411,233,800,,,,,,,,,,,,,,,,,,,,,,aka2yqxmqpioxc1qzkl62ejv8,Pablo Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620015,28,1,1,1,4,4jelr92fsge73q39is6qvhxb3,0,29.9,15.7,2023-02-05T17:32:05.703Z,2023-02-06T13:14:51Z,4015906207,140,50.9,4015906209,141,13.4,4017011109,178,,4015906205,56,Right,4015906203,155,,4015906211,212,22.1,4015906213,213,6.2,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620067,7,1,1,1,5,63f5h8t5e9qm1fqmvfkb23ghh,1,49.3,91.3,2023-02-05T17:32:07.526Z,2023-02-06T08:44:28Z,4015906457,140,65.1,4015906459,141,87.5,4015906455,56,Left,4015906461,212,16.8,4015906463,213,6.1,4015906453,3,,4017011131,388,,,,,6xulax65kp4aid70nk7g5jr2t,R. Le Normand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620075,8,44,1,1,7,63f5h8t5e9qm1fqmvfkb23ghh,1,69.2,85.2,2023-02-05T17:32:09.390Z,2023-02-06T13:14:52Z,4015906491,56,Left,4015906493,286,,4015906527,233,29,,,,,,,,,,,,,,,,7aoe0u87gxgv9tvgrotcfue7e,Robert Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620053,29,44,1,1,7,4jelr92fsge73q39is6qvhxb3,0,30.8,14.8,2023-02-05T17:32:09.391Z,2023-02-06T08:44:34Z,4015906401,56,Back,4015906403,285,,4015906537,233,8,,,,,,,,,,,,,,,,66t7zm54jgmcjtiizl9g0rkkp,Kike Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620081,9,1,1,1,7,63f5h8t5e9qm1fqmvfkb23ghh,0,65,87.1,2023-02-05T17:32:09.409Z,2023-02-06T13:14:52Z,4017011167,388,,4015906539,3,,4015906549,213,4.6,4015906547,212,5.6,4015906543,140,64.2,4015906541,56,Left,4015906545,141,79.0,,,,7aoe0u87gxgv9tvgrotcfue7e,Robert Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620127,30,1,1,1,9,4jelr92fsge73q39is6qvhxb3,1,29.4,32.5,2023-02-05T17:32:11.459Z,2023-02-06T08:44:43Z,4015906863,213,1.2,4015906861,212,39.1,4015906855,56,Back,4015906859,141,86.5,4015906857,140,42.3,4017011187,178,,4015906865,1,,,,,234yd91ki5snm5wipuxzogkp,Monchu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620153,31,1,1,1,17,4jelr92fsge73q39is6qvhxb3,1,78.7,84.7,2023-02-05T17:32:19.426Z,2023-02-06T08:44:48Z,4015907023,213,0.4,4015907021,212,10.1,4015907015,56,Left,4017011207,178,,4015907019,141,90.8,4015907017,140,87.5,,,,,,,8sh9iw9qs8y8056r5zmcpvemt,D. Machís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620157,32,1,1,1,19,4jelr92fsge73q39is6qvhxb3,0,87.8,94.6,2023-02-05T17:32:21.453Z,2023-02-06T08:44:55Z,4015907041,140,86.3,4015907043,141,63.7,4016515857,386,,4015907045,212,21.1,4016515859,72,,4015907035,2,,4017011297,178,,4015907047,213,4.6,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,4016515855,225,,4015907039,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620173,10,12,1,1,20,63f5h8t5e9qm1fqmvfkb23ghh,1,9.1,40.2,2023-02-05T17:32:22.359Z,2023-02-06T08:45:00Z,4015907125,56,Back,4015907135,141,35.3,4015907129,140,13.1,4017011373,178,,4015907141,212,5.4,4015907143,213,5.6,,,,,,,80aqmv4ht6rs1812qrr5j8kix,Martín Zubimendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620165,33,61,1,1,21,4jelr92fsge73q39is6qvhxb3,0,85.8,66.2,2023-02-05T17:32:22.842Z,2023-02-06T08:45:10Z,4017011427,21,,4017011429,178,,4015907097,56,Center,,,,,,,,,,,,,,,,8sh9iw9qs8y8056r5zmcpvemt,D. Machís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620179,11,49,1,1,22,63f5h8t5e9qm1fqmvfkb23ghh,1,29.1,28.9,2023-02-05T17:32:24.629Z,2023-02-06T08:45:18Z,,,,,,,,,,,,,,,,,,,,,,,,,aka2yqxmqpioxc1qzkl62ejv8,Pablo Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620187,12,1,1,1,23,63f5h8t5e9qm1fqmvfkb23ghh,1,28.3,24.6,2023-02-05T17:32:25.248Z,2023-02-06T08:45:22Z,4017011457,178,,4015907253,212,13.0,4015907251,141,5.5,4015907247,56,Back,4015907255,213,4.7,4015907249,140,27.6,,,,,,,aka2yqxmqpioxc1qzkl62ejv8,Pablo Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620213,13,1,1,1,25,63f5h8t5e9qm1fqmvfkb23ghh,0,27.6,5.5,2023-02-05T17:32:26.985Z,2023-02-06T08:45:26Z,4015907403,155,,4015907411,212,19.5,4015907413,213,0.1,4017011477,178,,4015907405,56,Back,4015907407,140,46.1,4015907409,141,7.0,,,,21vx56lpd276xqbu11ubkf78q,Barrenetxea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
