id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId
2548001729,14,44,1,0,49,9dntj5dioj5ex52yrgwzxrq9l,0,53.5,53.7,2023-05-13T16:01:24.363Z,2023-05-13T22:51:06Z,4273784113,286,,4273784111,56,Center,4273784201,233,18,,,,,,,,,,,,,,,,eyra5urhrm92240e7qbll736d,A. Rebić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001765,19,1,1,0,49,4klvxyeh3xcus4ongu7c00mgc,0,43.1,48.4,2023-05-13T16:01:24.450Z,2023-05-14T00:48:08Z,4273784265,213,4.7,4273784261,141,30.6,4275292271,388,,4273784251,56,Back,4273784247,3,,4273784257,140,43.2,4273784263,212,12.1,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001755,15,49,1,0,50,9dntj5dioj5ex52yrgwzxrq9l,1,60.6,72,2023-05-13T16:01:25.525Z,2023-05-13T22:51:15Z,,,,,,,,,,,,,,,,,,,,,,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548128401,803,3,1,0,55,9dntj5dioj5ex52yrgwzxrq9l,0,96,81.5,2023-05-13T16:01:30.670Z,2023-05-13T22:51:23Z,4275292631,178,,4274474755,56,Left,4274474757,286,,4274474759,465,,4274474761,467,e05kmeeuc7x55gwhjmxl9ry3u,,,,,,,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001829,16,50,1,0,58,9dntj5dioj5ex52yrgwzxrq9l,1,98,89,2023-05-13T16:01:33.176Z,2023-05-13T22:51:30Z,4273784853,233,20,4273784701,56,Left,4273784703,286,,,,,,,,,,,,,,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001841,20,7,1,0,59,4klvxyeh3xcus4ongu7c00mgc,1,2,11,2023-05-13T16:01:34.639Z,2023-05-13T22:51:36Z,4275292969,178,,4273784821,233,16,4274474211,385,,4273784775,285,,4273784771,167,,4273784773,56,Back,,,,,,,e05kmeeuc7x55gwhjmxl9ry3u,P. Wiśniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001875,17,5,1,1,0,9dntj5dioj5ex52yrgwzxrq9l,1,95.6,101.8,2023-05-13T16:01:35.535Z,2023-05-13T22:51:41Z,4273784987,347,,4273784985,56,Left,4273785037,233,21,,,,,,,,,,,,,,,,1dwwsz1i6v8zwh802ujwf7emt,D. Origi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548001849,21,5,1,1,0,4klvxyeh3xcus4ongu7c00mgc,0,4.4,-1.8,2023-05-13T16:01:35.535Z,2023-05-13T22:51:41Z,4273784811,347,,4273784809,56,Back,4273785041,233,17,,,,,,,,,,,,,,,,e05kmeeuc7x55gwhjmxl9ry3u,P. Wiśniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548002123,19,1,1,1,30,9dntj5dioj5ex52yrgwzxrq9l,0,90.6,100,2023-05-13T16:02:05.315Z,2023-05-13T22:51:44Z,4273786511,212,25.1,4273786515,1,,4273786503,107,,4273786513,213,4.6,4273786509,141,64.6,4273786507,140,89.1,4273786505,56,Center,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548002145,23,44,1,1,32,4klvxyeh3xcus4ongu7c00mgc,1,9.8,32,2023-05-13T16:02:07.169Z,2023-05-14T00:48:09Z,4273786631,233,20,4273786609,56,Back,4273786611,285,,,,,,,,,,,,,,,,,2s9ko6yxyi95jybzguru8g3bp,K. Amian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
