id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2542134383,48,3,1,0,51,19auwjswq9camwpb4u14a6tp5,1,85,3,2023-05-01T06:54:46.943Z,2023-05-05T13:45:53Z,4242475111,286,,4251674097,464,,4242475109,56,Right,4242475655,233,73,,,,,,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542134389,73,45,1,0,51,25yplfulilqz11lp1qbii7sf3,0,15,97,2023-05-01T06:54:46.943Z,2023-05-01T07:00:21Z,4242475643,56,Back,4242475645,285,,4242475661,233,48,,,,,,,,,,,,,,,,c75jawwqkzeeuok8x8jp590yc,Lee Sang-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132833,16,1,1,0,57,19auwjswq9camwpb4u14a6tp5,0,80.7,5.5,2023-05-01T06:54:53.648Z,2023-05-01T06:54:55Z,4242465141,236,,4242465095,212,2.1,4242465099,213,3.2,4242465091,141,5.3,4242465143,233,14,4242465087,140,78.7,4242465083,56,Right,4242465147,286,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132841,14,74,1,0,57,25yplfulilqz11lp1qbii7sf3,1,19.9,95.3,2023-05-01T06:54:53.649Z,2023-05-01T08:35:01Z,4242465153,233,16,4242465135,285,,4242465133,56,Back,,,,,,,,,,,,,,,,634xb3u0uv1nk1t7x5f9ktq09,Rodrigo Bassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132847,15,5,1,0,59,25yplfulilqz11lp1qbii7sf3,0,17.7,101.9,2023-05-01T06:54:55.449Z,2023-05-01T06:54:57Z,4242465149,56,Back,4242465197,233,17,4242465151,347,,,,,,,,,,,,,,,,,634xb3u0uv1nk1t7x5f9ktq09,Rodrigo Bassani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132855,17,5,1,0,59,19auwjswq9camwpb4u14a6tp5,1,82.3,-1.9,2023-05-01T06:54:55.449Z,2023-05-01T06:55:25Z,4242465189,233,15,4242465187,347,,4242465185,56,Right,,,,,,,,,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132895,18,1,1,1,3,19auwjswq9camwpb4u14a6tp5,1,86.4,0,2023-05-01T06:54:59.176Z,2023-05-01T06:55:03Z,4242465379,141,5.8,4242465383,213,2.8,4242465381,212,16.1,4242465377,140,71.9,4242465375,56,Right,4242465373,107,,,,,,,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132911,19,1,1,1,6,19auwjswq9camwpb4u14a6tp5,1,75.4,4.4,2023-05-01T06:55:02.896Z,2023-05-01T06:55:04Z,4242465467,213,6.1,4242465459,56,Right,4242465463,141,2.0,4242465465,212,8.4,4242465461,140,83.2,,,,,,,,,,d585rl5n1lyby0pzclz7ywokq,Lee Jin-Yong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132921,20,1,1,1,8,19auwjswq9camwpb4u14a6tp5,0,91.2,1.7,2023-05-01T06:55:04.322Z,2023-05-05T13:46:17Z,4242477365,2,,4242465503,213,1.4,4242465499,141,25.0,4242465495,56,Center,4242465501,212,16.2,4251674227,20,,4251674225,386,,4251674223,225,,6lfh7umo99gfk2f23jbg6k3ro,Hwang Jae-Won,4242465497,140,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542132927,16,8,1,1,10,25yplfulilqz11lp1qbii7sf3,1,3.7,74.7,2023-05-01T06:55:06.681Z,2023-05-05T13:46:32Z,4251674317,385,,4242465507,56,Back,,,,,,,,,,,,,,,,,,,i60jnxmaywexvys2g0aktdcl,Lee Ki-Je,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
