id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value
2524921845,19,2,1,1,26,479lsfr4cwlzewpbuda3y2xv4,1,60.4,75.3,2023-03-26T19:06:37.885Z,2023-03-26T21:33:13Z,4125419189,56,Left,4125419191,140,79.6,4125419193,141,83.9,4125419187,7,5bgt61vb5lnzyoczqnr202lpm,,,,,,,,,,,,,eqws52w506rp4a2x9mqwm76ga,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921817,11,55,1,1,26,1zgjjyruyufrkh4xjvryqsb1i,1,28,27.2,2023-03-26T19:06:37.886Z,2023-03-29T08:48:28Z,,,,,,,,,,,,,,,,,,,,,,,,,anht193qhditit6wpsexoep2i,G. Portella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921879,12,1,1,1,41,1zgjjyruyufrkh4xjvryqsb1i,1,24.1,26,2023-03-26T19:06:52.506Z,2023-03-29T08:48:45Z,4125419333,213,2.4,4125419331,212,14.6,4125419325,56,Back,4125419321,5,,4125419323,241,,4125419327,140,13.9,4125419329,141,40.6,,,,67m3iq9ixt51ts51y4vmp71uc,D. Stopek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921895,13,1,1,1,44,1zgjjyruyufrkh4xjvryqsb1i,1,20.3,46.3,2023-03-26T19:06:55.578Z,2023-03-26T19:06:58Z,4125419387,212,29.2,4125419389,213,1.4,4125419381,56,Back,4125419383,140,26.0,4125419385,141,88.4,,,,,,,,,,2y9o7d8tm1f8fnp6jewxzifis,A. Rick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921937,14,1,1,1,49,1zgjjyruyufrkh4xjvryqsb1i,1,34.7,85.8,2023-03-26T19:07:00.874Z,2023-03-26T19:07:07Z,4125419569,56,Back,4125419577,213,5.8,4125419575,212,15.9,4125419573,141,74.7,4125419571,140,48.0,,,,,,,,,,793bjb2bgku4cw2iu6k1fxcve,A. Sorenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921949,15,1,1,1,56,1zgjjyruyufrkh4xjvryqsb1i,1,33.6,91.8,2023-03-26T19:07:07.146Z,2023-03-26T19:07:08Z,4125419631,141,86.3,4125419635,213,4.6,4125419633,212,3.8,4125419629,140,33.3,4125419627,56,Back,,,,,,,,,,1o7iht0ow216jvo5qm64akup6,S. Stojanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921963,16,1,1,1,57,1zgjjyruyufrkh4xjvryqsb1i,1,32.9,85.4,2023-03-26T19:07:08.730Z,2023-03-29T08:49:17Z,4125419691,140,38.8,4125419695,212,6.4,4125419687,56,Back,4125419693,141,87.9,4125419697,213,0.3,,,,,,,,,,anht193qhditit6wpsexoep2i,G. Portella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921965,17,61,1,1,58,1zgjjyruyufrkh4xjvryqsb1i,0,38.8,87.9,2023-03-26T19:07:09.322Z,2023-03-26T19:08:03Z,4125419701,56,Back,,,,,,,,,,,,,,,,,,,,,,cykl5dz1d2v4qc2pit2med27e,M. Villero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921953,20,49,1,1,59,479lsfr4cwlzewpbuda3y2xv4,1,67.9,14.9,2023-03-26T19:07:10.230Z,2023-03-26T19:07:10Z,,,,,,,,,,,,,,,,,,,,,,,,,i5wj5hcg2r9934e7gauxtgmi,J. Almaguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524922089,21,2,1,2,0,479lsfr4cwlzewpbuda3y2xv4,1,68,14.4,2023-03-26T19:07:11.782Z,2023-03-29T08:51:01Z,4125420269,140,74.9,4125420267,56,Center,4125420271,141,22.4,4125420265,7,5bgt61vb5lnzyoczqnr202lpm,,,,,,,,,,,,,i5wj5hcg2r9934e7gauxtgmi,J. Almaguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
