id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/13/value,qualifier/17/value
2507179785,16,1,1,1,19,1uk609mhtsfhokhaewjapb26,1,25.3,58.5,2023-02-12T17:33:47.085Z,2023-02-13T11:35:15Z,4029318511,241,,4029318517,141,91.4,4029318521,213,1.3,4029318515,140,32.2,4030495189,178,,4029318509,5,,4029318519,212,23.5,4029318513,56,Back,6yegi163rq5fsloppfubi3sh5,T. Vandenberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179883,17,1,1,1,22,1uk609mhtsfhokhaewjapb26,1,36.9,84.9,2023-02-12T17:33:50.262Z,2023-02-13T11:35:14Z,4029319047,212,56.6,4029319041,56,Left,4029319045,141,92.6,4030495223,178,,4029319051,1,,4029319049,213,0.1,4029319039,155,,4029319043,140,90.6,eb1rih67f03kwljbge37id1ck,M. Wasinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179889,18,61,1,1,28,1uk609mhtsfhokhaewjapb26,0,97.9,95.8,2023-02-12T17:33:56.899Z,2023-02-13T11:35:12Z,4030495269,178,,4029319081,56,Left,,,,,,,,,,,,,,,,,,,93weoj4q60xtxdntko7hobg4q,B. Messaoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179901,19,5,1,1,30,1uk609mhtsfhokhaewjapb26,0,91.8,102,2023-02-12T17:33:57.991Z,2023-02-13T07:37:38Z,4029319145,56,Left,4029319147,347,,4029319623,233,19,,,,,,,,,,,,,,,,93weoj4q60xtxdntko7hobg4q,B. Messaoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507179973,19,5,1,1,30,5z1b7fuvpqe6vnigvopomvecu,1,8.2,-2,2023-02-12T17:33:57.991Z,2023-02-13T07:37:37Z,4029319611,56,Back,4029319615,233,19,4029319613,347,,,,,,,,,,,,,,,,,eg2u042cthz9undb4xz0pu8rt,M. Fossey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180017,20,1,1,1,40,5z1b7fuvpqe6vnigvopomvecu,1,8.8,0,2023-02-12T17:34:08.869Z,2023-02-13T11:35:12Z,4029319805,107,,4029319815,212,10.9,4029319807,56,Back,4029319811,141,12.6,4029319809,140,13.5,4029319819,213,1.1,,,,,,,eg2u042cthz9undb4xz0pu8rt,M. Fossey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180049,21,1,1,1,43,5z1b7fuvpqe6vnigvopomvecu,0,14.1,17.7,2023-02-12T17:34:11.813Z,2023-02-13T11:35:11Z,4029319973,1,,4029319963,56,Back,4029319969,212,39.9,4030495393,178,,4029319961,155,,4029319967,141,59.6,4029319971,213,0.8,4029319965,140,40.7,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180047,20,49,1,1,46,1uk609mhtsfhokhaewjapb26,1,55.6,36.3,2023-02-12T17:34:14.929Z,2023-02-13T11:35:11Z,,,,,,,,,,,,,,,,,,,,,,,,,6t7ezta9mftdtk20pgxa30r85,D. Henen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180059,21,1,1,1,46,1uk609mhtsfhokhaewjapb26,1,55.6,36.3,2023-02-12T17:34:14.964Z,2023-02-13T11:35:10Z,4029320035,56,Center,4029320041,212,10.9,4029320037,140,51.7,4029320043,213,2.0,4029320039,141,51.2,4029320033,3,,4030495453,388,,,,,6t7ezta9mftdtk20pgxa30r85,D. Henen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180081,22,1,1,1,48,1uk609mhtsfhokhaewjapb26,0,56.4,46.4,2023-02-12T17:34:16.538Z,2023-02-13T11:35:10Z,4029320175,141,50.3,4030495491,178,,4029320171,56,Center,4029320177,212,19.5,4029320179,213,0.1,4029320173,140,74.8,4029320169,155,,,,,5zdapzrncz7vch3yrgftfp5g,N. Mehssatou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180109,22,1,1,1,50,5z1b7fuvpqe6vnigvopomvecu,1,26.4,52.3,2023-02-12T17:34:18.415Z,2023-02-13T11:35:09Z,4029320357,141,64.3,4029320351,3,,4029320361,213,1.4,4029320355,140,27.9,4030495549,388,,4029320353,56,Back,4029320359,212,8.3,,,,76y4awqbdef5yxiovt27i57th,M. Bokadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180125,23,1,1,1,52,5z1b7fuvpqe6vnigvopomvecu,1,34.9,65.5,2023-02-12T17:34:20.498Z,2023-02-13T11:35:09Z,4029320451,213,2.8,4029320443,56,Back,4029320449,212,3.8,4029819767,168,,4029320447,141,67.6,4029320441,3,,4030495573,388,,4029320445,140,31.5,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180129,24,50,1,1,53,5z1b7fuvpqe6vnigvopomvecu,1,42.8,71,2023-02-12T17:34:21.918Z,2023-02-13T11:35:09Z,4029320457,56,Back,4029320795,286,,4029320789,233,23,,,,,,,,,,,,,,,,d6r3vkalhudms84f6fs415wid,P. Zinckernagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180183,23,7,1,1,54,1uk609mhtsfhokhaewjapb26,1,57.2,29,2023-02-12T17:34:22.021Z,2023-02-13T11:35:08Z,4029320725,56,Center,4029320747,233,24,4030495643,178,,4029820085,384,,4029320727,285,,,,,,,,,,,5zdapzrncz7vch3yrgftfp5g,N. Mehssatou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507180211,24,1,1,1,58,1uk609mhtsfhokhaewjapb26,1,44.8,15.7,2023-02-12T17:34:26.623Z,2023-02-13T11:35:05Z,4029320903,213,2.3,4029320899,141,48.1,4030495715,178,,4029320897,140,27.1,4029320895,56,Back,4029320901,212,28.8,,,,,,,6t7ezta9mftdtk20pgxa30r85,D. Henen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
