id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/23/id,qualifier/23/qualifierId,qualifier/23/value
2499332319,15,1,1,1,31,3ix9om1svhd6obl0mbk1otgop,1,33.9,24.9,2023-01-21T17:17:42.382Z,2023-01-22T07:20:10Z,3988233175,56,Back,3989262419,388,,3988233173,3,,3988233177,140,41.7,3988233183,213,0.6,3988233181,212,10.0,3988233179,141,33.3,,,,8jc7tw0nw37trgyli0oyz1soa,C. Vanhoutte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332333,16,1,1,1,32,3ix9om1svhd6obl0mbk1otgop,0,40.7,30.8,2023-01-21T17:17:43.469Z,2023-01-22T07:20:09Z,3989262517,178,,3988233275,141,16.1,3988233273,140,69.5,3988233271,56,Right,3988233277,212,31.8,3988233279,213,6.0,3988993367,155,,,,,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332335,14,49,1,1,36,2b57rbw94i9ohnbch52owvqtq,1,34.1,81.5,2023-01-21T17:17:46.820Z,2023-01-22T07:20:09Z,,,,,,,,,,,,,,,,,,,,,,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332349,15,12,1,1,36,2b57rbw94i9ohnbch52owvqtq,1,33.9,81.7,2023-01-21T17:17:46.861Z,2023-01-22T07:20:08Z,3988233391,141,100.0,3988233393,212,14.1,3988233395,213,1.4,3988233389,140,36.6,3988233387,56,Back,3989262627,178,,3988233413,167,,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332353,16,5,1,1,37,2b57rbw94i9ohnbch52owvqtq,0,40.4,101.7,2023-01-21T17:17:47.995Z,2023-01-22T02:35:57Z,3988233401,347,,3988233399,56,Back,3988233529,233,17,,,,,,,,,,,,,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332373,17,5,1,1,37,3ix9om1svhd6obl0mbk1otgop,1,59.6,-1.7,2023-01-21T17:17:47.995Z,2023-01-22T02:35:56Z,3988233519,233,16,3988233495,56,Right,3988233497,347,,,,,,,,,,,,,,,,,3l1v52usaf9mmi9dwowdwv3e,A. Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332429,18,1,1,1,42,3ix9om1svhd6obl0mbk1otgop,1,64.7,0,2023-01-21T17:17:53.025Z,2023-01-22T07:20:08Z,3988233857,141,15.8,3988233859,212,14.0,3988233855,140,72.0,3988233853,56,Right,3988233851,107,,3988233861,213,1.0,,,,,,,84l7r4ud9ipuf9vc3ib5b4l0q,H. Siquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332441,19,1,1,1,44,3ix9om1svhd6obl0mbk1otgop,1,75.9,20.4,2023-01-21T17:17:54.926Z,2023-01-22T07:20:07Z,3988233899,212,9.6,3988233897,141,18.8,3988233901,213,3.3,3989262873,178,,3988233895,140,66.8,3988233893,56,Right,,,,,,,1gzgkjei16r4lt2fvcedy1jvt,K. Denkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332487,20,1,1,1,45,3ix9om1svhd6obl0mbk1otgop,1,70,19.9,2023-01-21T17:17:56.064Z,2023-01-22T07:20:06Z,3988234139,56,Center,3989262911,178,,3988234147,213,2.4,3988234143,141,30.4,3988234141,140,62.3,3988234145,212,10.8,,,,,,,3l1v52usaf9mmi9dwowdwv3e,A. Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332495,17,45,1,1,46,2b57rbw94i9ohnbch52owvqtq,0,31,73.2,2023-01-21T17:17:57.187Z,2023-01-22T07:20:05Z,3988234165,285,,3988234195,233,21,3988234163,56,Back,,,,,,,,,,,,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332493,21,3,1,1,46,3ix9om1svhd6obl0mbk1otgop,1,69,26.8,2023-01-21T17:17:57.187Z,2023-01-22T07:20:05Z,3988234159,56,Center,3988234161,286,,3989263025,178,,3989008287,464,,3988234179,233,17,,,,,,,,,,8jc7tw0nw37trgyli0oyz1soa,C. Vanhoutte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499529741,840,83,1,1,48,2b57rbw94i9ohnbch52owvqtq,1,33.4,63.1,2023-01-21T17:17:59.190Z,2023-01-22T07:20:04Z,3989287923,399,453106,,,,,,,,,,,,,,,,,,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332515,22,1,1,1,48,3ix9om1svhd6obl0mbk1otgop,1,65.2,39.1,2023-01-21T17:17:59.582Z,2023-01-22T07:20:04Z,3988234281,213,1.8,3988234279,212,18.5,3988234277,141,65.5,3989263113,178,,3988234275,140,60.8,3988234273,56,Center,,,,,,,8jc7tw0nw37trgyli0oyz1soa,C. Vanhoutte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332545,23,1,1,1,50,3ix9om1svhd6obl0mbk1otgop,0,59.4,56.9,2023-01-21T17:18:01.013Z,2023-01-22T07:20:03Z,3988234427,213,5.7,3988234429,1,,3989263139,178,,3988234419,56,Center,3988234417,155,,3988234425,212,39.9,3988234423,141,24.4,3988234421,140,91.0,5wn1xudozb4s78x0m8ch7vn8q,O. Deman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499332541,18,49,1,1,53,2b57rbw94i9ohnbch52owvqtq,1,10.5,76.8,2023-01-21T17:18:04.557Z,2023-01-22T07:20:03Z,,,,,,,,,,,,,,,,,,,,,,,,,3m13ipluel0m6cotha7n7vrop,T. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
