id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2478347397,8,1,1,0,39,89xivtxk59uzvhdsd6miao6tm,1,25.8,83.6,2022-10-28T18:56:05.488Z,2022-10-29T09:05:55Z,3877680929,56,Back,3877680937,212,8.9,3877680933,140,33.0,3877680935,141,76.7,3877680941,213,5.7,3878266451,178,,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347423,10,1,1,0,42,89xivtxk59uzvhdsd6miao6tm,1,17.1,74.4,2022-10-28T18:56:08.074Z,2022-10-29T09:05:55Z,3877681069,213,3.8,3878266505,178,,3877681061,56,Back,3877681065,141,55.7,3877681063,140,2.1,3877681067,212,20.2,,,,,,,a8k3ubqsi0duc3g4u5jnvcoa1,B. Heynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347429,11,1,1,0,43,89xivtxk59uzvhdsd6miao6tm,0,2.7,57.5,2022-10-28T18:56:09.655Z,2022-10-29T09:05:54Z,3877681101,213,6.2,3877681099,212,46.1,3877681091,155,,3877681095,140,46.5,3878266837,178,,3877681103,1,,3877681097,141,52.7,3877681093,56,Back,jflu7a5n4f3ezoj20z0kje5m,M. Vandevoordt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347445,21,1,1,0,45,b7jmo07lqav0wfe2mtlzyspak,1,57.5,31.3,2022-10-28T18:56:11.932Z,2022-10-29T09:05:54Z,3878266923,388,,3877681171,140,46.1,3877681175,212,17.6,3877681169,56,Back,3877681167,3,,3877681177,213,2.3,3877681173,141,50.3,,,,b6hva6wki38za3hipscirr4h6,J. Van Hecke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347449,22,49,1,0,48,b7jmo07lqav0wfe2mtlzyspak,1,46.3,50.9,2022-10-28T18:56:14.211Z,2022-10-29T09:05:53Z,,,,,,,,,,,,,,,,,,,,,,,,,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347453,23,1,1,0,48,b7jmo07lqav0wfe2mtlzyspak,1,46.3,50.9,2022-10-28T18:56:14.236Z,2022-10-29T09:05:53Z,3877681219,56,Center,3877681221,140,62.2,3878267101,178,,3877681225,212,19.7,3877681227,213,0.6,3877681223,141,66.4,,,,,,,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347461,24,1,1,0,49,b7jmo07lqav0wfe2mtlzyspak,0,59.1,67.7,2022-10-28T18:56:15.262Z,2022-10-29T09:05:52Z,3878267267,178,,3877681267,56,Center,3877681273,212,24.7,3877681275,213,5.4,3877681271,141,40.6,3877681269,140,74.8,3877681265,155,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347479,12,1,1,0,50,89xivtxk59uzvhdsd6miao6tm,0,32.6,57.3,2022-10-28T18:56:16.845Z,2022-10-29T09:05:52Z,3877681405,213,6.1,3877681401,141,53.6,3877681397,56,Back,3877681395,3,,3877681399,140,47.3,3877681403,212,15.6,3878267339,388,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347525,25,1,1,0,53,b7jmo07lqav0wfe2mtlzyspak,1,46.7,42.5,2022-10-28T18:56:19.806Z,2022-10-29T09:05:51Z,3877681661,56,Back,3877681665,141,49.3,3877681669,213,3.0,3878267401,178,,3877681671,1,,3877681667,212,32.9,3877681663,140,15.7,,,,b6hva6wki38za3hipscirr4h6,J. Van Hecke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347553,26,1,1,1,3,b7jmo07lqav0wfe2mtlzyspak,1,13.7,49,2022-10-28T18:56:29.377Z,2022-10-29T09:05:50Z,3877681875,213,1.1,3877681871,141,71.4,3877681869,140,20.6,3877681867,56,Back,3877681873,212,16.9,3878267471,178,,,,,,,,1psqmd0h77b385bljq2emftgp,G. Coucke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
