id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/16/value
2531699483,421,7,1,1,20,c7jgkxx1czv5etn7snf1r6p2m,0,85.5,29.4,2023-04-10T12:31:33.451Z,2023-04-10T13:23:13Z,4179981935,233,422,4179981787,56,Center,4179981789,286,,,,,,,,,,,,,,,,,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531699751,422,61,1,1,24,c7jgkxx1czv5etn7snf1r6p2m,1,80,21.9,2023-04-10T12:31:37.451Z,2023-04-10T13:24:13Z,4179983305,56,Center,,,,,,,,,,,,,,,,,,,,,,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660835,12,1,1,1,24,bsykw9d70ffqe9atosc92n1e9,0,22.6,71.3,2023-04-10T12:31:38.150Z,2023-04-10T13:23:23Z,4179774029,212,2.1,4179774027,141,74.2,4179774031,213,1.9,4179774025,140,21.9,4179774023,56,Back,,,,,,,,,,7w9hhlq31pw5r4xwrjtk6yrbp,L. Salvesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531700161,423,15,1,1,24,c7jgkxx1czv5etn7snf1r6p2m,1,75.8,24.9,2023-04-10T12:31:38.351Z,2023-04-10T13:24:25Z,4179987845,231,45.3,4179987831,103,23.6,4179985669,18,,4179987273,82,,4179987833,215,,4179985671,56,Center,4179987269,20,,4179987267,25,,97pv7d7lbkovwn9gcpf0tpnmx,M. Bjørlo,4179987843,230,97.6,4179987835,328,,,4179987879,233,423,4179987841,147,28.9,4179987837,458,,4179987839,146,4179987829,102,4179987827,81,,,,,,80.6,47.2,,,
2531699811,423,10,1,1,25,bsykw9d70ffqe9atosc92n1e9,1,20.5,74.4,2023-04-10T12:31:38.451Z,2023-04-10T13:24:18Z,4179983677,94,,4179983679,56,Back,4179987311,233,423,,,,,,,,,,,,,,,,115owbh8c39gfwcja2wxuweay,H. Tangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531700849,425,1,1,1,26,c7jgkxx1czv5etn7snf1r6p2m,0,82.3,46,2023-04-10T12:31:39.451Z,2023-04-10T14:36:18Z,4179989605,140,89.4,4179989607,141,41.3,4179989609,212,8.1,4179989601,3,,4179989611,213,5.9,4179989603,56,Center,,,,,,,bx5qa3vn26qdi3mr2ckt1wmw9,S. Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531700347,424,44,1,1,26,bsykw9d70ffqe9atosc92n1e9,1,8.4,64.8,2023-04-10T12:31:40.450Z,2023-04-10T14:36:30Z,4179986667,285,,4179986831,233,424,4179986665,56,Back,,,,,,,,,,,,,,,,2o5etqath4k9qaliho4op0hd5,P. Gunnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531700371,424,44,1,1,27,c7jgkxx1czv5etn7snf1r6p2m,0,91.6,35.2,2023-04-10T12:31:40.451Z,2023-04-10T14:36:22Z,4179986843,233,424,4179986757,56,Center,4179986759,286,,,,,,,,,,,,,,,,,5k2hgogp2g5ivgdnq99ejp27e,Í. Þorvaldsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660877,13,41,1,1,27,bsykw9d70ffqe9atosc92n1e9,1,7.8,68.2,2023-04-10T12:31:40.814Z,2023-04-10T14:36:24Z,4179774247,141,89.1,4179774249,212,20.8,4179774251,213,0.8,4179774245,140,22.3,,,,,,,,,,,,,2o5etqath4k9qaliho4op0hd5,P. Gunnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660879,14,49,1,1,28,bsykw9d70ffqe9atosc92n1e9,1,22.3,89.1,2023-04-10T12:31:41.702Z,2023-04-10T12:31:42Z,,,,,,,,,,,,,,,,,,,,,,,,,115owbh8c39gfwcja2wxuweay,H. Tangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660885,15,1,1,1,28,bsykw9d70ffqe9atosc92n1e9,0,22.3,89.1,2023-04-10T12:31:41.959Z,2023-04-10T12:31:42Z,4179774285,56,Back,4179774293,213,0.2,4179774287,140,30.9,4179774289,141,91.8,4179774291,212,9.2,,,,,,,,,,115owbh8c39gfwcja2wxuweay,H. Tangen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660909,19,49,1,1,30,c7jgkxx1czv5etn7snf1r6p2m,1,75.3,8.6,2023-04-10T12:31:43.659Z,2023-04-10T12:31:43Z,,,,,,,,,,,,,,,,,,,,,,,,,97pv7d7lbkovwn9gcpf0tpnmx,M. Bjørlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660923,20,4,1,1,31,c7jgkxx1czv5etn7snf1r6p2m,1,73.6,6.4,2023-04-10T12:31:44.547Z,2023-04-10T12:31:49Z,4179774645,233,16,4179774423,152,,4179774421,56,Right,4179774419,13,,4179774427,286,,4179774425,265,,,,,,,,97pv7d7lbkovwn9gcpf0tpnmx,M. Bjørlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660955,16,4,1,1,31,bsykw9d70ffqe9atosc92n1e9,0,26.4,93.6,2023-04-10T12:31:44.548Z,2023-04-10T13:24:20Z,4179774613,152,,4179774651,233,20,4179774619,285,,4179774607,13,,4179774609,56,Back,4179774615,265,,,,,,,,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661275,21,1,1,2,1,c7jgkxx1czv5etn7snf1r6p2m,0,78.7,8.8,2023-04-10T12:32:15.115Z,2023-04-10T12:32:18Z,4179776305,155,,4179776319,212,29.0,4179776307,152,,4179776309,56,Center,4179776317,141,49.4,4179776321,213,1.3,4179776301,2,,4179776313,140,87.2,2u8ylwu9kogk0jorpe517812i,A. Pereira,4179776303,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661335,17,49,1,2,8,bsykw9d70ffqe9atosc92n1e9,1,9.4,40.3,2023-04-10T12:32:21.726Z,2023-04-10T12:32:21Z,,,,,,,,,,,,,,,,,,,,,,,,,7w9hhlq31pw5r4xwrjtk6yrbp,L. Salvesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661421,18,1,1,2,14,bsykw9d70ffqe9atosc92n1e9,1,46.3,54.4,2023-04-10T12:32:27.748Z,2023-04-10T13:25:52Z,4179995073,140,45.4,4179995081,212,10.7,4179995083,213,1.7,4179995077,141,70.1,4179776983,56,Back,,,,,,,,,,7w9hhlq31pw5r4xwrjtk6yrbp,L. Salvesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661461,19,1,1,2,15,bsykw9d70ffqe9atosc92n1e9,1,55.9,74.1,2023-04-10T12:32:29.169Z,2023-04-10T12:32:31Z,4179777189,141,95.4,4179777191,212,24.3,4179777187,140,74.5,4179777185,56,Left,4179777195,213,0.6,,,,,,,,,,6o1kdj6orb69f9ilwimxlprvu,S. Pattynama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661507,20,1,1,2,17,bsykw9d70ffqe9atosc92n1e9,1,75.6,95.7,2023-04-10T12:32:31.280Z,2023-04-10T12:32:34Z,4179777423,212,14.4,4179777421,141,86.5,4179777417,56,Left,4179777419,140,87.9,4179777425,213,5.8,,,,,,,,,,60xm53o64nszavcsgfu5xzjyt,S. Svendsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661515,21,1,1,2,20,bsykw9d70ffqe9atosc92n1e9,0,90.3,84.2,2023-04-10T12:32:34.023Z,2023-04-10T12:32:35Z,4179777483,213,4.8,4179777481,212,18.9,4179777461,2,,4179777473,140,92.2,4179777469,56,Center,4179777477,141,56.6,,,,,,,7w9hhlq31pw5r4xwrjtk6yrbp,L. Salvesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531661541,22,8,1,2,23,c7jgkxx1czv5etn7snf1r6p2m,1,11.1,37.4,2023-04-10T12:32:37.141Z,2023-04-10T12:32:37Z,4179777593,56,Back,,,,,,,,,,,,,,,,,,,,,,97pv7d7lbkovwn9gcpf0tpnmx,M. Bjørlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
