id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,qualifier/11/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2460550817,11,5,1,0,49,4djrvao40r1vgr4psfl5dzc80,1,47.7,-1.8,2022-09-16T15:51:22.262Z,2022-09-23T11:11:39Z,3783201131,233,19,3783201129,347,,3783201127,56,Back,,,,,,,,,,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550793,19,5,1,0,49,o1iwuxbv233ayidxpibbxy59,0,52.3,101.8,2022-09-16T15:51:22.262Z,2022-09-23T11:11:40Z,3783200975,56,Left,3783200977,347,,3783201135,233,11,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550835,12,1,1,1,6,4djrvao40r1vgr4psfl5dzc80,1,45.5,0,2022-09-16T15:51:39.427Z,2022-09-23T11:12:00Z,3783201233,56,Right,3783201237,141,4.1,3783201235,140,59.9,3783201231,107,,3783201239,212,15.5,3783201241,213,0.2,,,,,,,465tn4volgmbkntekrvwuvmne,Hassan Al Shamrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550837,13,61,1,1,8,4djrvao40r1vgr4psfl5dzc80,0,59.8,4,2022-09-16T15:51:40.700Z,2022-09-23T11:12:08Z,3783201245,56,Right,3798693731,178,,,,,,,,,,,,,,,,,,,,1fypwti6kn4ae12fc9outj845,H. Soudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550833,20,61,1,1,8,o1iwuxbv233ayidxpibbxy59,1,39,96.6,2022-09-16T15:51:40.958Z,2022-09-23T11:12:13Z,3783201205,56,Back,3798693781,178,,,,,,,,,,,,,,,,,,,,8pxv846gct3gjgrknr4glqulm,Sumayhan Al Nabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550839,21,49,1,1,10,o1iwuxbv233ayidxpibbxy59,1,37.1,85.9,2022-09-16T15:51:43.007Z,2022-09-23T11:12:20Z,,,,,,,,,,,,,,,,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550845,22,1,1,1,10,o1iwuxbv233ayidxpibbxy59,1,37.1,85.9,2022-09-16T15:51:43.087Z,2022-09-23T11:12:27Z,3783201283,212,29.7,3783201281,141,44.9,3783201285,213,5.1,3783201279,140,46.9,3783201277,56,Back,3798694025,178,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550847,23,1,1,1,12,o1iwuxbv233ayidxpibbxy59,1,46.9,44.9,2022-09-16T15:51:45.209Z,2022-09-23T11:12:44Z,3783201299,213,4.2,3798694239,178,,3783201293,140,34.8,3783201291,56,Back,3783201295,141,14.7,3783201297,212,24.1,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550861,24,1,1,1,15,o1iwuxbv233ayidxpibbxy59,1,34.6,18,2022-09-16T15:51:47.885Z,2022-09-23T11:12:50Z,3783201359,212,8.3,3783201361,213,1.2,3798694305,178,,3783201353,56,Back,3783201355,140,37.3,3783201357,141,29.5,,,,,,,1amphiae52a8rzm2ngpzffu21,Tareq Abdullah A Mohammed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460550865,25,1,1,1,17,o1iwuxbv233ayidxpibbxy59,0,37.4,29.2,2022-09-16T15:51:50.119Z,2022-09-23T11:12:57Z,3783201389,56,Right,3783201397,213,6.1,3798694393,178,,3783201395,212,28.8,3783201391,140,64.3,3783201393,141,20.9,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
