id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,keyPass,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2500971231,23,1,1,9,1,2xl3g56k2mbuwdbre46s29vt4,1,34.4,100,2023-01-27T17:39:15.675Z,2023-02-16T11:24:27Z,3996832563,213,4.0,3996832555,56,Back,3996832553,107,,3996832561,212,9.6,3996832559,141,91.5,3996832557,140,28.3,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971261,24,1,1,9,6,2xl3g56k2mbuwdbre46s29vt4,1,25,81.5,2023-01-27T17:39:21.378Z,2023-02-16T11:24:32Z,3996832703,213,3.7,3996832695,56,Back,3996832701,212,24.2,4035344181,178,,3996832697,140,5.9,3996832699,141,61.5,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971291,25,1,1,9,10,2xl3g56k2mbuwdbre46s29vt4,1,6.4,54,2023-01-27T17:39:25.029Z,2023-02-16T11:24:35Z,3996832855,56,Back,3996832863,213,4.8,4035344277,178,,3996832857,140,7.1,3996832861,212,15.0,3996832859,141,31.9,,,,,,,64122p1l6bayb1x6lfi9w85m2,Abdulquddus Atiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971325,26,1,1,9,13,2xl3g56k2mbuwdbre46s29vt4,1,8,26.7,2023-01-27T17:39:27.918Z,2023-02-16T11:24:38Z,3996833093,213,1.8,3996833085,56,Back,3996833091,212,15.3,3996833089,141,48.5,3996833087,140,4.3,4035344369,178,,,,,,,,2gwlr4pwk004ck0jrgn7z6ytx,Abdullah Al Hafith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971341,27,1,1,9,17,2xl3g56k2mbuwdbre46s29vt4,0,13.2,48.8,2023-01-27T17:39:32.063Z,2023-02-16T11:24:41Z,3996833173,155,,3996833183,213,1.1,3996833175,56,Back,3996833179,141,81.2,4035344459,178,,3996833181,212,24.6,3996833177,140,23.6,,,,64122p1l6bayb1x6lfi9w85m2,Abdulquddus Atiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971337,16,49,1,9,18,aekjg4wbxaixtwu4aicmiju92,1,78.9,6.1,2023-01-27T17:39:33.320Z,2023-02-16T11:24:47Z,,,,,,,,,,,,,,,,,,,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971363,17,15,1,9,21,aekjg4wbxaixtwu4aicmiju92,1,74.5,27.7,2023-01-27T17:39:36.166Z,2023-02-16T11:24:52Z,3996834097,103,19,3996834095,102,51.7,3996833303,56,Center,4035344755,178,,3996834109,231,48.6,3996833301,18,,3996834093,78,,3996834099,215,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,3996834101,458,,3996833847,82,3996833299,22,3996834103,146,3996834107,230,,82.1,3996833873,233,3996834105,147,35.9,3996833843,72,,,,,98.5,28,,,,,,,,,,,
2500971381,28,10,1,9,21,2xl3g56k2mbuwdbre46s29vt4,1,16.8,77,2023-01-27T17:39:36.421Z,2023-02-16T11:24:59Z,4035344925,178,,3996833397,94,,3996833881,233,17,3996833399,56,Back,,,,,,,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971399,29,49,1,9,25,2xl3g56k2mbuwdbre46s29vt4,1,19.6,94.1,2023-01-27T17:39:40.051Z,2023-02-16T11:25:14Z,,,,,,,,,,,,,,,,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500971443,30,1,1,9,25,2xl3g56k2mbuwdbre46s29vt4,1,21.3,96,2023-01-27T17:39:40.142Z,2023-02-16T11:25:25Z,3996833727,141,96.2,3996833721,155,,3996833733,1,,3996833729,212,44.3,3996833723,56,Left,3996833725,140,63.5,3996833731,213,0.0,4035345715,178,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
