id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/value,qualifier/9/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2459888225,16,5,1,0,53,aekjg4wbxaixtwu4aicmiju92,1,6.7,-2,2022-09-14T15:56:08.003Z,2022-09-24T07:44:27Z,3779644599,233,10,3779641101,56,Back,3779641103,347,,,,,,,,,,,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888223,15,43,1,1,7,aekjg4wbxaixtwu4aicmiju92,1,0,0,2022-09-14T15:56:21.887Z,2022-09-14T16:02:44Z,3779641097,233,9,3779644587,144,74,3779641087,285,0,3779641085,56,Back,,,,,,,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888237,17,1,1,1,9,aekjg4wbxaixtwu4aicmiju92,1,16.6,0,2022-09-14T15:56:23.885Z,2022-09-24T07:44:34Z,3779641161,107,,3779641171,212,20.8,3779641173,213,0.4,3779641163,56,Back,3779641167,141,9.1,3779641165,140,35.1,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888241,18,1,1,1,12,aekjg4wbxaixtwu4aicmiju92,0,34.6,9.1,2022-09-14T15:56:26.774Z,2022-09-24T07:44:44Z,3799928215,388,,3779641185,3,,3779641187,168,,3779641193,141,10.7,3779641195,212,5.9,3779641197,213,0.2,3779641191,140,40.1,3779641189,56,Back,7x93sjn5afm0exqap67az0ay2,A. Valera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888235,11,49,1,1,13,f0zsn74nz0o01gr30weun240i,1,63.9,94.1,2022-09-14T15:56:28.191Z,2022-09-24T07:44:56Z,,,,,,,,,,,,,,,,,,,,,,,,,3hzwwygv4u0vn68g4z3taqj1l,Alfa Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888243,12,1,1,1,13,f0zsn74nz0o01gr30weun240i,1,63.9,94.1,2022-09-14T15:56:28.281Z,2022-09-24T07:45:02Z,3779641207,213,0.5,3779641205,212,5.3,3779641203,141,98.0,3799928663,178,,3779641199,56,Left,3779641201,140,68.3,,,,,,,3hzwwygv4u0vn68g4z3taqj1l,Alfa Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888245,13,1,1,1,15,f0zsn74nz0o01gr30weun240i,1,68.3,98,2022-09-14T15:56:29.944Z,2022-09-24T07:45:09Z,3779641215,140,52.8,3779641217,141,94.2,3779641213,56,Left,3779641221,213,3.3,3799928767,178,,3779641219,212,16.5,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888247,14,1,1,1,18,f0zsn74nz0o01gr30weun240i,1,45.7,83.1,2022-09-14T15:56:32.859Z,2022-09-24T07:45:17Z,3779641243,141,25.2,3779641247,213,4.6,3779641245,212,39.7,3779671739,1,,3779641239,56,Back,3779641241,140,40.7,3799928897,178,,,,,bkpoy149cdahszf7g50fdox04,Hassan Al Jubairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888251,15,1,1,1,23,f0zsn74nz0o01gr30weun240i,1,40,19.5,2022-09-14T15:56:37.542Z,2022-09-24T07:45:24Z,3799928999,178,,3779641277,213,6.0,3779641275,212,32.5,3779641273,141,5.5,3779641267,155,,3779641269,56,Right,3779641279,1,,3779641271,140,69.6,bodbz7zwlae3zytzhmbk5ncwk,Abdulkarim Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888253,16,44,1,1,25,f0zsn74nz0o01gr30weun240i,1,67.6,5,2022-09-14T15:56:39.577Z,2022-09-24T09:38:28Z,3779641285,286,,3779641287,233,19,3779641283,56,Right,,,,,,,,,,,,,,,,8tvytrvm8g922nxp2sjc7lxp1,A. Sayoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
