id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2495293915,28,1,1,1,33,o1iwuxbv233ayidxpibbxy59,1,51,8.5,2023-01-06T15:01:49.482Z,2023-01-14T05:09:08Z,3966942947,56,Back,3966942949,140,48.4,3966942957,1,,3966942951,141,56.6,3966942953,212,32.8,3966942955,213,1.7,3976129371,178,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293923,29,1,1,1,38,o1iwuxbv233ayidxpibbxy59,1,53.1,66.7,2023-01-06T15:01:53.836Z,2023-01-14T05:09:11Z,3966942983,56,Left,3966942991,213,1.0,3976129407,178,,3966942985,140,67.1,3966942989,212,25.8,3966942987,141,97.8,,,,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293933,30,1,1,1,42,o1iwuxbv233ayidxpibbxy59,1,60.5,91.7,2023-01-06T15:01:58.689Z,2023-01-14T05:09:14Z,3966943039,212,19.6,3966943037,141,76.0,3966943041,213,3.7,3966943033,56,Back,3966943035,140,44.9,3976129423,178,,,,,,,,7l1lhluaxnuy4cun3omcva4us,Saad Yaslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293937,31,1,1,1,48,o1iwuxbv233ayidxpibbxy59,0,53.8,73,2023-01-06T15:02:04.300Z,2023-01-14T05:09:18Z,3966943055,140,63.7,3966943053,56,Center,3966943057,141,31.0,3976129493,178,,3966943051,155,,3966943061,213,5.1,3966943059,212,30.4,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293939,10,49,1,1,50,7w4300dn2tnd0eqmbtk531tkx,1,33.6,67.3,2023-01-06T15:02:06.035Z,2023-01-14T05:09:21Z,,,,,,,,,,,,,,,,,,,,,,,,,netr5hv4nn69u7twf7u892hh,Fábio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293941,11,50,1,1,52,7w4300dn2tnd0eqmbtk531tkx,1,40.8,95.8,2023-01-06T15:02:08.723Z,2023-01-14T05:10:36Z,3966943073,56,Back,3966943087,233,32,3966943075,286,,,,,,,,,,,,,,,,,netr5hv4nn69u7twf7u892hh,Fábio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293943,32,7,1,1,53,o1iwuxbv233ayidxpibbxy59,1,59.2,4.2,2023-01-06T15:02:09.593Z,2023-01-14T05:10:39Z,3966943083,233,11,3976130329,178,,3966943077,167,,3966943081,285,,3966943079,56,Right,3972376829,385,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293965,12,5,1,1,54,7w4300dn2tnd0eqmbtk531tkx,1,39.6,101.4,2023-01-06T15:02:10.654Z,2023-01-14T05:10:42Z,3966943189,347,,3966943193,233,33,3966943187,56,Back,,,,,,,,,,,,,,,,netr5hv4nn69u7twf7u892hh,Fábio Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293945,33,5,1,1,54,o1iwuxbv233ayidxpibbxy59,0,60.4,-1.4,2023-01-06T15:02:10.654Z,2023-01-14T05:10:42Z,3966943093,347,,3966943091,56,Right,3966943197,233,12,,,,,,,,,,,,,,,,cmijbwv0ine68v0y6kf9cuehh,Álvaro Medrán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293967,13,1,1,2,8,7w4300dn2tnd0eqmbtk531tkx,1,41.1,100,2023-01-06T15:02:24.235Z,2023-01-14T05:10:44Z,3966943213,1,,3966943207,141,95.0,3966943201,107,,3966943209,212,25.6,3966943205,140,65.1,3966943203,56,Left,3966943211,213,6.1,,,,6ry2ngrlp71y0q57zgz6wu2y2,Hussain Ali Alnwaiqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293971,14,1,1,2,11,7w4300dn2tnd0eqmbtk531tkx,0,61.5,95,2023-01-06T15:02:26.924Z,2023-01-14T05:10:48Z,3966943233,140,82.1,3976130453,178,,3966943239,213,5.9,3966943237,212,23.7,3966943231,56,Left,3966943235,141,80.8,,,,,,,22cd6gzfwo341qai1o6014251,S. Çikalleshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495293973,34,49,1,2,14,o1iwuxbv233ayidxpibbxy59,1,24.7,18.9,2023-01-06T15:02:30.309Z,2023-01-14T05:10:54Z,,,,,,,,,,,,,,,,,,,,,,,,,8j0yhxinglb5o5dpe2qd232dx,Naldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
