id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/13/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2454204683,747,43,1,1,16,f0zsn74nz0o01gr30weun240i,1,0,0,2022-08-26T15:46:42.421Z,2022-09-01T12:33:13Z,3749391491,144,82,3749387921,178,0,,,,,,,,,,,,,,,,,,,9i2vkt05nwdi1v6iqiyv3hl91,Mohammed Harzan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031425,12,45,1,1,18,7dkxxicrwn77jpdfkwpnlnnyn,0,54,70.2,2022-08-26T15:46:44.448Z,2022-09-01T11:22:35Z,3732473053,56,Center,3732473113,233,19,3732473055,285,,,,,,,,,,,,,,,,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031431,19,3,1,1,18,f0zsn74nz0o01gr30weun240i,1,46,29.8,2022-08-26T15:46:44.448Z,2022-09-01T11:22:35Z,3747250967,465,,3732473091,286,,3732473089,56,Back,3732473097,233,12,3749321263,178,,,,,,,,,,,8tvytrvm8g922nxp2sjc7lxp1,A. Sayoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031437,20,1,1,1,19,f0zsn74nz0o01gr30weun240i,1,53.3,20,2022-08-26T15:46:45.498Z,2022-09-01T11:22:44Z,3732473127,213,5.3,3732473125,212,11.2,3732473119,56,Right,3732473121,140,59.6,3749321353,178,,3732473123,141,6.8,,,,,,,8tvytrvm8g922nxp2sjc7lxp1,A. Sayoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451041481,386,1,1,1,21,f0zsn74nz0o01gr30weun240i,0,61.1,5.3,2022-08-26T15:46:46.642Z,2022-09-01T11:22:54Z,3732528253,141,14.0,3732528251,140,63.0,3732528249,56,Right,3732528257,213,1.2,3749321461,178,,3732528255,212,6.2,,,,,,,egk2nnpvvup731trr0x2kj696,G. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454205325,810,67,1,1,22,7dkxxicrwn77jpdfkwpnlnnyn,1,36.3,85.4,2022-08-26T15:46:47.781Z,2022-09-05T07:03:19Z,3749391999,233,762,,,,,,,,,,,,,,,,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454205321,762,67,1,1,22,f0zsn74nz0o01gr30weun240i,0,63.7,14.6,2022-08-26T15:46:47.782Z,2022-09-01T12:33:41Z,3749392013,233,810,,,,,,,,,,,,,,,,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031439,13,8,1,1,22,7dkxxicrwn77jpdfkwpnlnnyn,1,41.3,81.4,2022-08-26T15:46:47.787Z,2022-09-05T07:03:19Z,3747251083,385,,3732473131,56,Back,3749321585,178,,,,,,,,,,,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031443,21,1,1,1,22,f0zsn74nz0o01gr30weun240i,0,44.2,16.4,2022-08-26T15:46:47.810Z,2022-09-01T11:23:18Z,3732473145,155,,3732473151,141,13.8,3732473153,212,27.5,3732473147,56,Right,3732473149,140,70.3,3749321679,178,,3732473155,213,6.2,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451031447,14,1,1,1,25,7dkxxicrwn77jpdfkwpnlnnyn,1,36.1,78.1,2022-08-26T15:46:51.365Z,2022-09-01T11:27:27Z,3732473185,212,10.6,3749323295,388,,3732473187,213,0.7,3732473179,56,Back,3732473177,3,,3732473181,140,43.6,3732473183,141,88.5,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
