id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2454447115,12,5,1,1,36,f0zsn74nz0o01gr30weun240i,1,-0.6,69.2,2022-09-02T16:02:21.652Z,2022-09-19T09:58:03Z,3750707649,56,Back,3750707651,346,,3750707657,233,20,,,,,,,,,,,,,,,,3hzwwygv4u0vn68g4z3taqj1l,Alfa Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447111,20,5,1,1,36,cq4rdp1mkan8zhaw7bmzjdaqk,0,100.6,30.8,2022-09-02T16:02:21.652Z,2022-09-19T09:58:03Z,3750707631,346,,3750707629,56,Center,3750707663,233,12,,,,,,,,,,,,,,,,9857q6zg63yro4ia9txv2l9pm,Fawaz Al Terais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447201,13,1,1,1,50,f0zsn74nz0o01gr30weun240i,1,5,47.8,2022-09-02T16:02:35.815Z,2022-09-21T07:31:58Z,3750708143,212,12.7,3750708149,237,,3750708137,56,Back,3750708135,124,,3750708145,213,5.3,3750708139,140,11.4,3750708141,141,31.9,,,,c2mhdatj96x8eug6mekactrkl,Victor Braga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447205,14,1,1,1,52,f0zsn74nz0o01gr30weun240i,1,11.4,31.9,2022-09-02T16:02:38.360Z,2022-09-19T09:58:09Z,3750708171,213,1.5,3750708163,56,Back,3750708169,212,26.8,3793543057,178,,3750708165,140,13.7,3750708167,141,71.1,,,,,,,bodbz7zwlae3zytzhmbk5ncwk,Abdulkarim Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447217,15,1,1,1,56,f0zsn74nz0o01gr30weun240i,1,13.7,71.1,2022-09-02T16:02:42.282Z,2022-09-19T09:58:11Z,3750708211,56,Back,3750708217,212,18.8,3750708215,141,93.3,3793543065,178,,3750708219,213,0.9,3750708213,140,24.4,,,,,,,bkpoy149cdahszf7g50fdox04,Hassan Al Jubairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447237,16,1,1,1,59,f0zsn74nz0o01gr30weun240i,1,24.4,93.3,2022-09-02T16:02:44.681Z,2022-09-19T09:58:14Z,3750708333,213,3.8,3750708331,212,12.9,3750708329,141,82.4,3793543111,178,,3750708327,140,14.3,3750708325,56,Back,,,,,,,8y6x61qorr95ai62ko6yo6cr8,Nawaf Al Qamiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447265,17,1,1,2,2,f0zsn74nz0o01gr30weun240i,1,12.4,73.1,2022-09-02T16:02:47.751Z,2022-09-19T09:58:18Z,3750708471,140,11.6,3793543159,178,,3750708473,141,22.0,3750708479,1,,3750708469,56,Back,3750708477,213,4.7,3750708475,212,34.8,,,,bkpoy149cdahszf7g50fdox04,Hassan Al Jubairi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447281,18,1,1,2,9,f0zsn74nz0o01gr30weun240i,1,31,17,2022-09-02T16:02:54.979Z,2022-09-19T09:58:29Z,3793543311,178,,3750708561,141,3.2,3750708565,213,5.8,3750708559,140,48.8,3750708563,212,20.9,3750708557,56,Back,,,,,,,bodbz7zwlae3zytzhmbk5ncwk,Abdulkarim Sultan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447283,19,61,1,2,12,f0zsn74nz0o01gr30weun240i,0,48.8,3.2,2022-09-02T16:02:57.820Z,2022-09-19T09:58:38Z,3793543405,178,,3750708569,56,Back,,,,,,,,,,,,,,,,,,,5ffogjpb96mfoihuw7pu5pl91,C. Fai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447287,20,5,1,2,13,f0zsn74nz0o01gr30weun240i,0,53.2,-1,2022-09-02T16:02:59.002Z,2022-09-19T09:58:40Z,3750709123,233,21,3750708597,347,,3750708595,56,Right,,,,,,,,,,,,,,,,8tvytrvm8g922nxp2sjc7lxp1,A. Sayoud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454447375,21,5,1,2,13,cq4rdp1mkan8zhaw7bmzjdaqk,1,46.8,101,2022-09-02T16:02:59.002Z,2022-09-19T09:58:39Z,3750709093,233,20,3750709073,347,,3750709071,56,Back,,,,,,,,,,,,,,,,9857q6zg63yro4ia9txv2l9pm,Fawaz Al Terais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
