id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2503312727,10,2,1,0,35,57jcqe38hakh2hfit2zsogsb,1,30.8,28.9,2023-02-03T15:01:25.477Z,2023-02-18T11:09:52Z,4009081935,140,65.2,4038923015,178,,4009081931,1,,4009081937,141,50.2,4009081929,7,h17s3qts1dz1zqjw19jazzkl,4009081933,56,Center,,,,,,,dayca044hynhii8kgr7g1azth,Luiz Gustavo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312729,9,55,1,0,35,aekjg4wbxaixtwu4aicmiju92,1,49.1,40.6,2023-02-03T15:01:25.478Z,2023-02-18T11:09:53Z,,,,,,,,,,,,,,,,,,,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312737,10,1,1,1,3,aekjg4wbxaixtwu4aicmiju92,1,41.5,53.4,2023-02-03T15:01:53.105Z,2023-02-18T11:09:54Z,4009082077,189,,4038923037,178,,4009081983,241,,4009081991,212,13.5,4009081993,213,4.2,4009081981,5,,4009081987,140,35.5,4009081985,56,Back,6b717wlx0q8d73hsbgsp90no5,Petros,4009081989,141,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312739,11,1,1,1,6,aekjg4wbxaixtwu4aicmiju92,1,36.1,30.7,2023-02-03T15:01:55.961Z,2023-02-18T11:10:00Z,4009082001,141,7.0,4009082005,213,4.9,4038923081,178,,4009081999,140,39.3,4009081997,56,Back,4009082003,212,16.5,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312745,12,1,1,1,7,aekjg4wbxaixtwu4aicmiju92,1,39.7,6.5,2023-02-03T15:01:57.183Z,2023-02-18T11:10:06Z,4038923137,178,,4009082033,56,Right,4009082041,213,6.2,4009082039,212,17.5,4009082035,140,56.3,4009082037,141,4.1,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312747,13,1,1,1,9,aekjg4wbxaixtwu4aicmiju92,0,54.5,3.7,2023-02-03T15:01:58.778Z,2023-02-18T11:10:11Z,4009082049,141,0.0,4009082045,56,Right,4009082047,140,68.4,4009082051,212,14.9,4009082053,213,6.1,4038923177,178,,,,,,,,3a2ef34105eqoes4s6zu1310p,Feras Al Brikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312753,12,5,1,1,11,57jcqe38hakh2hfit2zsogsb,1,31.9,101.2,2023-02-03T15:02:01.551Z,2023-02-18T11:10:15Z,4009082067,233,14,4009082065,347,,4009082063,56,Back,,,,,,,,,,,,,,,,4uyfs1epryrirnq46jttxm6sp,Abdulelah Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312751,14,5,1,1,11,aekjg4wbxaixtwu4aicmiju92,0,68.1,-1.2,2023-02-03T15:02:01.551Z,2023-02-18T11:10:16Z,4009082057,56,Right,4009082071,233,12,4009082059,347,,,,,,,,,,,,,,,,,cee8klv6kur6xp1v57uikihg5,S. Bendebka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312757,13,1,1,1,13,57jcqe38hakh2hfit2zsogsb,1,32.2,100,2023-02-03T15:02:03.151Z,2023-02-18T11:10:20Z,4009082091,212,11.0,4009082083,107,,4009082087,140,23.3,4009082093,213,3.7,4009082089,141,93.2,4009082085,56,Back,,,,,,,19djqex4nu3lz6vw08f3fwv6x,G. Konan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503312759,14,1,1,1,15,57jcqe38hakh2hfit2zsogsb,1,22.3,90.7,2023-02-03T15:02:05.535Z,2023-02-18T11:10:30Z,4009082097,56,Back,4038923419,178,,4009082099,140,10.9,4009082107,213,3.6,4009082101,141,81.2,4009082105,212,13.6,,,,,,,rbhqo1mjhl4j1enpfpbehlgp,Abdullah Al Khaibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
