id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2541343563,23,1,1,1,13,966pdxhsoxaib9qt5083h8uus,1,37.5,76,2023-04-30T02:12:02.097Z,2023-04-30T02:22:46Z,4238291825,212,25.4,4238291817,152,,4238291827,213,4.6,4238291823,141,39.0,4238291815,5,,4238291821,140,34.2,4238291819,56,Back,,,,9yvkpwm78jaqr321imfc3rrbo,E. Madril,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343591,24,1,1,1,19,966pdxhsoxaib9qt5083h8uus,1,33.8,38.6,2023-04-30T02:12:07.793Z,2023-04-30T02:22:47Z,4238291985,212,24.6,4238291983,141,7.1,4238291981,140,45.4,4238291979,56,Back,4238291987,213,5.2,,,,,,,,,,9hs0hutntgdjklszqisxozend,M. Montefusco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343613,25,1,1,1,22,966pdxhsoxaib9qt5083h8uus,1,43.9,10.8,2023-04-30T02:12:10.705Z,2023-05-04T14:32:37Z,4238292137,213,0.3,4238292129,141,20.7,4238292133,212,25.2,4238292125,140,67.0,4238292123,56,Right,,,,,,,,,,3cyj9a2fjtx4xd0bqdh6g3azu,H. McCutcheon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343665,26,1,1,1,24,966pdxhsoxaib9qt5083h8uus,1,68.8,15.4,2023-04-30T02:12:13.073Z,2023-04-30T02:12:19Z,4238292469,140,64.4,4238292475,213,4.2,4238292467,56,Right,4238292471,141,3.8,4238292473,212,9.1,,,,,,,,,,9dhcf93mr1nfzxjv769gvnzyt,E. Tymrak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343699,27,1,1,1,30,966pdxhsoxaib9qt5083h8uus,1,66.4,34.7,2023-04-30T02:12:19.569Z,2023-05-04T14:32:53Z,4238292659,212,44.8,4238292657,141,87.2,4238292663,1,,4238292661,213,0.9,4238292651,56,Left,4238292655,140,92.2,,,,,,,c811si1xw5he6ih0o1mj94tsl,Marta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343769,28,1,1,1,38,966pdxhsoxaib9qt5083h8uus,1,93.7,96,2023-04-30T02:12:27.185Z,2023-04-30T02:12:30Z,4238292985,140,86.6,4238292991,213,3.3,4238292987,141,94.3,4238292983,56,Left,4238292989,212,7.5,,,,,,,,,,1uf4321zvio3hrwfu4z4jxp7t,K. Strom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343813,29,1,1,1,41,966pdxhsoxaib9qt5083h8uus,1,80.2,92.3,2023-04-30T02:12:30.096Z,2023-05-04T14:33:32Z,4238293207,2,,4238293219,213,5.0,4238293713,154,,4238293217,212,37.8,4238293211,56,Center,4238293215,141,39.8,4249851501,223,,4238293209,155,,91pl4sfwk9t4ybwanj8dlwahg,M. Cluff,4238293711,210,13,1,4238293213,140,92.0,4249851503,20,4238293221,1,,,,,,,,,,,,,,,,,,,,,,,,
2541343829,30,44,1,1,45,966pdxhsoxaib9qt5083h8uus,1,91.2,42.4,2023-04-30T02:12:34.128Z,2023-04-30T02:12:38Z,4238293423,233,13,4238293255,56,Center,4238293257,286,,,,,,,,,,,,,,,,,191uogxjdg4uo178qv1544jys,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343859,13,44,1,1,45,esvbnzqbyvxp2k570ez7h1a1g,0,8.8,57.6,2023-04-30T02:12:34.129Z,2023-04-30T02:12:39Z,4238293437,233,30,4238293363,56,Back,4238293365,285,,,,,,,,,,,,,,,,,6x0oj293r0sv99i071v8owpgp,N. Girma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541343831,31,13,1,1,45,966pdxhsoxaib9qt5083h8uus,1,91.3,43.3,2023-04-30T02:12:34.593Z,2023-05-04T14:33:32Z,4238293735,154,,4238293749,230,99.0,4238293393,15,,4238293731,29,,4238293745,102,63.9,4238293747,103,1.4,4238293741,55,29,4238293269,56,Center,191uogxjdg4uo178qv1544jys,M. Bright,4238293729,73,,,4238293265,22,,4238293751,231,4238293267,17,47.3,4238293397,328,,,,,,,,,,,,,,,,,,,,,
