id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value,assist
2493912815,20,5,1,2,1,5qwskbjpa17fvmtuu5qijy7cz,0,24.6,101.7,2022-12-29T19:46:41.857Z,2023-01-01T18:31:39Z,3959689827,233,14,3959686505,56,Back,3959686509,347,,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493912989,15,1,1,2,14,8xeuwzxnm7hdlbjjuezgfkz3w,1,75.2,0,2022-12-29T19:46:54.694Z,2023-01-01T18:31:45Z,3959687445,213,2.0,3959687441,141,10.6,3959687437,56,Right,3959687439,140,71.7,3959699821,107,,3959687443,212,8.9,,,,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913001,16,1,1,2,15,8xeuwzxnm7hdlbjjuezgfkz3w,1,71.7,10.6,2022-12-29T19:46:55.561Z,2023-01-01T18:31:49Z,3959687493,212,5.0,3959687487,56,Right,3959687491,141,3.5,3962963045,178,,3959687489,140,70.3,3959687495,213,4.4,,,,,,,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913019,17,1,1,2,16,8xeuwzxnm7hdlbjjuezgfkz3w,1,70.3,3.5,2022-12-29T19:46:56.917Z,2023-01-01T18:31:52Z,3959687567,56,Right,3959687577,213,0.0,3959687573,141,4.0,3959687569,140,77.5,3959687575,212,7.6,3962963057,178,,,,,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913031,18,1,1,2,17,8xeuwzxnm7hdlbjjuezgfkz3w,1,77.5,4,2022-12-29T19:46:57.473Z,2023-01-01T18:31:56Z,3959687645,212,7.1,3962963085,178,,3959687641,140,71.0,3959687639,56,Right,3959687647,213,2.8,3959687643,141,7.1,,,,,,,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913095,19,1,1,2,18,8xeuwzxnm7hdlbjjuezgfkz3w,1,71,7.1,2022-12-29T19:46:58.606Z,2023-01-01T18:32:01Z,3959687933,56,Right,3959687937,141,8.2,3962963105,178,,3959687941,213,0.0,3959687935,140,90.2,3959687939,212,20.2,,,,,,,b1or5u4dfuf4pvg7cgqnp3nxl,R. Cooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913187,20,1,1,2,21,8xeuwzxnm7hdlbjjuezgfkz3w,1,94.6,5.8,2022-12-29T19:47:01.644Z,2023-01-01T18:32:04Z,3959688443,140,85.4,3960848123,20,,3959688439,155,,3960848121,224,,3959688441,56,Center,3959688433,2,,3959688449,213,1.8,3959688447,212,49.0,a06js9xdgcoqq2mjjp9bbozu2,L. Shaw,3959688451,1,,3962963129,178,,3959688445,141,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913203,21,1,1,2,27,8xeuwzxnm7hdlbjjuezgfkz3w,1,85.4,76.4,2022-12-29T19:47:07.532Z,2023-01-01T18:32:08Z,3959688543,213,3.6,3959688539,141,72.4,3959688535,56,Center,3959688541,212,6.4,3959688537,140,79.9,3962963153,178,,,,,,,,3hjfotlalegyuxqoidz99f1ii,K. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913223,22,1,1,2,27,8xeuwzxnm7hdlbjjuezgfkz3w,0,78,70.9,2022-12-29T19:47:08.166Z,2023-01-01T18:32:13Z,3959688629,140,86.5,3959688635,213,0.0,3959688633,212,8.9,3959688627,56,Center,3962963189,178,,3959688631,141,71.5,,,,,,,babqz0ziyoyw9ycgxh4stfh0p,M. Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493913209,21,8,1,2,28,5qwskbjpa17fvmtuu5qijy7cz,1,18.7,28.5,2022-12-29T19:47:08.414Z,2023-01-01T18:32:18Z,3962963223,178,,3959688567,56,Back,3960848563,384,,,,,,,,,,,,,,,,,6ipjgy0ewyx7mnmolu0pp0mw9,L. Coyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
