id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value
2533630019,15,1,1,0,53,ahm0t06rup1bkd9z0mxl2lmph,1,53.1,95.3,2023-04-15T14:02:09.789Z,2023-04-18T05:32:02Z,4190277715,56,Back,4190277721,212,15.1,4190277723,213,3.9,4199499473,178,,4190277717,140,42.9,4190277719,141,79.6,,,,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630061,16,1,1,0,55,ahm0t06rup1bkd9z0mxl2lmph,1,43,78.8,2023-04-15T14:02:12.320Z,2023-04-18T05:32:08Z,4190277927,56,Back,4199499529,178,,4190277929,140,36.8,4190277931,141,50.4,4190277935,213,4.4,4190277933,212,20.4,,,,,,,3jzhwh7lq7xzcz7clm28h0mvp,C. Brannagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630095,17,1,1,0,57,ahm0t06rup1bkd9z0mxl2lmph,1,36.8,50.4,2023-04-15T14:02:13.444Z,2023-04-18T05:32:15Z,4190278103,213,1.2,4190278087,56,Back,4190278099,212,13.0,4190278091,140,40.9,4199499585,178,,4190278095,141,68.4,,,,,,,bsrhtxhpnlxho2o4zvli5qmeh,E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630279,18,1,1,0,58,ahm0t06rup1bkd9z0mxl2lmph,1,40.9,68.4,2023-04-15T14:02:14.699Z,2023-04-18T05:32:24Z,4190279011,56,Back,4190279021,213,4.2,4190279015,141,50.1,4190279013,140,34.5,4199499655,178,,4190279017,212,14.1,,,,,,,3jzhwh7lq7xzcz7clm28h0mvp,C. Brannagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630403,19,1,1,1,2,ahm0t06rup1bkd9z0mxl2lmph,1,34.2,60,2023-04-15T14:02:18.679Z,2023-04-18T05:32:36Z,4190279643,213,3.3,4199499781,178,,4190279641,212,31.6,4190279635,56,Back,4190279639,141,50.4,4190279637,140,4.8,,,,,,,bsrhtxhpnlxho2o4zvli5qmeh,E. Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630507,20,1,1,1,5,ahm0t06rup1bkd9z0mxl2lmph,0,5.6,49.7,2023-04-15T14:02:21.559Z,2023-04-18T05:32:43Z,4190280179,155,,4190280181,56,Center,4190280191,1,,4190280183,140,51.6,4190280185,141,41.2,4199499829,178,,4190280189,213,6.2,4190280187,212,48.6,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630501,13,44,1,1,9,69t8imcdaqlgfbds2p58596my,1,49.2,57,2023-04-15T14:02:25.470Z,2023-04-18T11:53:31Z,4190280167,285,,4190280375,233,21,4190280165,56,Back,,,,,,,,,,,,,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630519,21,44,1,1,9,ahm0t06rup1bkd9z0mxl2lmph,0,50.8,43,2023-04-15T14:02:25.471Z,2023-04-18T05:32:54Z,4190280469,233,13,4190280239,56,Center,4190280473,286,,,,,,,,,,,,,,,,,4z5onwcaou5pjcz3kxncn8wl,J. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630571,14,1,1,1,9,69t8imcdaqlgfbds2p58596my,0,45.7,56.1,2023-04-15T14:02:25.482Z,2023-04-18T11:53:31Z,4190280515,141,32.2,4190280513,140,69.6,4190280509,3,,4190280511,56,Center,4199500011,388,,4190280517,212,29.9,4190280519,213,5.7,,,,do0vklx8voqfr05b3j04ilex,G. Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630851,22,1,1,1,12,ahm0t06rup1bkd9z0mxl2lmph,1,20.6,71.1,2023-04-15T14:02:28.584Z,2023-04-18T05:33:17Z,4190281869,212,14.0,4190281853,56,Back,4199500123,178,,4190281849,3,,4190281873,213,3.7,4190281863,141,60.2,4190281857,140,9.3,,,,987r1vdgx95x30elzrisjrzs9,C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630875,23,52,1,1,14,ahm0t06rup1bkd9z0mxl2lmph,1,9.3,60.2,2023-04-15T14:02:30.631Z,2023-04-18T05:33:30Z,4199500223,178,,4198490323,377,,,,,,,,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533630949,24,80,1,1,20,ahm0t06rup1bkd9z0mxl2lmph,0,14.5,57.9,2023-04-15T14:02:36.520Z,2023-04-18T05:33:36Z,4199500293,178,,,,,,,,,,,,,,,,,,,,,,,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533631491,25,1,1,1,22,ahm0t06rup1bkd9z0mxl2lmph,0,20.1,56.4,2023-04-15T14:02:38.903Z,2023-04-18T05:33:43Z,4190285067,140,76.8,4190285079,1,,4190285069,141,56.6,4199500351,178,,4190285063,155,,4190285065,56,Center,4190285073,212,59.5,4190285075,213,0.0,3oyhjrd1ohnwf1x3d65997xzp,S. Eastwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533631503,26,4,1,1,27,ahm0t06rup1bkd9z0mxl2lmph,1,80.6,62.1,2023-04-15T14:02:44.178Z,2023-04-18T05:33:54Z,4190285139,286,,4190285137,152,,4190285131,13,,4190285161,233,15,4190285135,56,Center,4190285133,295,,,,,,,,33ci88veciqvd4w5y145dyooa,K. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
