id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2517503637,979,1,1,1,38,5g1fnexeromjl0lvnxp8hpnhi,0,53.2,16.1,2023-03-07T20:01:48.085Z,2023-03-10T12:57:04Z,4083908933,56,Right,4083908931,3,,4083908937,141,17.3,4083908935,140,52.0,4085123693,388,,4083908941,213,2.6,4083908939,212,1.5,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979199,21,61,1,1,38,3ptd7zlc5isrongig0wij2id4,1,46.3,85.3,2023-03-07T20:01:48.149Z,2023-03-10T10:17:28Z,4081164619,56,Back,4085123881,21,,4085123883,388,,,,,,,,,,,,,,,,,f2d0i9t2qeyppfqrdv6xzc3px,D. McGoldrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979181,18,43,1,1,39,5g1fnexeromjl0lvnxp8hpnhi,1,0,0,2023-03-07T20:01:48.901Z,2023-03-07T20:50:31Z,4081164541,140,53.2,4081164555,213,3.1,4081327701,144,1,4081164535,56,Right,4081164529,3,0,4081164545,141,16.5,4081164549,212,6.1,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979201,19,1,1,1,40,5g1fnexeromjl0lvnxp8hpnhi,0,38,19.8,2023-03-07T20:01:49.173Z,2023-03-10T13:08:13Z,4081164649,212,30.4,4081340377,155,,4081164645,140,66.7,4081164651,213,6.2,4081164647,141,14.3,4081164643,56,Right,4085124333,178,,,,,oe0lbxtc4qftnd886dzfm385,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979221,22,1,1,1,41,3ptd7zlc5isrongig0wij2id4,0,24.2,88.3,2023-03-07T20:01:51.053Z,2023-03-10T12:55:08Z,4081164749,141,83.3,4085344457,388,,4081164745,56,Back,4081164753,213,6.0,4081164751,212,14.7,4081164747,140,37.8,4081164743,3,,,,,69lg8jmug501h6biol5itk02y,E. Cashin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979231,20,49,1,1,43,5g1fnexeromjl0lvnxp8hpnhi,1,68.5,16.4,2023-03-07T20:01:52.936Z,2023-03-10T10:18:19Z,,,,,,,,,,,,,,,,,,,,,,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979257,21,1,1,1,44,5g1fnexeromjl0lvnxp8hpnhi,0,71.2,17,2023-03-07T20:01:53.857Z,2023-03-10T10:18:23Z,4081164969,213,6.1,4085125807,178,,4081164959,155,,4081164965,141,12.2,4081164967,212,23.0,4081164961,56,Right,4081164963,140,92.9,,,,2q6bsyszm27v5uvs30j5ty311,J. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979275,23,49,1,1,47,3ptd7zlc5isrongig0wij2id4,1,13,90,2023-03-07T20:01:57.008Z,2023-03-10T10:18:28Z,,,,,,,,,,,,,,,,,,,,,,,,,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979283,24,1,1,1,47,3ptd7zlc5isrongig0wij2id4,0,12.9,92.3,2023-03-07T20:01:57.063Z,2023-03-10T10:18:32Z,4081165079,157,,4081165083,140,36.2,4081165091,1,,4081165081,56,Back,4081165087,212,24.5,4085126203,178,,4081165085,141,93.3,4081165089,213,0.0,h4x8lz5ou8esdao80mvls9yi,H. Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979297,22,1,1,1,49,5g1fnexeromjl0lvnxp8hpnhi,0,57.3,15.5,2023-03-07T20:01:58.670Z,2023-03-10T10:19:07Z,4081165177,212,17.1,4081165173,140,72.1,4081165171,56,Center,4085127453,178,,4081165179,213,0.4,4081165175,141,26.0,4081165169,3,,,,,oe0lbxtc4qftnd886dzfm385,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516979325,25,1,1,1,51,3ptd7zlc5isrongig0wij2id4,0,21.8,62.9,2023-03-07T20:02:00.739Z,2023-03-10T10:19:16Z,4081165355,213,0.5,4081165353,212,10.2,4081165345,3,,4081165351,141,69.6,4085127755,178,,4081165349,140,30.5,4081165347,56,Back,,,,ebsspe8jslej9a253w4xpf55h,C. Forsyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
