id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/16/value,qualifier/13/value,qualifier/12/value,qualifier/15/value,assist
2504900279,19,1,1,1,11,5pfqedkme2kabtqhkln35pf3l,1,21.5,68,2023-02-06T15:24:09.807Z,2023-02-07T06:48:43Z,4017382765,141,96.2,4017382761,56,Back,4017382767,212,21.5,4018386049,178,,4017382763,140,30.8,4017382769,213,1.1,,,,,,,6wax1hh875vpvfi1fbetwmtey,J. Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900293,20,1,1,1,14,5pfqedkme2kabtqhkln35pf3l,1,37.5,98.1,2023-02-06T15:24:12.979Z,2023-02-07T06:48:48Z,4017382897,141,96.0,4017382893,56,Left,4018386163,178,,4017382899,212,20.9,4017382895,140,57.4,4017382901,213,6.2,,,,,,,f0sa0skucdf742t06hsmi8ne2,L. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900295,21,3,1,1,16,5pfqedkme2kabtqhkln35pf3l,0,52,93,2023-02-06T15:24:14.816Z,2023-02-07T06:49:00Z,4017917181,233,17,4017382909,56,Left,4017614327,464,,4017382911,286,,4018386289,178,,,,,,,,,,,9s6ec1a12gozqwjlsyo7y8gr9,S. Sinclair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900299,17,7,1,1,16,8w89tsles26jm12aoelwvlttt,1,48,7,2023-02-06T15:24:14.974Z,2023-02-07T06:49:23Z,4017382937,285,,4018386539,178,,4017382935,56,Back,4017382967,233,21,4017614411,384,,,,,,,,,,,am8ws7w5mpzvbnb8bvvztbpwp,J. Leko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900305,18,49,1,1,18,8w89tsles26jm12aoelwvlttt,1,52.8,28.3,2023-02-06T15:24:16.982Z,2023-02-07T06:49:28Z,,,,,,,,,,,,,,,,,,,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900317,19,3,1,1,18,8w89tsles26jm12aoelwvlttt,1,55.6,22.5,2023-02-06T15:24:17.245Z,2023-02-07T06:49:33Z,4018386633,178,,4017383491,233,22,4017383027,56,Center,4017614635,465,,4017383029,286,,,,,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900325,22,45,1,1,18,5pfqedkme2kabtqhkln35pf3l,0,44.4,77.5,2023-02-06T15:24:17.245Z,2023-02-07T06:49:33Z,4017383499,233,19,4017383485,285,,4017383063,56,Back,,,,,,,,,,,,,,,,fjnzx6b57qsj6o7hdm6r0mhh,P. Coutts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900341,20,1,1,1,21,8w89tsles26jm12aoelwvlttt,1,59.9,32.5,2023-02-06T15:24:19.619Z,2023-02-07T06:49:39Z,4017383167,141,21.0,4017383173,213,6.0,4018386719,178,,4017383165,140,81.6,4017383161,56,Right,4017383171,212,24.1,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900371,21,1,1,1,24,8w89tsles26jm12aoelwvlttt,1,89,22.2,2023-02-06T15:24:22.903Z,2023-02-07T06:49:46Z,4017383371,141,51.3,4017383375,213,1.6,4018386777,178,,4017383367,56,Center,4017383373,212,19.8,4017383369,140,88.2,,,,,,,bhtwzoyaqug2p0ezr7c6wxuui,D. Devoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504900373,22,4,1,1,26,8w89tsles26jm12aoelwvlttt,1,88.3,47.2,2023-02-06T15:24:24.522Z,2023-02-07T06:49:53Z,4017383395,233,23,4017383391,286,,4017383381,9,,4017383385,56,Center,4017383549,348,2uids8ea8jv4r62psqj37x3e2,4017383389,265,,4017383383,13,,4017383387,152,,2uids8ea8jv4r62psqj37x3e2,M. Eisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
