id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2511981447,16,1,1,1,34,dv9l02o316cd9hbkxaho2u12f,1,14.9,45.7,2023-02-25T15:02:48.287Z,2023-02-28T02:07:25Z,4054693549,141,22.7,4054693555,213,5.4,4054693551,212,19.7,4054693541,56,Back,4054693545,140,26.3,4062768113,178,,,,,,,,8hiqkrsoskyhhoc0n0wp7lql1,G. Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981537,17,1,1,1,37,dv9l02o316cd9hbkxaho2u12f,1,26.3,22.7,2023-02-25T15:02:50.912Z,2023-02-28T02:07:28Z,4054694027,212,10.1,4054694023,140,23.6,4054694029,213,1.9,4062768159,178,,4054694021,56,Back,4054694025,141,36.9,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981727,18,1,1,1,40,dv9l02o316cd9hbkxaho2u12f,1,23.6,36.9,2023-02-25T15:02:53.714Z,2023-02-28T02:07:30Z,4054694945,56,Back,4062768183,178,,4054694957,212,20.2,4054694949,140,27.4,4054694959,213,1.4,4054694953,141,66.0,,,,,,,35f2se8cf2zmpxl45zulorpat,W. Aimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981827,19,1,1,1,44,dv9l02o316cd9hbkxaho2u12f,1,27.2,71.4,2023-02-25T15:02:58.080Z,2023-02-28T02:07:32Z,4054695439,141,42.2,4062768201,178,,4054695435,140,23.3,4054695431,56,Back,4054695445,213,4.5,4054695441,212,20.3,,,,,,,eg2xijdgtcaa44x57pjezy3ft,A. Hartridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511981927,20,1,1,1,47,dv9l02o316cd9hbkxaho2u12f,1,23.3,42.2,2023-02-25T15:03:00.585Z,2023-02-28T02:07:35Z,4054695927,140,34.7,4054695929,141,15.0,4054695931,212,22.0,4054695925,56,Back,4054695933,213,5.3,4062768229,178,,,,,,,,35f2se8cf2zmpxl45zulorpat,W. Aimson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982039,21,1,1,1,49,dv9l02o316cd9hbkxaho2u12f,1,33.7,13.5,2023-02-25T15:03:03.161Z,2023-02-28T02:07:37Z,4054696389,141,5.0,4054696383,140,51.3,4054696391,212,19.4,4054696393,213,6.0,4062768277,178,,4054696379,56,Right,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982127,22,1,1,1,51,dv9l02o316cd9hbkxaho2u12f,1,46.8,5.3,2023-02-25T15:03:05.295Z,2023-02-28T02:07:40Z,4054696783,140,38.5,4062768309,178,,4054696789,213,3.1,4054696787,212,8.7,4054696785,141,5.3,4054696779,56,Back,,,,,,,56zd7s72x7izgeiybmmgc8acq,J. Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982213,23,1,1,1,53,dv9l02o316cd9hbkxaho2u12f,0,38.5,5.3,2023-02-25T15:03:06.515Z,2023-02-28T02:07:43Z,4062768341,178,,4054697199,155,,4054697209,141,6.4,4054697203,56,Right,4054697213,212,31.5,4054697217,213,0.0,4054697207,140,68.5,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982325,16,1,1,1,55,dmz37633qbsvl7gncq5s51yjw,0,29.6,92.6,2023-02-25T15:03:08.871Z,2023-02-28T02:08:07Z,4054697693,140,45.0,4054697699,141,100.0,4054697715,213,0.4,4054697689,3,,4054697703,212,17.2,4054697691,56,Back,4062768663,388,,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982361,17,5,1,1,57,dmz37633qbsvl7gncq5s51yjw,0,42.4,101.6,2023-02-25T15:03:11.440Z,2023-02-28T02:08:31Z,4054697863,347,,4054700173,233,24,4054697857,56,Back,,,,,,,,,,,,,,,,9c3iyi7y3hdraso115kxmd87p,L. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982819,24,5,1,1,57,dv9l02o316cd9hbkxaho2u12f,1,57.6,-1.6,2023-02-25T15:03:11.440Z,2023-02-28T02:08:31Z,4054700075,56,Right,4054700139,233,17,4054700077,347,,,,,,,,,,,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982867,25,1,1,2,8,dv9l02o316cd9hbkxaho2u12f,1,56.5,0,2023-02-25T15:03:22.397Z,2023-02-28T02:08:45Z,4054700321,212,9.5,4054700325,213,1.9,4054700311,107,,4054700315,140,53.6,4054700313,56,Right,4054700317,141,11.3,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982977,26,1,1,2,9,dv9l02o316cd9hbkxaho2u12f,1,53.6,11.3,2023-02-25T15:03:23.234Z,2023-02-28T02:08:49Z,4054700865,212,9.1,4054700861,140,61.5,4054700859,56,Right,4062769037,178,,4054700869,213,5.9,4054700863,141,5.8,,,,,,,enfxh6b65c9hx1rs0scszi2y2,H. Kite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511982991,27,50,1,2,12,dv9l02o316cd9hbkxaho2u12f,1,67.2,6,2023-02-25T15:03:26.031Z,2023-02-28T02:08:56Z,4054701459,233,18,4054700899,286,,4054700897,56,Right,,,,,,,,,,,,,,,,4qg1mpymeaajx8gu7jycw5wph,P. Sweeney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983059,18,7,1,2,12,dmz37633qbsvl7gncq5s51yjw,1,32.8,94,2023-02-25T15:03:26.183Z,2023-02-28T02:09:02Z,4054701355,233,27,4061356065,383,,4062769165,178,,4054701245,56,Back,4054701247,285,,,,,,,,,,,7b7ca1dklnp7reqcs5s4aauei,J. Lankester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983065,19,49,1,2,13,dmz37633qbsvl7gncq5s51yjw,1,33.4,89.9,2023-02-25T15:03:27.136Z,2023-02-28T02:09:15Z,,,,,,,,,,,,,,,,,,,,,,,,,e3ff2af2lxs0rl8c4r5ns4wd1,P. Digby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983117,20,1,1,2,14,dmz37633qbsvl7gncq5s51yjw,1,33.4,89.9,2023-02-25T15:03:28.013Z,2023-02-28T02:09:18Z,4054701535,212,21.1,4054701531,140,52.1,4054701529,56,Center,4062769253,178,,4054701537,213,5.9,4054701533,141,78.7,,,,,,,e3ff2af2lxs0rl8c4r5ns4wd1,P. Digby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983195,21,1,1,2,15,dmz37633qbsvl7gncq5s51yjw,1,52.1,78.7,2023-02-25T15:03:29.006Z,2023-02-28T02:09:29Z,4054701917,56,Back,4054701929,212,18.0,4054701931,213,2.6,4062769329,178,,4054701921,140,37.4,4054701925,141,92.3,4061356347,156,,,,,aral6zvx8qxkfqkqwb7ldfk5x,J. Ironside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511983281,22,1,1,2,16,dmz37633qbsvl7gncq5s51yjw,1,37.4,92.3,2023-02-25T15:03:30.035Z,2023-02-28T02:09:36Z,4054702317,212,18.5,4054702309,56,Left,4054702315,141,86.5,4054702311,140,54.6,4054702321,213,6.1,4062769373,178,,,,,,,,2oqi7v6d676hbe9i9agdl9ckp,J. Brophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
