id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/18/value
2485287715,11,1,1,2,4,b496gs285it6bheuikox6z9mj,1,32.9,87.5,2022-11-13T14:03:55.760Z,2022-11-13T19:53:07Z,3914048927,141,65.5,3914048931,213,4.1,3914048929,212,17.9,3914048925,140,23.6,3915506943,178,,3914048923,56,Back,,,,,,,e8gz0tmmdh1ql8qrn1ncrvnpx,L. Digne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287771,12,1,1,2,8,b496gs285it6bheuikox6z9mj,1,23.7,64.5,2022-11-13T14:03:59.345Z,2022-11-13T19:53:09Z,3914049261,141,27.0,3914049253,56,Back,3915507037,178,,3914049255,140,21.1,3914049265,212,25.6,3914049269,213,4.6,,,,,,,2smmv9hdoiet7necaf00ol51x,T. Mings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287819,13,1,1,2,11,b496gs285it6bheuikox6z9mj,1,21.2,22.7,2022-11-13T14:04:02.549Z,2022-11-13T19:53:14Z,3915507175,178,,3914049519,212,12.2,3914049515,140,32.7,3914049517,141,20.0,3914049521,213,6.1,3914049513,56,Back,,,,,,,8qys6qtdwgsycxducl062zld5,E. Konsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287833,14,1,1,2,12,b496gs285it6bheuikox6z9mj,1,32.5,20,2022-11-13T14:04:03.736Z,2022-11-13T19:53:19Z,3914049595,213,3.9,3915507295,178,,3914049593,212,14.2,3914049587,56,Back,3914049591,141,6.4,3914049589,140,22.3,,,,,,,blth4klpu88kgh73abpjlgusp,B. Kamara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287875,15,1,1,2,14,b496gs285it6bheuikox6z9mj,1,22.3,6.4,2022-11-13T14:04:05.699Z,2022-11-13T19:53:24Z,3914049821,141,16.4,3914049823,212,13.5,3914049817,56,Back,3914049819,140,11.2,3915507587,178,,3914049825,213,2.6,,,,,,,1e9txzr9hqz94xtun6byo0vs9,M. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287899,16,1,1,2,15,b496gs285it6bheuikox6z9mj,1,11.4,16.2,2022-11-13T14:04:06.630Z,2022-11-13T19:53:28Z,3914050017,213,0.0,3915507805,178,,3914050019,1,,3914050015,212,38.5,3914050007,155,,3914050009,56,Back,3914050011,140,48.0,3914050013,141,18.2,8qys6qtdwgsycxducl062zld5,E. Konsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287929,17,1,1,2,18,b496gs285it6bheuikox6z9mj,1,47.7,18.8,2022-11-13T14:04:09.407Z,2022-11-13T19:53:34Z,3915507963,388,,3914050115,3,,3914050117,56,Back,3914050125,141,29.5,3914050129,213,2.0,3914050127,212,8.2,3914050121,140,44.2,,,,ashza2qkgnak7wb3vuz5bnzyt,D. Ings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485287985,18,1,1,2,19,b496gs285it6bheuikox6z9mj,1,44.3,29.2,2022-11-13T14:04:10.631Z,2022-11-13T19:53:37Z,3914050431,140,39.8,3914050429,56,Back,3914050443,213,3.9,3914050439,212,6.4,3915508023,388,,3914050435,141,22.8,,,,,,,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485628347,1714,83,1,2,21,e5p0ehyguld7egzhiedpdnc3w,1,60.4,77.3,2022-11-13T14:04:12.630Z,2022-11-13T22:28:49Z,3915909313,399,122806,,,,,,,,,,,,,,,,,,,,,,3uc9z96xvain84leorf4ls962,M. Caicedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485288037,19,1,1,2,24,b496gs285it6bheuikox6z9mj,1,38.9,38,2022-11-13T14:04:15Z,2022-11-13T19:53:41Z,3914050655,141,61.5,3914050659,213,2.2,3914050657,212,19.5,3915508133,178,,3914050653,140,28.3,3914050651,56,Back,,,,,,,btvuam6p4391am219taqtcted,J.  McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
