id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2484856313,16,1,1,2,30,9q0arba2kbnywth8bkxlhgmdr,1,13.4,90.1,2022-11-12T17:34:31.329Z,2022-11-13T01:55:26Z,3912906431,178,,3911811279,141,96.0,3911811283,213,0.4,3911811281,212,11.3,3911811277,140,23.5,3911811275,56,Back,,,,,,,8i46yzejeiwdmz0tywmy42o2y,L. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484858415,41,1,1,2,31,9q0arba2kbnywth8bkxlhgmdr,0,26.6,96.5,2022-11-12T17:34:31.967Z,2022-11-13T01:55:41Z,3911821093,56,Back,3911821097,141,87.9,3912906677,178,,3911821101,213,5.9,3911821095,140,39.8,3911821099,212,15.0,,,,,,,8nh6qf9i1d0qw7nx4wk25qzth,M. Mount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856319,16,8,1,2,33,7vn2i2kd35zuetw6b38gw9jsz,1,67,8.7,2022-11-12T17:34:33.809Z,2022-11-13T01:55:57Z,3912418923,383,,3911811285,56,Right,3912906873,178,,,,,,,,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856375,17,49,1,2,33,7vn2i2kd35zuetw6b38gw9jsz,1,69.4,11.8,2022-11-12T17:34:34.573Z,2022-11-13T01:56:10Z,,,,,,,,,,,,,,,,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856381,18,3,1,2,34,7vn2i2kd35zuetw6b38gw9jsz,0,70.3,13.9,2022-11-12T17:34:35.707Z,2022-11-13T01:56:19Z,3911811525,286,,3912419267,464,,3912907189,178,,3911811523,56,Right,3911811573,233,17,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856361,17,7,1,2,35,9q0arba2kbnywth8bkxlhgmdr,0,29.7,86.1,2022-11-12T17:34:35.745Z,2022-11-13T01:56:24Z,3912419553,385,,3911811423,56,Back,3911811425,285,,3912907271,178,,3911811557,233,18,,,,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856393,19,61,1,2,35,7vn2i2kd35zuetw6b38gw9jsz,1,69.4,11.8,2022-11-12T17:34:35.831Z,2022-11-13T01:56:36Z,3912907431,178,,3911811585,56,Right,,,,,,,,,,,,,,,,,,,65z99j774kjnbf7vm0u2q0jit,K. Trippier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856429,18,1,1,2,36,9q0arba2kbnywth8bkxlhgmdr,0,23.6,85.4,2022-11-12T17:34:36.745Z,2022-11-13T01:56:41Z,3911811799,213,5.6,3911811797,212,17.9,3912907499,178,,3911811793,140,36.9,3911811795,141,68.9,3911811801,1,,3911811789,157,,3911811791,56,Back,8i46yzejeiwdmz0tywmy42o2y,L. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856413,20,44,1,2,39,7vn2i2kd35zuetw6b38gw9jsz,1,61.1,36,2022-11-12T17:34:40.396Z,2022-11-13T04:59:23Z,3911811879,233,19,3911811691,56,Center,3911811693,286,,,,,,,,,,,,,,,,,4jwkz8almo2997hvp09zl0p9l,S. Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856439,19,44,1,2,39,9q0arba2kbnywth8bkxlhgmdr,0,38.9,64,2022-11-12T17:34:40.397Z,2022-11-13T01:56:45Z,3911811849,56,Back,3911811851,285,,3911811953,233,20,,,,,,,,,,,,,,,,c83h08n0vnjvfgglyefy03h0p,C. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856421,21,1,1,2,39,7vn2i2kd35zuetw6b38gw9jsz,0,60,35.7,2022-11-12T17:34:40.511Z,2022-11-13T04:59:23Z,3911811763,141,35.5,3911811759,56,Center,3911811767,213,6.2,3911811761,140,61.7,3911811765,212,1.8,3911811757,3,,3912907611,388,,,,,4jwkz8almo2997hvp09zl0p9l,S. Botman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856471,20,49,1,2,42,9q0arba2kbnywth8bkxlhgmdr,1,29.9,49.9,2022-11-12T17:34:43.124Z,2022-11-13T01:56:56Z,,,,,,,,,,,,,,,,,,,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856523,21,1,1,2,43,9q0arba2kbnywth8bkxlhgmdr,1,29.8,44.2,2022-11-12T17:34:44.136Z,2022-11-13T01:57:03Z,3911812161,141,24.5,3911812165,213,4.4,3911812159,140,25.1,3911812163,212,14.3,3912907795,388,,3911812157,56,Back,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856563,22,1,1,2,46,9q0arba2kbnywth8bkxlhgmdr,1,22.4,25.7,2022-11-12T17:34:46.952Z,2022-11-13T01:57:08Z,3912907877,178,,3911812309,213,2.2,3911812305,141,50.4,3911812301,56,Back,3911812307,212,21.0,3911812303,140,10.4,,,,,,,bvw1jgmhfyc896gfi6uj0skwl,César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856655,23,1,1,2,50,9q0arba2kbnywth8bkxlhgmdr,1,10.4,51.2,2022-11-12T17:34:51.060Z,2022-11-13T01:57:12Z,3911812745,56,Back,3912907943,178,,3911812747,140,31.7,3911812743,155,,3911812751,212,33.6,3911812755,1,,3911812749,141,88.1,3911812753,213,0.8,22s7hpp9k5ihtc2pwiaytdp05,É. Mendy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856659,24,4,1,2,55,9q0arba2kbnywth8bkxlhgmdr,1,35.3,67.2,2022-11-12T17:34:56.368Z,2022-11-13T01:57:38Z,3911812787,286,,3911812781,233,22,3911818065,295,,3911812765,152,,3911812763,56,Back,3911812759,13,,,,,,,,8i46yzejeiwdmz0tywmy42o2y,L. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484856653,22,4,1,2,55,7vn2i2kd35zuetw6b38gw9jsz,0,64.7,32.8,2022-11-12T17:34:56.369Z,2022-11-13T01:57:37Z,3912908267,178,,3911812739,285,,3911812791,233,24,3911812733,295,,3911812737,152,,3911812731,13,,3911812735,56,Center,,,,72m84nwa6dshu3ibmy13dz5rd,Bruno Guimarães,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485013409,895,1,1,3,6,9q0arba2kbnywth8bkxlhgmdr,1,29.7,73.5,2022-11-12T17:35:07.419Z,2022-11-13T01:58:08Z,3912674269,213,0.1,3912674261,56,Back,3912908595,178,,3912674265,141,74.3,3912674553,5,,3912674259,189,,3912674555,152,,3912674263,140,36.5,b1srdmp4cmwl9k768h8a2ixn9,K. Koulibaly,3912674267,212,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
