id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value
2527477461,11,1,1,1,10,4txjdaqveermfryvbfrr4taf7,1,42.6,3.1,2023-04-02T13:02:10.971Z,2023-04-02T20:13:48Z,4157566211,141,12.4,4157566207,56,Back,4157566213,212,6.8,4159487853,178,,4157566209,140,45.0,4157566215,213,1.2,,,,,,,cm0gwoyh5rdb216fx685a7l5h,T. Kehrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477525,12,1,1,1,12,4txjdaqveermfryvbfrr4taf7,0,45,12.2,2023-04-02T13:02:12.785Z,2023-04-02T20:13:53Z,4159488437,178,,4157566545,141,12.7,4157566543,140,63.4,4157566547,212,19.3,4157566541,56,Right,4157566549,213,0.0,,,,,,,6jgocc12bori2wygyu07c082x,D. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527865629,1205,67,1,1,13,d5ydtvt96bv7fq04yqm2w2632,1,39.1,84.8,2023-04-02T13:02:14.034Z,2023-04-02T20:51:01Z,4159626235,233,945,,,,,,,,,,,,,,,,,,,,,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527865615,945,67,1,1,13,4txjdaqveermfryvbfrr4taf7,0,60.9,15.2,2023-04-02T13:02:14.035Z,2023-04-02T20:49:01Z,4159626247,233,1205,,,,,,,,,,,,,,,,,,,,,,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477519,19,8,1,1,13,d5ydtvt96bv7fq04yqm2w2632,1,39.5,82.6,2023-04-02T13:02:14.044Z,2023-04-02T20:51:01Z,4157566513,56,Back,4158738551,385,,4159488763,178,,,,,,,,,,,,,,,,,6gymgqxnu2zavuxgp6amm3zkl,D. Ćaleta-Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477547,13,43,1,1,15,4txjdaqveermfryvbfrr4taf7,1,0,0,2023-04-02T13:02:15.504Z,2023-04-02T13:03:49Z,4157566667,213,2.2,4157566661,140,55.5,4157566755,233,19,4157566665,212,14.3,4157577333,144,1,4157566759,286,0,4157566663,141,29.8,4157566753,236,0,d542ijpf3j9hdrtt1mfe6vwlx,J. Bowen,4157566659,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477561,20,49,1,1,15,d5ydtvt96bv7fq04yqm2w2632,1,44.5,69.6,2023-04-02T13:02:15.553Z,2023-04-02T20:14:01Z,,,,,,,,,,,,,,,,,,,,,,,,,7r6vds5j65fohi1k28cnqjqvp,J. Ward-Prowse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477595,21,1,1,1,15,d5ydtvt96bv7fq04yqm2w2632,1,46.3,67.6,2023-04-02T13:02:16.017Z,2023-04-02T20:14:05Z,4159489181,178,,4157566953,212,7.6,4157566955,213,5.9,4157566949,140,53.0,4157566947,56,Center,4157566951,141,63.3,,,,,,,7r6vds5j65fohi1k28cnqjqvp,J. Ward-Prowse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477599,22,61,1,1,16,d5ydtvt96bv7fq04yqm2w2632,1,54.1,62.7,2023-04-02T13:02:16.953Z,2023-04-02T20:14:19Z,4159489989,178,,4157566983,56,Center,,,,,,,,,,,,,,,,,,,axnmil0bg1giwhoa31tks7ljp,S. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477629,23,61,1,1,16,d5ydtvt96bv7fq04yqm2w2632,0,60.9,59.9,2023-04-02T13:02:17.083Z,2023-04-02T20:14:36Z,4159491153,178,,4157567105,56,Center,,,,,,,,,,,,,,,,,,,2oijcg6e36mwy3ie1num5wclx,T. Walcott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
