id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2509008699,17,1,1,1,17,b496gs285it6bheuikox6z9mj,1,44.7,74.9,2023-02-18T12:31:57.944Z,2023-02-18T18:00:46Z,4041043763,178,,4039028289,140,58.9,4039028291,141,93.0,4039028295,213,0.7,4039028293,212,19.3,4039028287,56,Left,,,,,,,l0qqn9tlgov91p5d1zzdupcl,E. Buendía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008727,18,1,1,1,23,b496gs285it6bheuikox6z9mj,1,71.9,76.7,2023-02-18T12:32:04.229Z,2023-02-18T18:00:57Z,4039028391,141,58.2,4041044481,178,,4039028811,210,13,4039028389,140,65.5,4039028387,56,Center,4039028393,212,14.3,4039028395,213,4.2,,,,3vxh219sef8mooilemi8xbs9h,Philippe Coutinho,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008729,19,13,1,1,26,b496gs285it6bheuikox6z9mj,1,68.3,49.8,2023-02-18T12:32:07.011Z,2023-02-18T18:00:58Z,4039028403,18,,4039028823,103,72.2,4039028599,20,,4039028813,81,,4041044985,178,,4039028827,230,99.0,4039028405,56,Center,4039028825,215,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,4039028815,29,4039028829,231,50,4039028821,102,37.1,4039028817,55,18,4039028401,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008737,19,5,1,1,28,4dsgumo7d4zupm2ugsvm4zm4d,1,-1.4,60.6,2023-02-18T12:32:08.833Z,2023-02-18T18:00:59Z,4039028449,56,Back,4039028451,346,,4039028469,233,20,,,,,,,,,,,,,,,,6yovfcug6e9hykfauqy0fq67d,A. Ramsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008739,20,5,1,1,28,b496gs285it6bheuikox6z9mj,0,101.4,39.4,2023-02-18T12:32:08.833Z,2023-02-18T18:00:59Z,4039028453,56,Center,4039028487,233,19,4039028455,346,,,,,,,,,,,,,,,,,7j84ozqdpgupzxevbxemi5tyh,Douglas Luiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008833,20,1,1,1,40,4dsgumo7d4zupm2ugsvm4zm4d,1,3,56.1,2023-02-18T12:32:21.100Z,2023-02-18T18:01:04Z,4039028843,124,,4039028851,212,9.7,4039028859,189,,4039028847,140,11.0,4039028845,56,Back,4039028849,141,63.1,4039028853,213,0.5,4039028857,237,,6yovfcug6e9hykfauqy0fq67d,A. Ramsdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008849,21,1,1,1,44,4dsgumo7d4zupm2ugsvm4zm4d,1,10.5,56.6,2023-02-18T12:32:24.946Z,2023-02-18T18:01:08Z,4039028931,56,Back,4039028941,213,5.4,4039028933,140,15.1,4041045655,178,,4039028935,141,48.7,4039028937,212,7.2,,,,,,,3l7amac6wdv9yztupg7ur3kl,O. Zinchenko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008859,22,1,1,1,45,4dsgumo7d4zupm2ugsvm4zm4d,1,15.1,48.7,2023-02-18T12:32:25.897Z,2023-02-18T18:01:10Z,4039028981,140,8.0,4039028985,212,16.0,4039028987,213,4.2,4039028979,56,Back,4041046041,178,,4039028983,141,27.8,,,,,,,9id859f7xnqwj0jazjzkbjzdh,Jorginho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008877,23,1,1,1,47,4dsgumo7d4zupm2ugsvm4zm4d,1,8.2,27.8,2023-02-18T12:32:28.097Z,2023-02-18T18:01:13Z,4039029059,212,8.9,4039029055,140,11.9,4039029061,213,5.2,4039029057,141,16.1,4039029053,56,Back,4041046285,178,,,,,,,,65rqu55qbzswixgqw2efna06i,W. Saliba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509008891,24,1,1,1,49,4dsgumo7d4zupm2ugsvm4zm4d,1,11.7,16.1,2023-02-18T12:32:29.443Z,2023-02-18T18:01:20Z,4039029109,212,15.7,4041046769,178,,4039029107,141,29.8,4039029111,213,0.6,4039029105,140,23.7,4039029103,56,Back,,,,,,,cnmlhoum9aahwqruxgmz2gcfd,B. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
