id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2512103487,11,1,1,1,19,121le8unjfzug3iu9pgkqa1c7,0,36.1,0,2023-02-25T16:01:25.694Z,2023-02-26T00:28:34Z,4055329875,56,Back,4055330553,107,,4055329877,140,35.2,4055329879,141,8.0,4055329881,212,6.7,4055329883,213,1.7,,,,,,,e9mtpmkb4qj2gqyv966g9ulpm,S. Diomandé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103455,20,61,1,1,19,75qj99fhg5c0ztj2tva5u4uii,1,61.8,87.9,2023-02-25T16:01:26.511Z,2023-02-26T00:28:33Z,4055329725,56,Left,4057056877,178,,4057056875,21,,,,,,,,,,,,,,,,,310zaj8t3k4c8aj54ml0n0kx5,H. Abdelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103523,12,61,1,1,19,121le8unjfzug3iu9pgkqa1c7,1,36,13.4,2023-02-25T16:01:26.555Z,2023-02-26T00:28:33Z,4057057675,15,,4057057677,388,,4055330049,56,Back,,,,,,,,,,,,,,,,79dz7zni5fcgh5e70spoj2j8p,M. Caqueret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103531,13,5,1,1,21,121le8unjfzug3iu9pgkqa1c7,0,30,-1.5,2023-02-25T16:01:27.966Z,2023-02-25T21:34:26Z,4055330085,56,Back,4055330149,233,21,4055330087,347,,,,,,,,,,,,,,,,,79dz7zni5fcgh5e70spoj2j8p,M. Caqueret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103527,21,5,1,1,21,75qj99fhg5c0ztj2tva5u4uii,1,70,101.5,2023-02-25T16:01:27.966Z,2023-02-25T21:34:27Z,4055330063,347,,4055330127,233,13,4055330061,56,Left,,,,,,,,,,,,,,,,310zaj8t3k4c8aj54ml0n0kx5,H. Abdelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103753,22,1,1,1,41,75qj99fhg5c0ztj2tva5u4uii,0,71.2,100,2023-02-25T16:01:48.014Z,2023-02-26T00:28:32Z,4055331215,140,91.7,4055331223,1,,4055331211,107,,4055331219,212,27.8,4055331221,213,5.6,4055331213,56,Center,4055331217,141,75.3,,,,8j04w1662nucmmi276lrokmvp,F. Ghoulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103779,15,1,1,1,43,121le8unjfzug3iu9pgkqa1c7,0,12.9,21.6,2023-02-25T16:01:49.901Z,2023-02-26T00:28:32Z,4055331361,56,Back,4055331369,213,6.1,4055331363,140,29.7,4055331367,212,17.9,4055331365,141,16.9,4057058727,178,,4055331359,3,,,,,z2richg7upw6hth0dzrvm02d,D. Lovren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103815,23,1,1,1,45,75qj99fhg5c0ztj2tva5u4uii,0,73.8,75.8,2023-02-25T16:01:51.845Z,2023-02-26T00:28:31Z,4057059097,178,,4055331509,3,,4055331521,212,11.1,4055331513,56,Left,4055331519,141,92.0,4055331523,213,1.7,4055331515,140,72.5,,,,6ynchgp6o4tajwvnfdnoo11at,N. Bentaleb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103849,17,8,1,1,46,121le8unjfzug3iu9pgkqa1c7,1,27.6,12.5,2023-02-25T16:01:53.225Z,2023-02-26T00:28:31Z,4055331717,56,Back,4057059819,178,,4056434483,383,,,,,,,,,,,,,,,,,a71n80h977h7fu99ftnri5zsa,B. Barcola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512103843,16,43,1,1,47,121le8unjfzug3iu9pgkqa1c7,1,0,0,2023-02-25T16:01:54.003Z,2023-02-25T18:52:22Z,4055331683,56,Back,4056435743,144,3,4055331685,285,0,,,,,,,,,,,,,,,,a71n80h977h7fu99ftnri5zsa,B. Barcola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
