id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/13/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2448505073,15,68,1,1,21,4t4hod56fsj7utpjdor8so5q6,1,0,0,2022-08-20T15:01:37.295Z,2022-08-20T21:35:13Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505109,16,1,1,1,22,4t4hod56fsj7utpjdor8so5q6,1,77.1,95.1,2022-08-20T15:01:37.814Z,2022-08-21T00:13:55Z,3719050143,212,16.4,3719050137,56,Left,3719050139,140,62.0,3719050141,141,89.0,3720940463,178,,3719050145,213,3.4,3719570625,189,,,,,csvqjyuk06gzvjm408513nydx,T. Minamino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448603805,357,1,1,1,24,4t4hod56fsj7utpjdor8so5q6,1,66.4,98.7,2022-08-20T15:01:39.591Z,2022-08-21T00:13:55Z,3720940505,178,,3719570559,140,45.3,3719570563,212,28.1,3719570565,213,3.8,3719570557,56,Back,3719570631,189,,3719570561,141,73.4,,,,1o7se1aziz6fpes5hey7yijft,Caio Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505127,17,1,1,1,25,4t4hod56fsj7utpjdor8so5q6,1,49,79.9,2022-08-20T15:01:40.786Z,2022-08-21T00:13:55Z,3719050193,141,45.0,3719050197,213,4.3,3719050191,140,38.7,3719050189,56,Back,3720940689,178,,3719050195,212,26.1,,,,,,,5g5wwp5luxo1rz1kp6chvz0x6,B. Badiashile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505145,18,1,1,1,28,4t4hod56fsj7utpjdor8so5q6,1,40.4,47.4,2022-08-20T15:01:43.959Z,2022-08-21T00:13:54Z,3719050311,213,4.8,3719050307,141,17.8,3720940823,178,,3719050305,140,42.0,3719050301,56,Back,3719050309,212,20.2,,,,,,,3djmsd2atvq16ysmocq7twsfd,A. Disasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505195,19,1,1,1,30,4t4hod56fsj7utpjdor8so5q6,1,45.5,23.2,2022-08-20T15:01:46.151Z,2022-08-21T00:13:53Z,3719050547,140,64.7,3719050551,212,20.2,3719050543,155,,3719050545,56,Center,3719050553,213,6.3,3719050549,141,22.8,3720941003,178,,,,,adb8skc3qbvgunhzd9651lij8,Vanderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505207,20,3,1,1,33,4t4hod56fsj7utpjdor8so5q6,0,74.9,27.3,2022-08-20T15:01:48.750Z,2022-08-21T00:13:53Z,3720941389,178,,3720038707,465,,3719050591,286,,3719050607,211,,3719050589,56,Center,,,,,,,,,,dkve6gf309h5tglwawqx8mlzp,B. Embolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505225,15,61,1,1,34,3xedluek08t2ka7oypwuullcn,0,17.5,71.9,2022-08-20T15:01:49.940Z,2022-08-21T00:13:52Z,3719050645,56,Back,3720941573,178,,,,,,,,,,,,,,,,,,,,4ezld812zytvbokz97jwycgkp,K. Danso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505259,16,45,1,1,36,3xedluek08t2ka7oypwuullcn,0,16.5,69.2,2022-08-20T15:01:51.629Z,2022-08-21T00:13:52Z,3719050747,285,,3719050745,56,Back,3719050787,233,21,,,,,,,,,,,,,,,,br7zigajqee6fms35zhm1sb8p,F. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505265,21,3,1,1,36,4t4hod56fsj7utpjdor8so5q6,1,83.5,30.8,2022-08-20T15:01:51.629Z,2022-08-21T00:13:51Z,3720941765,178,,3719050775,286,,3719050773,56,Center,3719050777,233,16,3720038957,464,,,,,,,,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505307,22,1,1,1,37,4t4hod56fsj7utpjdor8so5q6,1,86.6,20,2022-08-20T15:01:52.852Z,2022-08-21T01:40:46Z,3719050991,141,13.2,3719050989,140,76.0,3719050995,213,3.5,3720941923,178,,3719050987,56,Right,3719050993,212,12.1,,,,,,,a2s2c6anax9wnlsw1s6vunl5h,W. Ben Yedder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505315,23,3,1,1,38,4t4hod56fsj7utpjdor8so5q6,0,80.9,17.1,2022-08-20T15:01:53.896Z,2022-08-21T00:13:51Z,3720942135,178,,3719051037,211,,3719051027,56,Right,3719051029,286,,3720040093,464,,,,,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448883277,1487,67,1,1,40,3xedluek08t2ka7oypwuullcn,1,25.5,77.7,2022-08-20T15:01:55.606Z,2022-08-21T00:13:51Z,3721114161,233,1356,,,,,,,,,,,,,,,,,,,,,,bzmxjsk1tr4p2n7hwakvfomei,David Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448883271,1356,67,1,1,40,4t4hod56fsj7utpjdor8so5q6,0,74.5,22.3,2022-08-20T15:01:55.607Z,2022-08-21T00:13:50Z,3721114187,233,1487,,,,,,,,,,,,,,,,,,,,,,f5j3vhj805xtkos7l538u0d7t,K. Diatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448505343,17,1,1,1,40,3xedluek08t2ka7oypwuullcn,1,25.9,76,2022-08-20T15:01:55.656Z,2022-08-21T00:13:50Z,3719051171,213,3.5,3719051165,140,24.0,3719051169,212,2.1,3720942363,178,,3719051167,141,75.0,3719051163,56,Back,,,,,,,bzmxjsk1tr4p2n7hwakvfomei,David Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
