id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2479457157,16,1,1,0,49,17o35s8assv3kamxowzz77k4r,0,51.1,52.3,2022-10-30T14:01:01.675Z,2022-10-31T07:12:55Z,3883575653,141,52.5,3885931689,388,,3883575655,212,12.5,3883575657,213,0.0,3883575651,140,63.0,3883575643,3,,3883575647,56,Center,,,,aflbpdgjm6huba3f9t848d4o9,Y. Magnin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457191,12,49,1,0,51,750ustvk4jfqmo8q4gnrcxy7z,1,38.7,47.6,2022-10-30T14:01:03.190Z,2022-10-31T07:12:54Z,,,,,,,,,,,,,,,,,,,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457211,13,1,1,0,51,750ustvk4jfqmo8q4gnrcxy7z,1,38.9,47.7,2022-10-30T14:01:03.238Z,2022-10-31T07:12:54Z,3883575873,212,13.2,3883575867,56,Back,3885931771,178,,3883575875,213,0.6,3883575869,140,49.2,3883575871,141,58.8,,,,,,,crjrpkb5p430hludk5acmhjv9,Andrei Girotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457221,14,1,1,0,52,750ustvk4jfqmo8q4gnrcxy7z,1,48.3,54.6,2022-10-30T14:01:04.463Z,2022-10-31T07:12:53Z,3883575925,213,2.8,3885931871,178,,3883575919,140,45.2,3883575923,212,3.4,3883575917,56,Back,3883575921,141,56.1,,,,,,,cg1j982govx2perwr3rv33t1x,S. Moutoussamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479894397,906,83,1,0,53,17o35s8assv3kamxowzz77k4r,1,56.3,43.5,2022-10-30T14:01:05.618Z,2022-10-31T07:12:53Z,3885954365,399,174254,,,,,,,,,,,,,,,,,,,,,,4elohf5kyq6i1jmywfuzhh2ol,S. Khaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457311,15,1,1,0,53,750ustvk4jfqmo8q4gnrcxy7z,1,43.7,56.5,2022-10-30T14:01:05.622Z,2022-10-31T07:12:52Z,3883576343,56,Back,3883576345,140,33.5,3883576353,212,20.2,3883576349,141,81.7,3885931921,178,,3883576357,213,2.1,,,,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457351,16,1,1,0,56,750ustvk4jfqmo8q4gnrcxy7z,1,36.6,82.8,2022-10-30T14:01:08.229Z,2022-10-31T07:12:52Z,3883576569,56,Left,3883576571,140,58.7,3883576577,213,6.3,3885931961,178,,3883576575,212,23.2,3883576573,141,82.0,,,,,,,4a7x84pflda40oka94y36gwk,Q. Merlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457369,17,1,1,0,57,750ustvk4jfqmo8q4gnrcxy7z,1,57.8,77.6,2022-10-30T14:01:09.299Z,2022-10-31T07:12:51Z,3883576669,140,65.9,3883576671,141,95.9,3883576675,213,1.0,3883576673,212,15.1,3885932003,178,,3883576667,56,Left,,,,,,,cg1j982govx2perwr3rv33t1x,S. Moutoussamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457427,18,3,1,1,2,750ustvk4jfqmo8q4gnrcxy7z,0,73.6,94.5,2022-10-30T14:01:13.893Z,2022-10-31T07:12:49Z,3883576985,56,Left,3885932079,178,,3883576987,286,,3885278359,465,,3883577031,211,,,,,,,,,,,6tedvat245ajkir9c4035i0np,M. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479894481,910,67,1,1,3,17o35s8assv3kamxowzz77k4r,1,18.8,3.6,2022-10-30T14:01:15.110Z,2022-10-31T07:12:49Z,3885954867,233,1050,,,,,,,,,,,,,,,,,,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479894479,1050,67,1,1,3,750ustvk4jfqmo8q4gnrcxy7z,0,81.2,96.4,2022-10-30T14:01:15.111Z,2022-10-31T07:12:49Z,3885954871,233,910,,,,,,,,,,,,,,,,,,,,,,6tedvat245ajkir9c4035i0np,M. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457443,17,12,1,1,3,17o35s8assv3kamxowzz77k4r,1,18,5.2,2022-10-30T14:01:15.114Z,2022-10-31T07:12:48Z,3883577041,140,20.3,3883577105,167,,3885932119,389,,3883577039,56,Back,3883577043,141,0.0,3883577045,212,5.2,3883577047,213,5.2,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457447,18,5,1,1,4,17o35s8assv3kamxowzz77k4r,0,21.4,-1.3,2022-10-30T14:01:16.020Z,2022-10-31T03:23:28Z,3883577055,56,Back,3883578063,233,19,3883577057,347,,,,,,,,,,,,,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457657,19,5,1,1,4,750ustvk4jfqmo8q4gnrcxy7z,1,78.6,101.3,2022-10-30T14:01:16.020Z,2022-10-31T03:23:28Z,3883578039,347,,3883578037,56,Left,3883578057,233,18,,,,,,,,,,,,,,,,6tedvat245ajkir9c4035i0np,M. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457683,20,1,1,1,15,750ustvk4jfqmo8q4gnrcxy7z,1,80.4,100,2022-10-30T14:01:27.685Z,2022-10-31T07:12:48Z,3883578139,141,90.6,3883578141,212,8.4,3883578137,140,77.4,3883578135,56,Left,3883578143,213,4.3,3883578133,107,,,,,,,,4a7x84pflda40oka94y36gwk,Q. Merlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457739,21,1,1,1,17,750ustvk4jfqmo8q4gnrcxy7z,1,76.3,91.2,2022-10-30T14:01:29.422Z,2022-10-31T07:12:47Z,3883578421,140,81.3,3883578427,213,0.6,3885932281,178,,3883578423,141,96.2,3883578425,212,6.3,3883578419,56,Left,,,,,,,8zc2u2dfrokzg3domqmt30s0l,Pedro Chirivella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457749,22,3,1,1,18,750ustvk4jfqmo8q4gnrcxy7z,0,77.5,97.9,2022-10-30T14:01:30.644Z,2022-10-31T07:12:46Z,3885932329,178,,3883578481,56,Left,3885332181,233,433,3885279679,464,,3883943981,286,,,,,,,,,,,4a7x84pflda40oka94y36gwk,Q. Merlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479526089,433,7,1,1,18,17o35s8assv3kamxowzz77k4r,1,22.5,2.1,2022-10-30T14:01:30.709Z,2022-10-31T07:12:46Z,3885932375,178,,3885332163,233,22,3885279637,384,,3883943705,56,Back,3883943917,285,,,,,,,,,,,4elohf5kyq6i1jmywfuzhh2ol,S. Khaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457769,19,49,1,1,19,17o35s8assv3kamxowzz77k4r,1,19.8,8.8,2022-10-30T14:01:31.489Z,2022-10-31T07:12:45Z,,,,,,,,,,,,,,,,,,,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457781,20,1,1,1,20,17o35s8assv3kamxowzz77k4r,1,20,7.8,2022-10-30T14:01:31.927Z,2022-10-31T07:12:44Z,3883578647,140,25.3,3883578645,56,Back,3883578651,212,5.6,3883578649,141,7.6,3883578653,213,6.3,3885932469,178,,,,,,,,4obcheuxcvbu6zo3fyq3b6x91,J. Gastien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457837,21,1,1,1,21,17o35s8assv3kamxowzz77k4r,1,24.9,1.3,2022-10-30T14:01:33.602Z,2022-10-31T07:12:43Z,3883578983,141,8.6,3883578985,212,8.6,3883578979,56,Back,3883578987,213,0.6,3885932563,178,,3883578981,140,31.6,,,,,,,4elohf5kyq6i1jmywfuzhh2ol,S. Khaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
