id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/15/value,qualifier/16/value
2531049063,19,1,1,1,5,3unkqo2g6ag99gd5ynz1j7vse,0,90,95.9,2023-04-09T13:01:11.524Z,2023-04-10T01:49:21Z,4176491803,213,4.4,4176491793,141,86.1,4176491911,286,,4176491907,233,12,4176491789,140,88.2,4176491905,236,,4177999409,178,,4176491787,56,Left,57sdn53awg8fzbygrwchg6u7e,P. Yade,4176491799,212,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049073,12,74,1,1,5,17o35s8assv3kamxowzz77k4r,1,10.1,7.6,2023-04-09T13:01:11.597Z,2023-04-10T01:49:21Z,4176491835,285,,4177999593,178,,4176491927,233,19,4176491831,56,Back,,,,,,,,,,,,,bt2pm0it9f1o216uxo3abfpbd,J. Allevinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531058795,99,1,1,1,6,17o35s8assv3kamxowzz77k4r,1,18.1,11.9,2023-04-09T13:01:12.838Z,2023-04-10T01:49:21Z,4176539265,212,16.1,4176539261,140,3.5,4176539263,141,19.1,4176539259,56,Back,4178000049,178,,4176539269,213,2.8,,,,,,,8s5u921me5pvsfyvysjgpu2qy,M. Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531058523,98,49,1,1,7,17o35s8assv3kamxowzz77k4r,1,16.9,5.8,2023-04-09T13:01:13.715Z,2023-04-10T01:49:20Z,,,,,,,,,,,,,,,,,,,,,,,,,8s5u921me5pvsfyvysjgpu2qy,M. Cham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531060877,119,1,1,1,12,17o35s8assv3kamxowzz77k4r,0,14.6,14,2023-04-09T13:01:19.466Z,2023-04-10T01:49:18Z,4178000299,178,,4176549577,140,18.4,4176549585,213,6.0,4176549573,56,Back,4176549583,212,4.1,4176549581,141,12.6,,,,,,,7j0fv43b1dkuiqk71ym4mmw6i,A. Seidu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049225,20,8,1,1,13,3unkqo2g6ag99gd5ynz1j7vse,1,76.6,91.8,2023-04-09T13:01:20.208Z,2023-04-10T01:49:18Z,4176492595,56,Left,4177589691,384,,4178000593,178,,,,,,,,,,,,,,,,,57sdn53awg8fzbygrwchg6u7e,P. Yade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049249,21,49,1,1,15,3unkqo2g6ag99gd5ynz1j7vse,1,75.5,83.5,2023-04-09T13:01:21.672Z,2023-04-10T01:49:18Z,,,,,,,,,,,,,,,,,,,,,,,,,c8mp2wwwyvy930vfjnivg2hre,L. Agoumé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049289,23,1,1,1,15,3unkqo2g6ag99gd5ynz1j7vse,1,71.3,72.3,2023-04-09T13:01:22.085Z,2023-04-10T01:49:17Z,4176492857,141,73.5,4178001467,178,,4176492859,212,3.8,4176492861,213,2.9,4176492855,140,67.8,4176492853,56,Center,,,,,,,3h3g7sne1jjevj0mwyliehm95,R. Kouamé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049275,22,1,1,1,15,3unkqo2g6ag99gd5ynz1j7vse,1,74.1,81.9,2023-04-09T13:01:22.326Z,2023-04-10T01:49:17Z,4176492787,140,71.8,4176492789,141,66.5,4176492791,212,10.7,4176492783,56,Center,4176492793,213,4.5,4178001215,178,,,,,,,,c8mp2wwwyvy930vfjnivg2hre,L. Agoumé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049345,24,1,1,1,19,3unkqo2g6ag99gd5ynz1j7vse,0,61.4,76.5,2023-04-09T13:01:26.368Z,2023-04-10T01:49:16Z,4176493107,140,74.6,4178001623,178,,4176493101,155,,4176493111,212,45.9,4176493109,141,12.2,4176493105,56,Right,4176493115,1,,4176493113,213,5.0,eznhm6o1jymvzaucjlngbaad,Y. Salmier,4176493103,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049373,13,1,1,1,22,17o35s8assv3kamxowzz77k4r,0,25.4,83.3,2023-04-09T13:01:29.338Z,2023-04-10T01:49:16Z,4176493263,141,75.6,4176493255,3,,4178001949,388,,4176493267,212,5.5,4176493259,140,23.8,4176493257,56,Back,4176493269,213,4.4,,,,237j1qagaotsy5j9wo3xqfgtl,Neto Borges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049439,25,43,1,1,25,3unkqo2g6ag99gd5ynz1j7vse,1,0,0,2023-04-09T13:01:32.380Z,2023-04-09T13:01:49Z,4176493501,56,Center,4176494595,144,1,4176493507,212,6.7,4176493509,213,0.9,4176493505,141,32.0,4176493503,140,83.3,,,,,,,demp53kye0ium76t240vo8cet,Rony Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049481,27,1,1,1,27,3unkqo2g6ag99gd5ynz1j7vse,0,92.3,29.2,2023-04-09T13:01:34.476Z,2023-04-10T01:49:14Z,4176493813,286,,4176493701,140,91.2,4176493807,236,,4176493809,233,14,4178002483,178,,4176493709,212,2.7,4176493697,56,Center,4176493707,141,25.6,demp53kye0ium76t240vo8cet,Rony Lopes,4176493711,213,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049465,14,74,1,1,28,17o35s8assv3kamxowzz77k4r,1,8.9,69.6,2023-04-09T13:01:34.519Z,2023-04-10T01:49:13Z,4176493611,285,,4176493837,233,27,4176493609,56,Back,4178002835,178,,,,,,,,,,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531049493,15,6,1,1,28,17o35s8assv3kamxowzz77k4r,0,7.4,71.4,2023-04-09T13:01:35.258Z,2023-04-09T20:06:13Z,4176493765,56,Back,4176493983,233,28,4176493767,73,,,,,,,,,,,,,,,,,6euu7oztc1jkxcgef0g75cq95,M. Caufriez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
