id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,assist,qualifier/14/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2479457205,17,49,1,0,46,z1wbqtd0fz5t5eezjvrbld3h,1,74.5,89.3,2022-10-30T14:01:03.072Z,2022-10-31T04:02:29Z,,,,,,,,,,,,,,,,,,,,,,,,,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479866305,939,67,1,0,46,z1wbqtd0fz5t5eezjvrbld3h,1,74.7,88.4,2022-10-30T14:01:03.115Z,2022-10-31T04:02:28Z,3885801761,233,835,,,,,,,,,,,,,,,,,,,,,,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479866303,835,67,1,0,46,2cjpmotqo8phcqfpgo9xf4gel,0,25.3,11.6,2022-10-30T14:01:03.116Z,2022-10-31T04:02:28Z,3885801765,233,939,,,,,,,,,,,,,,,,,,,,,,8yirlj1hpoqnuczpywgzlblxx,T. Savanier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457197,16,43,1,0,46,z1wbqtd0fz5t5eezjvrbld3h,1,0,0,2022-10-30T14:01:03.568Z,2022-10-30T14:50:42Z,3883575817,286,0,3883575891,233,13,3883939309,144,7,3883575815,56,Left,,,,,,,,,,,,,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457257,18,1,1,0,47,z1wbqtd0fz5t5eezjvrbld3h,1,70.5,98.2,2022-10-30T14:01:04.492Z,2022-10-31T04:02:27Z,3883576095,140,44.3,3883576093,56,Back,3883576097,141,75.6,3885799285,178,,3883576099,212,31.5,3883576101,213,3.7,,,,,,,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457327,19,1,1,0,50,z1wbqtd0fz5t5eezjvrbld3h,1,43.5,73.8,2022-10-30T14:01:07.250Z,2022-10-31T04:02:27Z,3883576417,56,Back,3883576419,140,39.1,3883576423,212,15.4,3885799305,178,,3883576425,213,4.4,3883576421,141,52.2,,,,,,,8qlz4omhgfnzyb2cgeou7xn56,A. Theate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457373,20,1,1,0,53,z1wbqtd0fz5t5eezjvrbld3h,1,39.6,46.2,2022-10-30T14:01:09.763Z,2022-10-31T04:02:26Z,3885799331,178,,3883576679,56,Right,3883576689,140,52.8,3883576697,213,5.3,3883576693,141,12.2,3883576695,212,27.0,,,,,,,ayx2iydekv69471d92zmpbbze,C. Wooh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457435,21,1,1,0,56,z1wbqtd0fz5t5eezjvrbld3h,1,51.5,9.1,2022-10-30T14:01:12.877Z,2022-10-31T04:02:25Z,3883577007,140,39.2,3883577027,213,2.3,3885799349,178,,3883577021,212,19.0,3883577015,141,29.5,3883577001,56,Back,,,,,,,xrh2szvp5808no7zm1et2zf9,H. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457473,22,1,1,0,58,z1wbqtd0fz5t5eezjvrbld3h,1,41.3,27.9,2022-10-30T14:01:14.927Z,2022-10-31T04:02:24Z,3883577193,213,1.7,3883577185,56,Back,3883577191,212,28.9,3883577187,140,36.7,3883577189,141,69.8,3885799389,178,,,,,,,,ayx2iydekv69471d92zmpbbze,C. Wooh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457541,23,1,1,1,1,z1wbqtd0fz5t5eezjvrbld3h,1,40.1,68.1,2022-10-30T14:01:17.976Z,2022-10-31T04:02:24Z,3883577471,140,59.3,3883577475,212,27.4,3885799443,178,,3883577473,141,95.3,3883577469,56,Left,3883577477,213,0.7,,,,,,,8qlz4omhgfnzyb2cgeou7xn56,A. Theate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
