id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/13/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/19/value
2443302297,12,1,1,2,5,9bxav814mkuhueiyivyive82d,1,21.4,82.2,2022-08-07T13:02:10.454Z,2022-08-08T06:44:37Z,3691362423,56,Back,3691362429,212,27.6,3691362431,213,4.1,3693692335,178,,3691362427,141,48.1,3691362425,140,7.1,,,,,,,8tesu8352jvqfvclei8hykjbp,J. Jeanvier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302371,13,1,1,2,9,9bxav814mkuhueiyivyive82d,1,9.2,42.6,2022-08-07T13:02:15.185Z,2022-08-08T06:44:36Z,3691362751,141,8.9,3691362757,1,,3693692419,178,,3691362745,155,,3691362753,212,40.1,3691362747,56,Back,3691362749,140,40.5,3691362755,213,5.7,2t05pfvho7i9w9w01zcz3gz4l,B. Costil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302459,14,1,1,2,12,9bxav814mkuhueiyivyive82d,1,43.1,15.4,2022-08-07T13:02:17.681Z,2022-08-08T06:44:35Z,3691363243,141,8.3,3691363231,3,,3691363237,56,Right,3691363247,212,17.5,3691363241,140,59.1,3691363233,168,,3693692679,388,,3691363251,213,6.0,co59rv08x22hk5itwibbwq191,G. Hein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302517,15,1,1,2,15,9bxav814mkuhueiyivyive82d,1,57.6,7.6,2022-08-07T13:02:20.688Z,2022-08-08T06:44:35Z,3691363535,212,17.2,3693692833,178,,3691363529,56,Back,3691363533,141,5.5,3691363531,140,41.3,3691363537,213,3.2,,,,,,,9br3ebcuzl5b755kwuxgey3md,H. Sakhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302573,16,1,1,2,17,9bxav814mkuhueiyivyive82d,1,39.7,2.6,2022-08-07T13:02:23.439Z,2022-08-08T06:44:34Z,3691363809,140,19.9,3691363813,212,31.1,3691363811,141,36.6,3691363807,56,Back,3693692869,178,,3691363815,213,2.3,,,,,,,247ipjjd0cak2sggwbuorx4yy,B. Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302595,17,3,1,2,20,9bxav814mkuhueiyivyive82d,1,19.3,35.2,2022-08-07T13:02:26.435Z,2022-08-08T06:26:39Z,3691363905,285,,3692421043,465,,3691363903,56,Back,3691363917,233,20,3693693071,178,,,,,,,,,,,2t05pfvho7i9w9w01zcz3gz4l,B. Costil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302571,20,45,1,2,20,be2k34rut1lz79jxenabttqlc,0,80.7,64.8,2022-08-07T13:02:26.435Z,2022-08-08T06:26:39Z,3691363803,56,Center,3691363805,286,,3691363949,233,17,,,,,,,,,,,,,,,,efcz85z2tvggsucnvivkmsxyh,M. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302659,18,1,1,2,23,9bxav814mkuhueiyivyive82d,1,25.5,37.2,2022-08-07T13:02:28.528Z,2022-08-08T06:44:33Z,3691364227,213,1.3,3691364233,1,,3691364213,141,94.5,3691364219,212,41.0,3691364209,140,37.7,3691364203,155,,3693693169,178,,3691364205,56,Back,2t05pfvho7i9w9w01zcz3gz4l,B. Costil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443302705,19,1,1,2,25,9bxav814mkuhueiyivyive82d,1,36.5,90.6,2022-08-07T13:02:31Z,2022-08-08T06:44:33Z,3691364457,213,5.7,3691364451,140,49.3,3691364453,141,77.6,3691364447,3,,3693693403,178,,3691364455,212,16.1,3691364449,56,Back,,,,ea2tv9xaerk3oy6dr45ff3kd1,Q. Bernard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443736977,1045,67,1,2,26,9bxav814mkuhueiyivyive82d,1,51.6,75.2,2022-08-07T13:02:32.180Z,2022-08-08T06:44:33Z,3693732249,233,1441,,,,,,,,,,,,,,,,,,,,,,7aa3k7b1yol8sn30xcl138i51,G. Charbonnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
