id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId
2452485797,19,1,1,1,29,121le8unjfzug3iu9pgkqa1c7,1,64.5,82,2022-08-28T15:06:37.031Z,2022-08-29T02:54:35Z,3740215863,141,47.6,3741862941,178,,3740215859,56,Center,3740215865,212,23.7,3740215867,213,4.6,3740215857,155,,3740215861,140,61.0,,,,d68byfvk16giaur32gqwpwded,C. Tolisso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485823,20,1,1,1,32,121le8unjfzug3iu9pgkqa1c7,1,60.6,48.4,2022-08-28T15:06:39.872Z,2022-08-29T02:54:34Z,3740216017,56,Right,3741863097,178,,3740216023,212,21.9,3740216019,140,62.0,3740216027,213,4.8,3740216021,141,16.3,,,,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485843,21,1,1,1,35,121le8unjfzug3iu9pgkqa1c7,1,64.2,23.7,2022-08-28T15:06:42.698Z,2022-08-29T02:54:33Z,3740216103,56,Right,3740216109,212,14.8,3740216111,213,5.4,3740216105,140,73.3,3740216107,141,7.0,3741863437,178,,,,,,,,8jt4vsixxoqp4uvskyfl7k222,M. Gusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452801713,1138,43,1,1,35,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-08-28T15:06:43.531Z,2022-08-28T22:12:39Z,3741954923,178,0,3741955093,144,82,,,,,,,,,,,,,,,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485847,22,1,1,1,35,121le8unjfzug3iu9pgkqa1c7,1,72.8,11.5,2022-08-28T15:06:43.581Z,2022-08-29T02:54:33Z,3740216121,212,5.8,3740216115,56,Right,3740216119,141,19.9,3741863669,178,,3740216117,140,73.7,3740216123,213,1.4,,,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485855,23,1,1,1,36,121le8unjfzug3iu9pgkqa1c7,1,73.8,29.1,2022-08-28T15:06:44.457Z,2022-08-29T02:54:32Z,3740216165,141,14.9,3740216169,213,4.3,3740216163,140,69.4,3740216161,56,Right,3741864001,178,,3740216167,212,10.7,,,,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485857,24,1,1,1,37,121le8unjfzug3iu9pgkqa1c7,0,67.7,23.6,2022-08-28T15:06:45.395Z,2022-08-29T02:54:32Z,3740216177,141,33.7,3740216181,213,1.1,3740216179,212,7.6,3740216173,56,Center,3741864163,178,,3740216175,140,70.9,,,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452801971,662,67,1,1,38,3c3jcs7vc1t6vz5lev162jyv7,1,31.2,62.6,2022-08-28T15:06:46.414Z,2022-08-29T02:54:32Z,3741956313,233,1142,,,,,,,,,,,,,,,,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452801965,1142,67,1,1,38,121le8unjfzug3iu9pgkqa1c7,0,68.8,37.4,2022-08-28T15:06:46.415Z,2022-08-29T02:54:31Z,3741956317,233,662,,,,,,,,,,,,,,,,,,,,,,d68byfvk16giaur32gqwpwded,C. Tolisso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485859,15,8,1,1,38,3c3jcs7vc1t6vz5lev162jyv7,1,30.4,61.7,2022-08-28T15:06:46.471Z,2022-08-29T02:54:31Z,3741864447,178,,3741130711,385,,3740216183,56,Back,,,,,,,,,,,,,,,,8qmm84tue6kuz8e5nhhdhmz8p,M. Munetsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485903,25,1,1,1,41,121le8unjfzug3iu9pgkqa1c7,1,49.8,26,2022-08-28T15:06:48.903Z,2022-08-29T02:54:31Z,3740216405,141,8.3,3741864721,178,,3740216409,213,5.6,3740216403,140,64.8,3740216401,56,Right,3740216407,212,19.8,,,,,,,3vu0c0j8n99wz6e2f7fmd2pxx,Thiago Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485919,26,1,1,1,44,121le8unjfzug3iu9pgkqa1c7,1,62.2,7.3,2022-08-28T15:06:51.684Z,2022-08-29T02:54:30Z,3740216515,212,14.7,3740216513,141,17.5,3740216511,140,74.5,3741864871,178,,3740216509,56,Right,3740216517,213,0.5,,,,,,,8jt4vsixxoqp4uvskyfl7k222,M. Gusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485927,27,1,1,1,44,121le8unjfzug3iu9pgkqa1c7,1,71.9,21.1,2022-08-28T15:06:52.394Z,2022-08-29T02:54:29Z,3741865167,178,,3740216555,56,Right,3740216563,213,5.1,3740216559,141,8.5,3740216557,140,75.2,3740216561,212,9.2,,,,,,,79nno03ww57p02dz5o0g60rqi,Tetê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452802255,1153,43,1,1,48,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-08-28T15:06:56.340Z,2022-08-28T22:14:22Z,3741957967,178,0,3741959255,144,82,,,,,,,,,,,,,,,,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485935,16,45,1,1,48,3c3jcs7vc1t6vz5lev162jyv7,0,22.7,89.9,2022-08-28T15:06:56.360Z,2022-08-29T02:54:28Z,3740216589,56,Back,3740216591,285,,3740216687,233,28,,,,,,,,,,,,,,,,fvd7y3f6948713acbas7w3u2,D. Lopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452485949,28,3,1,1,48,121le8unjfzug3iu9pgkqa1c7,1,77.3,10.1,2022-08-28T15:06:56.360Z,2022-08-29T02:54:27Z,3740216677,233,16,3741131937,464,,3741865293,178,,3740216665,56,Right,3740216667,286,,,,,,,,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452802289,1154,43,1,1,49,121le8unjfzug3iu9pgkqa1c7,1,0,0,2022-08-28T15:06:57.185Z,2022-08-28T22:14:14Z,3741958203,178,0,3741958887,144,82,,,,,,,,,,,,,,,,,,,7ef73s1ryz38blmo3n9p9c82x,J. Reine-Adélaïde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
