id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,assist,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497648437,7,44,1,1,11,3unkqo2g6ag99gd5ynz1j7vse,0,57.8,4.1,2023-01-15T12:01:33.035Z,2023-01-15T22:35:04Z,3979365345,286,,3979387031,233,136,3979365343,56,Right,,,,,,,,,,,,,,,,4hns4p7a45kno60qqzlniycmi,T. Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648449,23,1,1,1,11,be2k34rut1lz79jxenabttqlc,0,43.2,94.8,2023-01-15T12:01:33.065Z,2023-01-15T22:35:04Z,3979365405,56,Left,3979365401,3,,3979365413,213,5.8,3980508643,388,,3979365407,140,54.2,3979365411,212,13.0,3979365403,168,,3979365409,141,86.0,efcz85z2tvggsucnvivkmsxyh,M. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648451,8,49,1,1,13,3unkqo2g6ag99gd5ynz1j7vse,1,48.2,16.7,2023-01-15T12:01:35.189Z,2023-01-15T22:35:03Z,,,,,,,,,,,,,,,,,,,,,,,,,eznhm6o1jymvzaucjlngbaad,Y. Salmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648479,9,1,1,1,13,3unkqo2g6ag99gd5ynz1j7vse,1,47.5,20.5,2023-01-15T12:01:35.794Z,2023-01-15T22:35:02Z,3979365523,56,Center,3980508941,178,,3979365525,140,55.5,3979365527,141,34.8,3979365531,213,0.9,3979365529,212,12.8,,,,,,,eznhm6o1jymvzaucjlngbaad,Y. Salmier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497891359,1144,67,1,1,15,3unkqo2g6ag99gd5ynz1j7vse,1,52.6,38.1,2023-01-15T12:01:37.240Z,2023-01-15T22:35:02Z,3980687321,233,2119,,,,,,,,,,,,,,,,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497891355,2119,67,1,1,15,be2k34rut1lz79jxenabttqlc,0,47.4,61.9,2023-01-15T12:01:37.241Z,2023-01-15T22:35:01Z,3980687359,233,1144,,,,,,,,,,,,,,,,,,,,,,b8dd5q3n5irlkcv0ekzqhzc2x,J. David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648485,10,1,1,1,15,3unkqo2g6ag99gd5ynz1j7vse,0,53.8,34.9,2023-01-15T12:01:37.367Z,2023-01-15T22:35:01Z,3980509121,178,,3979365559,56,Center,3979365567,213,0.3,3979365565,212,2.6,3979403789,233,24,3979403793,286,,3979365561,140,56.2,3979403787,236,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,3979365563,141,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648489,24,74,1,1,15,be2k34rut1lz79jxenabttqlc,1,46.7,62.5,2023-01-15T12:01:37.427Z,2023-01-15T22:35:00Z,3980509527,178,,3979365581,56,Back,3979403785,285,,3979403795,233,10,,,,,,,,,,,,,b8dd5q3n5irlkcv0ekzqhzc2x,J. David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648495,11,61,1,1,15,3unkqo2g6ag99gd5ynz1j7vse,1,53.9,35.5,2023-01-15T12:01:37.447Z,2023-01-15T22:35:00Z,3979365599,56,Center,3980509751,178,,,,,,,,,,,,,,,,,,,,9nhlgi0k783bq8a2704bu6n6d,X. Chavalerin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648523,25,49,1,1,16,be2k34rut1lz79jxenabttqlc,1,41,52.3,2023-01-15T12:01:38.652Z,2023-01-15T22:34:59Z,,,,,,,,,,,,,,,,,,,,,,,,,bt40tdni85hiz1gtkw0b6qmfo,C. Baleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648577,26,1,1,1,23,be2k34rut1lz79jxenabttqlc,1,65.8,36.5,2023-01-15T12:01:45.656Z,2023-01-15T22:34:55Z,3980510427,178,,3979365999,140,76.3,3979366001,141,90.5,3979366005,213,1.3,3979366007,1,,3979366003,212,38.3,3979365997,56,Left,3979365995,155,,bt40tdni85hiz1gtkw0b6qmfo,C. Baleba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648599,27,1,1,1,29,be2k34rut1lz79jxenabttqlc,1,69,71.6,2023-01-15T12:01:51.331Z,2023-01-15T22:34:53Z,3979366135,140,61.9,3979366141,213,3.5,3979366137,141,67.1,3979366133,56,Center,3979366139,212,8.1,3980510511,178,,,,,,,,e5xxqwz0sdlwkkmp8bgs1k6w9,T. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648621,28,1,1,1,31,be2k34rut1lz79jxenabttqlc,1,63.2,60.4,2023-01-15T12:01:53.524Z,2023-01-15T22:34:52Z,3979366263,56,Right,3979366271,213,4.9,3979366261,196,,3979366273,1,,3979366259,155,,3980510579,178,,3979366269,212,38.3,3979366265,140,71.3,31sljkjull0n7082fed26stzp,B. André,3979366267,141,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648643,29,1,1,1,35,be2k34rut1lz79jxenabttqlc,1,72.5,6.6,2023-01-15T12:01:57.436Z,2023-01-15T22:34:50Z,3979366399,213,1.1,3979366391,141,17.9,3979366395,212,8.8,3979366387,140,76.5,3980510657,178,,3979366383,56,Right,,,,,,,4zg62bpjlxntoruzlk4qnzumt,A. Ounas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648655,30,1,1,1,36,be2k34rut1lz79jxenabttqlc,1,78,17.3,2023-01-15T12:01:58.201Z,2023-01-15T22:34:50Z,3979366449,56,Right,3980510767,178,,3979366457,213,3.0,3979366455,212,10.7,3979366451,140,68.0,3979366453,141,20.2,,,,,,,b8dd5q3n5irlkcv0ekzqhzc2x,J. David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648661,31,1,1,1,39,be2k34rut1lz79jxenabttqlc,0,73.9,40.3,2023-01-15T12:02:01.701Z,2023-01-15T22:34:49Z,3979366481,212,13.7,3980511023,178,,3979366483,213,1.1,3979366479,141,58.5,3979366475,56,Center,3979366477,140,79.4,,,,,,,4zg62bpjlxntoruzlk4qnzumt,A. Ounas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648663,12,8,1,1,40,3unkqo2g6ag99gd5ynz1j7vse,1,20.1,41,2023-01-15T12:02:02.374Z,2023-01-15T22:34:48Z,3979366485,56,Back,3980511219,178,,3979902343,384,,,,,,,,,,,,,,,,,dj2f6zk2cd8u9lt6odoei9cdl,A. Bruus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497648673,13,49,1,1,41,3unkqo2g6ag99gd5ynz1j7vse,1,16,41,2023-01-15T12:02:03.282Z,2023-01-15T22:34:48Z,,,,,,,,,,,,,,,,,,,,,,,,,4hns4p7a45kno60qqzlniycmi,T. Baldé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
