id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/8/value,qualifier/13/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2479063025,24,1,1,1,12,27xvwccz8kpmqsefjv2b2sc0o,1,32.4,77.7,2022-10-29T19:01:54.726Z,2022-10-30T03:22:35Z,3881505429,141,48.5,3881505427,140,27.3,3881505431,212,20.6,3881505425,56,Back,3881505433,213,4.4,3882135969,178,,,,,,,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063043,25,1,1,1,14,27xvwccz8kpmqsefjv2b2sc0o,1,23.3,47,2022-10-29T19:01:57.543Z,2022-10-30T03:22:35Z,3881505503,212,13.7,3881505499,140,17.9,3881505501,141,65.3,3881505497,56,Back,3881505505,213,2.0,3882136021,178,,,,,,,,74edqcuzfzy7nswqzn0v3pe22,L. Balerdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063057,26,1,1,1,17,27xvwccz8kpmqsefjv2b2sc0o,1,16.7,65.5,2022-10-29T19:01:59.909Z,2022-10-30T03:22:34Z,3881505591,212,16.6,3881505587,140,22.6,3882136129,178,,3881505593,213,1.2,3881505589,141,88.1,3881505585,56,Back,,,,,,,26atxu4fr8f87oi8mt6z70mhh,Pau López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063101,27,1,1,1,20,27xvwccz8kpmqsefjv2b2sc0o,0,25.3,91.7,2022-10-29T19:02:03.210Z,2022-10-30T03:22:33Z,3881505795,56,Left,3881505799,141,84.8,3881505797,140,68.2,3881505793,155,,3881505805,1,,3881505803,213,6.2,3881505801,212,45.3,3882136181,178,,9j742o5vdc7d54x1xdz4t9ck5,S. Kolašinac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063109,8,1,1,1,23,71ajatxnuhc5cnm3xvgdky49w,0,34.1,13,2022-10-29T19:02:05.939Z,2022-10-30T03:22:33Z,3881505831,56,Back,3881505837,212,12.2,3881505833,140,37.6,3881505839,213,1.3,3881505835,141,30.1,3882136573,388,,3881505957,233,29,,,,eo47h2ekymiisj3kry3og7tgp,L. Perrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063113,28,61,1,1,24,27xvwccz8kpmqsefjv2b2sc0o,0,68.2,75,2022-10-29T19:02:07.270Z,2022-10-30T03:22:33Z,3881505849,56,Center,3882136893,178,,,,,,,,,,,,,,,,,,,,8vlfwoquq3v68mb9ax1pk5fkk,B. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063135,9,1,1,1,26,71ajatxnuhc5cnm3xvgdky49w,0,25,29.1,2022-10-29T19:02:08.663Z,2022-10-30T03:22:32Z,3881505931,140,30.6,3881505939,1,,3882137067,178,,3881684337,286,,3881505935,212,6.0,3881505927,56,Back,3881684359,233,29,3881684335,236,,7z1gixk4hvbbgo71xgb04942x,G. Nyamsi,3881505925,157,3881505937,213,6.1,3881505933,141,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063127,29,74,1,1,26,27xvwccz8kpmqsefjv2b2sc0o,1,72.5,71.2,2022-10-29T19:02:08.670Z,2022-10-30T03:22:32Z,3882137239,178,,3881505891,285,,3881505987,233,9,3881505889,56,Center,,,,,,,,,,,,,8vlfwoquq3v68mb9ax1pk5fkk,B. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063197,30,61,1,1,30,27xvwccz8kpmqsefjv2b2sc0o,1,60.7,59.4,2022-10-29T19:02:13.384Z,2022-10-30T03:22:32Z,3881506271,56,Center,3882137799,178,,,,,,,,,,,,,,,,,,,,5fbnkkf1saix4lonwx1i9k7o5,J. Veretout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479063229,31,1,1,1,32,27xvwccz8kpmqsefjv2b2sc0o,1,52.9,52.5,2022-10-29T19:02:15.520Z,2022-10-30T03:22:31Z,3881506437,140,44.6,3881506439,141,40.4,3881506443,213,3.9,3881506435,56,Back,3882137921,178,,3881506441,212,12.0,,,,,,,asvqr3i5wcjiajxipt1qvldyh,M. Guendouzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
